# export of sheet1 of suppl. tables file / chrY project / Nature pub
Sample ID	Population	Super population	Coriell Family ID	Child of trio	Father ID/comment on Illumina data	Y haplogroup (ISOGG v15.73)	Y terminal marker	Cohort	HGSVC_year	High-coverage sample (HiFi coverage of at least 50⨉)	Bionano molecule N50 (kbp)	Bionano effective coverage of assembly (X)	Bionano	Project Accesion ID	PacBio HiFi	Project Accesion ID	ONT-UL	Project Accesion ID	Hi-C	Project Accesion ID	Strand-Seq	Project Accesion ID	RNA-Seq	Project Accesion ID	Iso-Seq	Project Accesion ID
NA19347	LWK	AFR	NA19347			E1b1a1a1a1c1a1a3a1	CTS8030	HGSVC	year2	yes	275.873	158.416	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/NA19347/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20220302_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210728_PacBio_Iso-Seq_JAX/	PRJEB58376
HG03371	ESN	AFR	NG98	yes	HG03370	E1b1a1a1a1c1a1a3c1b	CTS1313	HGSVC	year1	no	382.931	210.304	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG03371/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/	PRJEB39684	NA	NA
HG02011	ACB	AFR	BB13	yes	HG02009	E1b1a1a1a1c1b	M263.2	HGSVC	year1	no	360.151	204.878	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG02011/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG02717	GWD	AFR	GB50	yes	HG02715	E1b1a1a1a1c2c3a2a	Z6018	HPRC	year1	no	340.56	79.565	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02717/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02717/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02717/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02717/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG02554	ACB	AFR	BB67			E1b1a1a1a2a1	M4254	HGSVC	year2	no	328.72	199.02	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210509_UW_HiFi/HG02554/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210822_UW_EEE_ONT_UL/	PRJNA988114	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20220207_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	NA	NA
HG02953	ESN	AFR	NG16			E1b1a1a1a2a1	M4254	HGSVC	year2	no	289.098	161.151	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210509_UW_HiFi/HG02953/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210822_UW_EEE_ONT_UL/	PRJNA988114	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210607_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	NA	NA
NA19705	ASW	AFR	2368	yes	GM19703	E1b1a1a1a2a1a3b1a1	U181	HGSVC	year2	no	370.523	220.499	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220401_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/NA19705/	PRJEB58376	rebasecalled - https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/NA19705/	PRJEB58376	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220711_Strandseq/fastq/	PRJEB39750	NA	NA	NA	NA
HG03065	MSL	AFR	SL05	yes	HG03063	E1b1a1b1	Z22132	HGSVC	year1	no	370.47	208.41	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG03065/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG01109	PUR	AMR	PR33	yes	HG01107	E1b1b1a1b1a	V13	HPRC	year1	no	245.434	130.455	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01109/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01109/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01109/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01109/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG01106	PUR	AMR	PR25	yes	HG01104	E1b1b1b1a1	M183	HPRC	year1	no	335.442	103.989	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01106/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01106/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01106/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01106/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG01457	CLM	AMR	CLM51	yes	HG01455	E1b1b1b2a1a4	L791	HGSVC	year2	yes	360.46	153.719	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG01457/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20220119_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210728_PacBio_Iso-Seq_JAX/	PRJEB58376
NA19331	LWK	AFR	LWK001			E1b1b1b2b2a1	M293	HGSVC	year2	no	289.35	194.06	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210902_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/NA19331/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_Hi-C_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20210824_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/2021_RNAseq_JAX/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20210728_PacBio_Iso-Seq_JAX/	PRJEB58376
HG03579	MSL	AFR	SL72	yes	HG03577	G2a2b2a1a1c1a1a2a1	Z6523	HPRC	year1	no	305.773	128.053	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03579/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03579/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03579/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03579/	PRJNA701308	NA	NA	NA	NA	NA	NA
HG03009	BEB	SAS	HG03009			H1a1a4b2c1a1a	Z5884	HGSVC	year1	no	357.203	205.212	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG03009/	PRJEB58376	rebasecalled - https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/HG03009/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG01258	CLM	AMR	CLM16	yes	HG01256	J1	M267	HPRC	year1	no	337.182	79.977	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01258/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01258/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01258/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01258/	PRJNA701308	PRJEB54100, Porubsky, Vollger et al. 2022	PRJEB54100, Porubsky, Vollger et al. 2022	NA	NA	NA	NA
NA24385	ASK	EUR	3140			J1a2a1a2c1a1	L816	T2T	NA(T2T)	no	322.519	71.707	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG002/	NA(T2T)	T2T - https://github.com/marbl/CHM13	NA(T2T)	NA(T2T)	NA(T2T)	NA(T2T)	NA(T2T)	NA(T2T)	NA(T2T)	NA(T2T)	NA(T2T)	NA(T2T)	NA(T2T)
HG02492	PJL	SAS	PK06	yes	HG02490	J2a1a1a2a2b	M47	HGSVC	year1	no	350.747	206.674	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG02492/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG00358	FIN	EUR	HG00358			N1a1a1a1a2a1a1a1a1a	Z1940	HGSVC	year2	yes	368.766	221.558	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220401_bionano_hgsvc/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG00358/	PRJEB58376	rebasecalled - https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/HG00358/	PRJEB58376	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220711_Strandseq/fastq/, http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220803_Strandseq/fastq/	PRJEB39750	NA	NA	NA	NA
NA18534	CHB	EAS	NA18534			O1b1a2b1a	F1127	HGSVC	year1	no	365.304	212.257	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/NA18534/	PRJEB58376	rebasecalled - https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/NA18534/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG01596	KHV	EAS	VN002			O2a1b1a1a1a1c	F12	HGSVC	year1	no	359.372	212.615	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200117_Bionano_optical_maps/	PRJEB41077	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20220831_JAX_HiFi/HG01596/	PRJEB58376	rebasecalled - http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20211013_ONT_Rebasecalled/	PRJEB58376	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200512_Hi-C/	PRJEB39684 	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200120_Strandseq/fastq/	PRJEB39750	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/working/20200627_RNAseq_JAX/		NA	NA
HG00673	CHS	EAS	SH079	yes	HG00671	O2a2a1a1a	M159	HPRC	year1	no	311.327	108.881	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00673/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00673/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00673/	PRJNA701308	https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00673/	PRJNA701308	NA	NA	NA	NA	NA	NA
