# 20240814T2003
sample	sex	population	supergroup	verkko_assembly_accession	datatype	filename	file_accession	project_accession	total_num_grt_0bp	total_length_grt_0bp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_num_grt_100kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_num_grt_1Mbp	matched_name	match_quality	reuse_data
HG00171	female	FIN	EUR	ERZ24811349	hifi	all	(summary)	(summary)	5657119	112640581375	37.5	20232	21071	0	0.0	0	0	0	all	(summary)	(summary)
HG00171	female	FIN	EUR	ERZ24811349	hifi	m54329U_220205_003428.hifi_reads	ERR13491747	PRJEB77558	1928463	38407898468	12.8	20234	21076	0	0.0	0	0	0	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	hifi	m54329U_220212_223600.hifi_reads	ERR13491748	PRJEB77558	1888830	37600324968	12.5	20232	21068	0	0.0	0	0	0	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	hifi	m54329U_220214_093304.hifi_reads	ERR13491749	PRJEB77558	1839826	36632357939	12.2	20229	21070	0	0.0	0	0	0	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass	ERR13491750	PRJEB77558	262443	18803145779	6.3	189110	230868	63036	4.7	248182	291066	19	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass	ERR13491751	PRJEB77558	170330	15610578397	5.2	187407	220233	56774	4.0	231800	268177	9	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass	ERR13491752	PRJEB77558	177558	18290138450	6.1	175384	201052	69977	4.7	214632	244158	3	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20221011_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	ERR13491753	PRJEB77558	119220	2634376066	0.9	81660	105912	6716	0.4	165038	189803	0	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20221011_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	ERR13491754	PRJEB77558	144918	4247215868	1.4	94175	118917	12018	0.7	171731	196340	0	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20221013_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	ERR13491755	PRJEB77558	110420	5817792575	1.9	111142	139075	18198	1.1	179649	209734	0	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20221013_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	ERR13491756	PRJEB77558	63069	3411389270	1.1	112520	136357	10991	0.6	177149	201864	0	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20221018_HG00171_UL_eee-prom1-1A-PAM70063_guppy-5.0.11-sup-prom_fastq_pass	ERR13491757	PRJEB77558	213634	19188013424	6.4	160580	182545	73946	4.7	201748	227045	3	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20221101_HG00171_UL_eee-prom1-1A-PAM78908_guppy-5.0.11-sup-prom_fastq_pass	ERR13491758	PRJEB77558	336586	27159512396	9.1	149627	173522	99984	6.3	199070	224542	0	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20221213_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	ERR13491759	PRJEB77558	270009	24282068241	8.1	138292	171301	89885	5.4	187007	224215	4	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	20221214_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	ERR13491760	PRJEB77558	310587	21502024115	7.2	115261	137046	75208	4.2	167107	193409	1	exact-match	exact-match	yes
HG00171	female	FIN	EUR	ERZ24811349	ont	all	(summary)	(summary)	2178774	160946254581	53.6	147485	179168	576733	36.6	200917	235352	39	all	(summary)	(summary)
HG00171	female	FIN	EUR	ERZ24811349	strandseq	all	(summary)	PRJEB39750	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG00268	female	FIN	EUR	ERZ24811369	hifi	JAX_HiFi_HG00268_m64039_210116_000705	ERR12953027	PRJEB75190	2398474	38745604047	12.9	16149	17158	0	0.0	0	0	0	exact-match	exact-match	yes
HG00268	female	FIN	EUR	ERZ24811369	hifi	JAX_HiFi_HG00268_m64119_210113_164007	ERR12953012	PRJEB75190	2533107	41920656089	14.0	16545	17644	0	0.0	0	0	0	exact-match	exact-match	yes
HG00268	female	FIN	EUR	ERZ24811369	hifi	JAX_HiFi_HG00268_m64119_210121_165545	ERR12953010	PRJEB75190	1977487	34097346437	11.4	17340	18412	0	0.0	0	0	0	exact-match	exact-match	yes
HG00268	female	FIN	EUR	ERZ24811369	hifi	all	(summary)	(summary)	6909068	114763606573	38.3	16634	17708	0	0.0	0	0	0	all	(summary)	(summary)
HG00268	female	FIN	EUR	ERZ24811369	ont	20210903_210825_21-lee-006_PCT0053_2-A1-D1_guppy-5.0.11-sup-prom_fastq_pass	ERR12954395	PRJEB75216	1819877	88001105440	29.3	171811	198486	304874	21.0	226078	256432	12	exact-match	exact-match	yes
HG00268	female	FIN	EUR	ERZ24811369	ont	20210913_210831_21-lee-006_PCT0053_2-A1-D1_guppy-5.0.11-sup-prom_fastq_pass	ERR12954435	PRJEB75216	1555309	69697959358	23.2	165568	191537	241338	16.4	220893	250364	10	exact-match	exact-match	yes
HG00268	female	FIN	EUR	ERZ24811369	ont	all	(summary)	(summary)	3375186	157699064798	52.6	169050	195415	546212	37.4	223750	253778	22	all	(summary)	(summary)
HG00268	female	FIN	EUR	ERZ24811369	strandseq	all	(summary)	PRJEB39750	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG00358	male	FIN	EUR	ERZ24811367	hifi	JAX_HiFi_HG00358_m64039_211122_182856	ERR10966424	PRJEB58376	2403418	43568189631	14.5	18685	19653	0	0.0	0	0	0	exact-match	exact-match	yes
HG00358	male	FIN	EUR	ERZ24811367	hifi	JAX_HiFi_HG00358_m64039_211203_172706	ERR10966421	PRJEB58376	2503151	44542113074	14.8	18282	19259	0	0.0	0	0	0	exact-match	exact-match	yes
HG00358	male	FIN	EUR	ERZ24811367	hifi	JAX_HiFi_HG00358_m64039_211211_155133	ERR10966423	PRJEB58376	2372926	42048130537	14.0	18179	19194	0	0.0	0	0	0	exact-match	exact-match	yes
HG00358	male	FIN	EUR	ERZ24811367	hifi	JAX_HiFi_HG00358_m64039_211220_201243	ERR10966425	PRJEB58376	2354223	42305269368	14.1	18285	19300	0	0.0	0	0	0	exact-match	exact-match	yes
HG00358	male	FIN	EUR	ERZ24811367	hifi	JAX_HiFi_HG00358_m64119_211213_170947	ERR10966422	PRJEB58376	2374637	42481222979	14.2	18194	19218	0	0.0	0	0	0	exact-match	exact-match	yes
HG00358	male	FIN	EUR	ERZ24811367	hifi	all	(summary)	(summary)	12008355	214944925589	71.6	18323	19326	0	0.0	0	0	0	all	(summary)	(summary)
HG00358	male	FIN	EUR	ERZ24811367	ont	20220211_220202_21-lee-006_PC24B149_1F_guppy-5.0.11-sup-prom_fastq_pass	ERR11028102	PRJEB58376	916020	69412998933	23.1	173584	200885	248027	17.0	223026	253684	19	exact-match	exact-match	yes
HG00358	male	FIN	EUR	ERZ24811367	ont	20220215_220209_21-lee-006_PC24B149_2E_guppy-5.0.11-sup-prom_fastq_pass	ERR11028126	PRJEB58376	441852	32898583468	11.0	173373	201806	117793	8.0	222581	254588	20	exact-match	exact-match	yes
HG00358	male	FIN	EUR	ERZ24811367	ont	20220315_220308_21-lee-006_PC24B149_3D_guppy-5.0.11-sup-prom_fastq_pass	ERR11028146	PRJEB58376	1162358	69637344019	23.2	136527	165773	230981	14.6	201942	231815	6	exact-match	exact-match	yes
HG00358	male	FIN	EUR	ERZ24811367	ont	all	(summary)	(summary)	2520230	171948926420	57.3	158221	186841	596801	39.6	214798	245795	45	all	(summary)	(summary)
HG00358	male	FIN	EUR	ERZ24811367	strandseq	all	(summary)	PRJEB39750	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG00512	male	CHS	EAS	ERZ24811360	hifi	HG00512_PacBio_Sequel2_CCS__EDEVI_20190920_S64018_PL100139347-1_A01.ccs	ERR10966384	PRJEB58376	1070258	16538037590	5.5	15454	15601	0	0.0	0	0	0	exact-match	exact-match	yes
HG00512	male	CHS	EAS	ERZ24811360	hifi	HG00512_PacBio_Sequel2_CCS__EDEVI_20190920_S64018_PL100139347-1_C01.ccs	ERR10912020	PRJEB58376	715883	11021503267	3.7	15398	15543	0	0.0	0	0	0	exact-match	exact-match	yes
HG00512	male	CHS	EAS	ERZ24811360	hifi	HG00512_PacBio_Sequel2_CCS__EDEVI_20191004_S64018_PL100139347-2_A01.ccs	ERR10966386	PRJEB58376	1051482	17118109748	5.7	16341	16529	0	0.0	0	0	0	exact-match	exact-match	yes
HG00512	male	CHS	EAS	ERZ24811360	hifi	HG00512_PacBio_Sequel2_CCS__EDEVI_20191004_S64018_PL100139347-2_B01.ccs	ERR10966383	PRJEB58376	991407	16192547021	5.4	16392	16581	0	0.0	0	0	0	exact-match	exact-match	yes
HG00512	male	CHS	EAS	ERZ24811360	hifi	HG00512_PacBio_Sequel2_CCS__EDEVI_20191007_S64049_PL100139347-2_A01.ccs	ERR10966385	PRJEB58376	997431	16215814691	5.4	16320	16508	0	0.0	0	0	0	exact-match	exact-match	yes
HG00512	male	CHS	EAS	ERZ24811360	hifi	HG00512_PacBio_Sequel2_CCS__EDEVI_20191007_S64049_PL100139347-2_B01.ccs	ERR10966381	PRJEB58376	1184331	15414071445	5.1	13054	13116	0	0.0	0	0	0	exact-match	exact-match	yes
HG00512	male	CHS	EAS	ERZ24811360	hifi	all	(summary)	(summary)	6010792	92500083762	30.8	15576	15682	0	0.0	0	0	0	all	(summary)	(summary)
HG00512	male	CHS	EAS	ERZ24811360	ont	20220425_220420_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass	ERR11586166	PRJEB58376	1188329	70162313584	23.4	140803	164128	250216	15.4	193661	220558	3	exact-match	exact-match	yes
HG00512	male	CHS	EAS	ERZ24811360	ont	20220503_220427_21-lee-006_PC24B149_3E_guppy-5.0.11-sup-prom_fastq_pass	ERR11586170	PRJEB58376	471788	24953438454	8.3	128700	151574	86182	5.1	185980	211581	0	exact-match	exact-match	yes
HG00512	male	CHS	EAS	ERZ24811360	ont	20220503_220429_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass	ERR11586168	PRJEB58376	461603	24785985737	8.3	128433	151341	85379	5.1	185604	211639	0	exact-match	exact-match	yes
HG00512	male	CHS	EAS	ERZ24811360	ont	20230626_230620_23-lee-007_PCA100115_3F-run15_guppy-5.0.11-sup-prom_fastq_pass	no-accession	no-accession	1390256	63460941510	21.2	91831	98864	200884	9.5	140693	150275	0	exact-match	exact-match	no-contaminant-drop
HG00512	male	CHS	EAS	ERZ24811360	ont	all	(summary)	(summary)	3511976	183362679285	61.1	115483	138103	622661	35.1	171019	199011	3	all	(summary)	(summary)
HG00512	male	CHS	EAS	ERZ24811360	strandseq	all	(summary)	PRJEB12849	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG00513	female	CHS	EAS	ERZ24811381	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20190920_S64018_PL100139348-1_B01.ccs	SRR13606091	PRJNA698480	983007	17001432679	5.7	17346	17563	0	0.0	0	0	0	PL100139348-1_S64018_20191004_C01_run	manual-fix	yes
HG00513	female	CHS	EAS	ERZ24811381	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20190920_S64018_PL100139348-1_D01.ccs	SRR13606091	PRJNA698480	1160409	20083600944	6.7	17365	17576	0	0.0	0	0	0	PL100139348-1_S64018_20191004_C01_run	manual-fix	yes
HG00513	female	CHS	EAS	ERZ24811381	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20191004_S64018_PL100139348-1_C01.ccs	SRR13606091	PRJNA698480	1769145	25869518477	8.6	14310	14949	0	0.0	0	0	0	PL100139348-1_S64018_20191004_C01_run	manual-fix	yes
HG00513	female	CHS	EAS	ERZ24811381	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20191004_S64018_PL100139348-1_D01.ccs	SRR13606091	PRJNA698480	1328699	19721393349	6.6	14523	15193	0	0.0	0	0	0	PL100139348-1_S64018_20191004_C01_run	manual-fix	yes
HG00513	female	CHS	EAS	ERZ24811381	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20191007_S64049_PL100139348-2_C01.ccs	SRR13606088	PRJNA698480	1853026	21624717010	7.2	11734	11732	0	0.0	0	0	0	PL100139348-2_S64049_20191007_D01_run	manual-fix	yes
HG00513	female	CHS	EAS	ERZ24811381	hifi	HG00513_PacBio_Sequel2_CCS__EDEVI_20191007_S64049_PL100139348-2_D01.ccs	SRR13606088	PRJNA698480	1542578	22507165876	7.5	14636	14715	0	0.0	0	0	0	PL100139348-2_S64049_20191007_D01_run	manual-fix	yes
HG00513	female	CHS	EAS	ERZ24811381	hifi	all	(summary)	(summary)	8636864	126807828335	42.3	14818	15163	0	0.0	0	0	0	all	(summary)	(summary)
HG00513	female	CHS	EAS	ERZ24811381	ont	20230509_HG00513_UL_eee-prom1-3A-PAO38747_guppy-5.0.11-sup-prom_fastq_pass	ERR13110503	PRJEB75739	509791	44950285155	15.0	166027	190293	168331	11.0	210583	237591	1	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	20230516_HG00513_UL_eee-prom1-3D-PAO38725_guppy-5.0.11-sup-prom_fastq_pass	ERR13110504	PRJEB75739	572739	44243512925	14.7	142345	166110	162025	9.9	192112	218422	1	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	20230516_HG00513_UL_eee-prom1-3E-PAO38753_guppy-5.0.11-sup-prom_fastq_pass	ERR13110505	PRJEB75739	353900	24512956732	8.2	137541	161602	87743	5.3	190596	217037	1	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	20230516_HG00513_UL_eee-prom1-3F-PAO51858_guppy-5.0.11-sup-prom_fastq_pass	ERR13110506	PRJEB75739	362674	28811503391	9.6	144886	167768	106706	6.5	192893	218449	0	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	20230517_HG00513_UL_eee-prom1-2E-PAO38753_guppy-5.0.11-sup-prom_fastq_pass	ERR13110507	PRJEB75739	225336	18289561486	6.1	145328	166172	69469	4.2	190456	213646	1	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	20230517_HG00513_UL_eee-prom1-3E-PAO38753_guppy-5.0.11-sup-prom_fastq_pass	ERR13110508	PRJEB75739	11800	711238648	0.2	130362	146858	2651	0.2	177891	196508	0	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	20230517_HG00513_UL_eee-prom1-3F-PAO51858_guppy-5.0.11-sup-prom_fastq_pass	ERR13110509	PRJEB75739	256626	20782511337	6.9	147499	168980	78390	4.8	193230	217291	2	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	20230518_HG00513_UL_eee-prom1-1D-PAO38725_guppy-5.0.11-sup-prom_fastq_pass	ERR13110510	PRJEB75739	264858	20479488644	6.8	136258	156022	76557	4.5	182915	205648	0	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	20230518_HG00513_UL_eee-prom1-1E-PAO38753_guppy-5.0.11-sup-prom_fastq_pass	ERR13110511	PRJEB75739	266028	20141394897	6.7	133351	152488	75423	4.4	179876	201847	0	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	20230518_HG00513_UL_eee-prom1-1F-PAO51858_guppy-5.0.11-sup-prom_fastq_pass	ERR13110512	PRJEB75739	266698	20398940838	6.8	135522	156126	75853	4.5	182727	206460	0	exact-match	exact-match	yes
HG00513	female	CHS	EAS	ERZ24811381	ont	all	(summary)	(summary)	3090450	243321394053	81.1	144746	167699	903148	55.2	192590	218271	6	all	(summary)	(summary)
HG00513	female	CHS	EAS	ERZ24811381	strandseq	all	(summary)	PRJEB12849	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG00514	female	CHS	EAS	ERZ24811364	hifi	all	(summary)	(summary)	10665671	202862003394	67.6	18643	19698	0	0.0	0	0	0	all	(summary)	(summary)
HG00514	female	CHS	EAS	ERZ24811364	hifi	m54329U_200715_194535.ccs	ERR4982327	PRJEB36100	1530335	25992945599	8.7	17112	17156	0	0.0	0	0	0	HG00514-HiFi-r54329U_20200715_193257-A01	manual-fix	yes
HG00514	female	CHS	EAS	ERZ24811364	hifi	m54329U_200717_235548.ccs	ERR4982328	PRJEB36100	1618672	27513146431	9.2	17128	17169	0	0.0	0	0	0	HG00514-HiFi-r54329U_20200717_234302-A01	manual-fix	yes
HG00514	female	CHS	EAS	ERZ24811364	hifi	m54329U_200719_061020.ccs	ERR4982329	PRJEB36100	1353586	22984885701	7.7	17109	17152	0	0.0	0	0	0	HG00514-HiFi-r54329U_20200717_234302-B01	manual-fix	yes
HG00514	female	CHS	EAS	ERZ24811364	hifi	m84046_231007_211119_s1.hifi_reads.bc2068	ERR13491761	PRJEB77558	6163078	126371025663	42.1	20620	21235	0	0.0	0	0	0	exact-match	exact-match	yes
HG00514	female	CHS	EAS	ERZ24811364	ont	20230509_HG00514_UL_eee-prom1-3B-PAO38145_guppy-5.0.11-sup-prom_fastq_pass	ERR13110513	PRJEB75739	661163	42535515279	14.2	138284	163145	150654	9.2	193331	219931	3	exact-match	exact-match	yes
HG00514	female	CHS	EAS	ERZ24811364	ont	20230509_HG00514_UL_eee-prom1-3C-PAO55125_guppy-5.0.11-sup-prom_fastq_pass	ERR13110514	PRJEB75739	387776	32903151185	11.0	168081	188444	126484	8.2	208302	231954	6	exact-match	exact-match	yes
HG00514	female	CHS	EAS	ERZ24811364	ont	20230516_HG00514_UL_eee-prom1-3G-PAO49047_guppy-5.0.11-sup-prom_fastq_pass	ERR13110515	PRJEB75739	296821	22963137095	7.7	162792	185554	86412	5.6	207187	232580	1	exact-match	exact-match	yes
HG00514	female	CHS	EAS	ERZ24811364	ont	20230516_HG00514_UL_eee-prom1-3H-PAO53735_guppy-5.0.11-sup-prom_fastq_pass	ERR13110516	PRJEB75739	251358	23093437191	7.7	170815	189942	91664	5.9	205846	228910	2	exact-match	exact-match	yes
HG00514	female	CHS	EAS	ERZ24811364	ont	20230517_HG00514_UL_eee-prom1-3G-PAO49047_guppy-5.0.11-sup-prom_fastq_pass	ERR13110517	PRJEB75739	189022	16368279728	5.5	164285	182049	65230	4.1	200096	221780	0	exact-match	exact-match	yes
HG00514	female	CHS	EAS	ERZ24811364	ont	20230517_HG00514_UL_eee-prom1-3H-PAO53735_guppy-5.0.11-sup-prom_fastq_pass	ERR13110518	PRJEB75739	189706	15782946314	5.3	168239	185207	63658	4.0	202057	222874	0	exact-match	exact-match	yes
HG00514	female	CHS	EAS	ERZ24811364	ont	20230518_HG00514_UL_eee-prom1-1G-PAO49047_guppy-5.0.11-sup-prom_fastq_pass	ERR13110519	PRJEB75739	171409	13996479345	4.7	153858	171011	55395	3.4	191653	212907	0	exact-match	exact-match	yes
HG00514	female	CHS	EAS	ERZ24811364	ont	20230518_HG00514_UL_eee-prom1-1H-PAO53735_guppy-5.0.11-sup-prom_fastq_pass	ERR13110520	PRJEB75739	186250	15437171663	5.1	159808	176703	61364	3.8	196571	217328	0	exact-match	exact-match	yes
HG00514	female	CHS	EAS	ERZ24811364	ont	all	(summary)	(summary)	2333505	183080117800	61.0	158811	179219	700861	44.2	200912	224632	12	all	(summary)	(summary)
HG00514	female	CHS	EAS	ERZ24811364	strandseq	all	(summary)	PRJEB12849	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG00731	male	PUR	AMR	ERZ24811751	hifi	HG00731_20190925_EEE_m54329U_190528_231241.Q20	ERR13110521	PRJEB75739	1939274	20057436023	6.7	10352	10379	0	0.0	0	0	0	m54329U_190528_231241.Q20	fuzzy-match	yes
HG00731	male	PUR	AMR	ERZ24811751	hifi	HG00731_20190925_EEE_m54329U_190531_175004.Q20	ERR13110522	PRJEB75739	2145564	22243710769	7.4	10378	10403	0	0.0	0	0	0	m54329U_190531_175004.Q20	fuzzy-match	yes
HG00731	male	PUR	AMR	ERZ24811751	hifi	HG00731_20190925_EEE_m54329U_190601_235636.Q20	ERR13110523	PRJEB75739	2007819	20803296068	6.9	10371	10397	0	0.0	0	0	0	m54329U_190601_235636.Q20	fuzzy-match	yes
HG00731	male	PUR	AMR	ERZ24811751	hifi	HG00731_20190925_EEE_m54329U_190606_045526.Q20	ERR13110524	PRJEB75739	1946139	20155799090	6.7	10367	10393	0	0.0	0	0	0	m54329U_190606_045526.Q20	fuzzy-match	yes
HG00731	male	PUR	AMR	ERZ24811751	hifi	HG00731_20190925_EEE_m54329U_190906_205127.Q20	ERR13110525	PRJEB75739	1249604	20153687851	6.7	16109	16305	0	0.0	0	0	0	m54329U_190906_205127.Q20	fuzzy-match	yes
HG00731	male	PUR	AMR	ERZ24811751	hifi	all	(summary)	(summary)	15867526	228276217998	76.1	16095	15963	0	0.0	0	0	0	all	(summary)	(summary)
HG00731	male	PUR	AMR	ERZ24811751	hifi	m64076_230401_105044-bc2051.hifi_reads	ERR13110526	PRJEB75739	2283099	43483406857	14.5	19199	19694	0	0.0	0	0	0	exact-match	exact-match	yes
HG00731	male	PUR	AMR	ERZ24811751	hifi	m64076_230402_200532-bc2051.hifi_reads	ERR13110527	PRJEB75739	2103813	39963645699	13.3	19144	19636	0	0.0	0	0	0	exact-match	exact-match	yes
HG00731	male	PUR	AMR	ERZ24811751	hifi	m64076_230404_051349-bc2051.hifi_reads	ERR13110528	PRJEB75739	2192214	41415235641	13.8	19028	19534	0	0.0	0	0	0	exact-match	exact-match	yes
HG00731	male	PUR	AMR	ERZ24811751	ont	20220510_220504_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass	ERR11586171	PRJEB58376	519187	27732221090	9.2	122426	149995	90429	5.4	187724	217149	1	exact-match	exact-match	yes
HG00731	male	PUR	AMR	ERZ24811751	ont	20220510_220504_21-lee-006_PC24B149_3C_guppy-5.0.11-sup-prom_fastq_pass	ERR11586169	PRJEB58376	299723	17988955484	6.0	138328	168189	60396	3.8	201431	232659	0	exact-match	exact-match	yes
HG00731	male	PUR	AMR	ERZ24811751	ont	20220510_220505_21-lee-006_PC24B149_3C_guppy-5.0.11-sup-prom_fastq_pass	ERR11586165	PRJEB58376	892957	49544043330	16.5	149957	179162	163638	10.9	214270	245845	6	exact-match	exact-match	yes
HG00731	male	PUR	AMR	ERZ24811751	ont	20220511_220506_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass	ERR11586167	PRJEB58376	238862	14614573010	4.9	118790	146449	47554	2.8	183587	213126	0	exact-match	exact-match	yes
HG00731	male	PUR	AMR	ERZ24811751	ont	20230801_230726_23-lee-007_PCA100115_3D-run18_guppy-5.0.11-sup-prom_fastq_pass	ERR12954391	PRJEB75216	1368435	73858012624	24.6	122048	148680	242309	14.5	185904	214811	3	exact-match	exact-match	yes
HG00731	male	PUR	AMR	ERZ24811751	ont	all	(summary)	(summary)	3319164	183737805538	61.2	129887	158830	604326	37.5	195021	225856	10	all	(summary)	(summary)
HG00731	male	PUR	AMR	ERZ24811751	strandseq	all	(summary)	PRJEB12849	-1	-1	-1.0	-1	-1	-1	-1.0	-1	-1	-1	all	(summary)	yes
HG00732	female	PUR	AMR	ERZ24811356	hifi	HG00732_20190925_EEE_m54329U_190604_224858.Q20	ERR13110529	PRJEB75739	2312093	23417865203	7.8	10145	10157	0	0.0	0	0	0	m54329U_190604_224858.Q20	fuzzy-match	yes
HG00732	female	PUR	AMR	ERZ24811356	hifi	HG00732_20190925_EEE_m54329U_190610_071123.Q20	ERR13110530	PRJEB75739	1118036	11336950234	3.8	10158	10168	0	0.0	0	0	0	m54329U_190610_071123.Q20	fuzzy-match	yes
HG00732	female	PUR	AMR	ERZ24811356	hifi	HG00732_20190925_EEE_m54329U_190611_132246.Q20	ERR13110531	PRJEB75739	896218	9083662424	3.0	10153	10164	0	0.0	0	0	0	m54329U_190611_132246.Q20	fuzzy-match	yes
