id	alias	instrumentModel	firstCreated	firstPublic	releaseStatus	submissionAccountId	studyId	experimentId	sampleId	sample	project_accession	sample_alias	instrument_model	library_name	library_source	library_selection	library_strategy	file_name	file_md5	
ERR12954413	ena-RUN-TAB-27-04-2024-14:12:44:714-75736	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326610	ERS19211906	ERS19211906	PRJEB75216	HG00731_ONT-UL_2	PromethION	HG00731	GENOMIC	size fractionation	WGS	20220510_220505_21-lee-006_PC24B149_3C_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	8601c029350bf7457eb8a5e4794670a0	same
ERR12954385	ena-RUN-TAB-27-04-2024-14:12:44:694-75680	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326582	ERS19211989	ERS19211989	PRJEB75216	HG00731_ONT-UL_3	PromethION	HG00731	GENOMIC	size fractionation	WGS	20220511_220506_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	5d5b7064c7a0fba2aa31eb6954c535c9	same
ERR12954391	ena-RUN-TAB-27-04-2024-14:12:44:698-75692	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326588	ERS19211956	ERS19211956	PRJEB75216	HG00731_ONT-UL_4	PromethION	HG00731	GENOMIC	size fractionation	WGS	20230801_230726_23-lee-007_PCA100115_3D-run18_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	f795123f294963f35e21a2b5fa4e33d3	same
ERR12954402	ena-RUN-TAB-27-04-2024-14:12:44:706-75714	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326599	ERS19211941	ERS19211941	PRJEB75216	HG00731_ONT-UL_5	PromethION	HG00731	GENOMIC	size fractionation	WGS	20220510_220504_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	642ce60890c8b5c333dd1829dd8e5105	same
ERR12954378	ena-RUN-TAB-27-04-2024-14:12:44:689-75666	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326575	ERS19211999	ERS19211999	PRJEB75216	HG00733_ONT-UL_1	PromethION	HG00733	GENOMIC	size fractionation	WGS	20220228_220223_21-lee-006_PC24B149_1F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	c2848d655be3a037613168ac276ed675	same
ERR12954370	ena-RUN-TAB-27-04-2024-14:12:44:683-75650	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326567	ERS19211967	ERS19211967	PRJEB75216	HG00733_ONT-UL_2	PromethION	HG00733	GENOMIC	size fractionation	WGS	20220304_220224_21-lee-006_PC24B149_3D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	7802300e8f371a2a9c9136c902c81cac	same
ERR12954386	ena-RUN-TAB-27-04-2024-14:12:44:695-75682	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326583	ERS19212010	ERS19212010	PRJEB75216	HG00733_ONT-UL_3	PromethION	HG00733	GENOMIC	size fractionation	WGS	20220223_220216_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	a27c3261ac71ca25ce8941769963a71b	same
ERR12954397	ena-RUN-TAB-27-04-2024-14:12:44:702-75704	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326594	ERS19211901	ERS19211901	PRJEB75216	HG01596_ONT-UL_1	PromethION	HG01596	GENOMIC	size fractionation	WGS	20220511_220506_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	29f5f3c4af8c8f1d2482ec3293ea94d9	same
ERR12954387	ena-RUN-TAB-27-04-2024-14:12:44:695-75684	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326584	ERS19211974	ERS19211974	PRJEB75216	HG01596_ONT-UL_2	PromethION	HG01596	GENOMIC	size fractionation	WGS	20220515_220510_21-lee-006_PC24B149_2E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	3409d397c8aff1897c8dee2dcc2b2ffe	same
ERR12954375	ena-RUN-TAB-27-04-2024-14:12:44:687-75660	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326572	ERS19211927	ERS19211927	PRJEB75216	HG01596_ONT-UL_3	PromethION	HG01596	GENOMIC	size fractionation	WGS	20220518_220512_21-lee-006_PC24B149_3C_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	2b2910790ed231d4e854a2174c56ae61	same
ERR12954426	ena-RUN-TAB-27-04-2024-14:12:44:724-75762	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326623	ERS19212012	ERS19212012	PRJEB75216	HG01596_ONT-UL_4	PromethION	HG01596	GENOMIC	size fractionation	WGS	20230522_230516_23-lee-007_PCA100115_3B-run6_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	47ff9a9fedb20c9811d53c1b4fe637e9	same
ERR12954380	ena-RUN-TAB-27-04-2024-14:12:44:690-75670	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326577	ERS19212015	ERS19212015	PRJEB75216	HG01596_ONT-UL_5	PromethION	HG01596	GENOMIC	size fractionation	WGS	20220510_220504_21-lee-006_PC24B149-2E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	6729b01989e0973685c81a27e1322ee3	same
ERR12954398	ena-RUN-TAB-27-04-2024-14:12:44:703-75706	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326595	ERS19211939	ERS19211939	PRJEB75216	HG01890_ONT-UL_1	PromethION	HG01890	GENOMIC	size fractionation	WGS	20220215_220209_21-lee-006_PC24B149_1F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	7f877ac5c98351aeb54981a748a35a7a	same
ERR12954414	ena-RUN-TAB-27-04-2024-14:12:44:715-75738	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326611	ERS19211969	ERS19211969	PRJEB75216	HG01890_ONT-UL_2	PromethION	HG01890	GENOMIC	size fractionation	WGS	20230530_230523_23-lee-007_PCA100115_3F-run11_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	846fc4f85218b8fdecae7d8d0a2b9ff5	same
ERR12954429	ena-RUN-TAB-27-04-2024-14:12:44:726-75768	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326626	ERS19211954	ERS19211954	PRJEB75216	HG01890_ONT-UL_3	PromethION	HG01890	GENOMIC	size fractionation	WGS	20220210_220202_21-lee-006_PC24B149_2E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	5b70b3ab50af43b578b52dfdda24eb7f	same
ERR12954383	ena-RUN-TAB-27-04-2024-14:12:44:692-75676	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326580	ERS19211895	ERS19211895	PRJEB75216	HG02011_ONT-UL_1	PromethION	HG02011	GENOMIC	size fractionation	WGS	20230522_230516_23-lee-007_PCA100115_3F-run8_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	12c70c31b947a489a7c0d8bf0a6b4f48	same
ERR12954430	ena-RUN-TAB-27-04-2024-14:12:44:727-75770	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326627	ERS19211932	ERS19211932	PRJEB75216	HG02011_ONT-UL_2	PromethION	HG02011	GENOMIC	size fractionation	WGS	20220405_220330_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	d67c9346bb187a6d0297ab1bc7735d3c	same
ERR12954365	ena-RUN-TAB-27-04-2024-14:12:44:680-75640	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326562	ERS19212008	ERS19212008	PRJEB75216	HG02011_ONT-UL_3	PromethION	HG02011	GENOMIC	size fractionation	WGS	20220322_220316_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	07f314dbf7df26a7e3effb92a8258bd6	same
ERR12954412	ena-RUN-TAB-27-04-2024-14:12:44:713-75734	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326609	ERS19212032	ERS19212032	PRJEB75216	HG02011_ONT-UL_4	PromethION	HG02011	GENOMIC	size fractionation	WGS	20220405_220329_21-lee-006_PC24B149_2F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	b522705ed3e452145a9475f48b7ce8ab	same
ERR12954438	ena-RUN-TAB-27-04-2024-14:12:44:733-75786	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326635	ERS19212026	ERS19212026	PRJEB75216	HG02106_ONT-UL_1	PromethION	HG02106	GENOMIC	size fractionation	WGS	20210927_210915_21-lee-006_PCT0053_2-A1-D1_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	c72baea212754d8ef644136c4541c3c3	same
ERR12954400	ena-RUN-TAB-27-04-2024-14:12:44:704-75710	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326597	ERS19211896	ERS19211896	PRJEB75216	HG02106_ONT-UL_2	PromethION	HG02106	GENOMIC	size fractionation	WGS	20210920_210908_21-lee-006_PCT0053_2-A1-D1_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	cc61e41190adb9f19f42d3361aab66b1	same
ERR12954433	ena-RUN-TAB-27-04-2024-14:12:44:729-75776	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326630	ERS19212025	ERS19212025	PRJEB75216	HG02282_ONT-UL_1	PromethION	HG02282	GENOMIC	size fractionation	WGS	20220315_220308_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	beec9e40b3bd87aa01398d2e5a78fc8c	same
ERR12954409	ena-RUN-TAB-27-04-2024-14:12:44:711-75728	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326606	ERS19211963	ERS19211963	PRJEB75216	HG02282_ONT-UL_2	PromethION	HG02282	GENOMIC	size fractionation	WGS	20220307_220302_21-lee-006_PC24B149_2E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	cac9024de1de25fe8b817a3a9ab2ab8c	same
ERR12954419	ena-RUN-TAB-27-04-2024-14:12:44:718-75748	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326616	ERS19211890	ERS19211890	PRJEB75216	HG02282_ONT-UL_3	PromethION	HG02282	GENOMIC	size fractionation	WGS	20211102_211027_21-lee-006_PCT0053_2-A5-D5_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	5c134e6c69cc85f0e717d470536961e2	same
ERR12954381	ena-RUN-TAB-27-04-2024-14:12:44:691-75672	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326578	ERS19211916	ERS19211916	PRJEB75216	HG02492_ONT-UL_1	PromethION	HG02492	GENOMIC	size fractionation	WGS	20230626_230620_23-lee-007_PCA100115_3D-run14_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	18f0b474122290c0d509196d46bb1e17	same
ERR12954379	ena-RUN-TAB-27-04-2024-14:12:44:690-75668	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326576	ERS19211986	ERS19211986	PRJEB75216	HG02492_ONT-UL_2	PromethION	HG02492	GENOMIC	size fractionation	WGS	20220408_220405_21-lee-006_PC24B149_3E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	eb5920ca4db2fe9c5bd0a58604a8e83d	same
ERR12954415	ena-RUN-TAB-27-04-2024-14:12:44:716-75740	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326612	ERS19211943	ERS19211943	PRJEB75216	HG02492_ONT-UL_3	PromethION	HG02492	GENOMIC	size fractionation	WGS	20220412_220407_21-lee-006_PC24B149_3E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	3e1f25c1271782e2eb5778914341283f	same
ERR12954374	ena-RUN-TAB-27-04-2024-14:12:44:686-75658	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326571	ERS19211971	ERS19211971	PRJEB75216	HG02492_ONT-UL_4	PromethION	HG02492	GENOMIC	size fractionation	WGS	20220419_220412_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	a6e0e4788dae61eb5957b6ecd5dc90e6	same
ERR12954421	ena-RUN-TAB-27-04-2024-14:12:44:720-75752	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326618	ERS19211945	ERS19211945	PRJEB75216	HG03009_ONT-UL_1	PromethION	HG03009	GENOMIC	size fractionation	WGS	20220307_220302_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	e03c82c04df987df13a98dd29331317c	same
ERR12954368	ena-RUN-TAB-27-04-2024-14:12:44:682-75646	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326565	ERS19211995	ERS19211995	PRJEB75216	HG03009_ONT-UL_2	PromethION	HG03009	GENOMIC	size fractionation	WGS	20230801_230726_23-lee-007_PCA100115_2C-run16_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	fe033495a20c123796d9db0e697bcdf5	same
ERR12954399	ena-RUN-TAB-27-04-2024-14:12:44:703-75708	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326596	ERS19212030	ERS19212030	PRJEB75216	HG03009_ONT-UL_3	PromethION	HG03009	GENOMIC	size fractionation	WGS	20220223_220216_21-lee-006_PC24B149_1G_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	7358060fd672c8ecb152d4b5dff66f63	same
ERR12954393	ena-RUN-TAB-27-04-2024-14:12:44:699-75696	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326590	ERS19211928	ERS19211928	PRJEB75216	HG03009_ONT-UL_4	PromethION	HG03009	GENOMIC	size fractionation	WGS	20220226_220223_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ccde9e7d530b4464a9ad3e92a90e87e2	same
ERR12954362	ena-RUN-TAB-27-04-2024-14:12:44:677-75634	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326559	ERS19211930	ERS19211930	PRJEB75216	HG03065_ONT-UL_1	PromethION	HG03065	GENOMIC	size fractionation	WGS	20230801_230726_23-lee-007_PCA100115_3B-run17_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	f831247dbb2e21e532d766f859cafc34	same
ERR12954390	ena-RUN-TAB-27-04-2024-14:12:44:697-75690	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326587	ERS19211950	ERS19211950	PRJEB75216	HG03065_ONT-UL_2	PromethION	HG03065	GENOMIC	size fractionation	WGS	20220322_220316_21-lee-006_PC24B149_2F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	fc21273082f5e3770a840b92f28dd924	same
ERR12954394	ena-RUN-TAB-27-04-2024-14:12:44:700-75698	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326591	ERS19211914	ERS19211914	PRJEB75216	HG03065_ONT-UL_3	PromethION	HG03065	GENOMIC	size fractionation	WGS	20220329_220323_21-lee-006_PC24B149_2G_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	fa170be3383db14585e3a10960fd120a	same
ERR12954437	ena-RUN-TAB-27-04-2024-14:12:44:732-75784	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326634	ERS19211962	ERS19211962	PRJEB75216	HG03371_ONT-UL_1	PromethION	HG03371	GENOMIC	size fractionation	WGS	20220322_220316_21-lee-006_PC24B149_3D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	54cb1acdf38c6c131f71e53166450c0a	same
ERR12954384	ena-RUN-TAB-27-04-2024-14:12:44:693-75678	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326581	ERS19211905	ERS19211905	PRJEB75216	HG03371_ONT-UL_2	PromethION	HG03371	GENOMIC	size fractionation	WGS	20230619_230613_23-lee-007_PCA100115_3F-run13_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	f118c8ca8ed18618ebec5b75b2ebdcbb	same
ERR12954431	ena-RUN-TAB-27-04-2024-14:12:44:728-75772	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326628	ERS19211991	ERS19211991	PRJEB75216	HG03371_ONT-UL_3	PromethION	HG03371	GENOMIC	size fractionation	WGS	20220329_220323_21-lee-006_PC24B149_1F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	8a36af695248c5ff2598c79bd6633027	same
ERR12954389	ena-RUN-TAB-27-04-2024-14:12:44:697-75688	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326586	ERS19211980	ERS19211980	PRJEB75216	HG03456_ONT-UL_1	PromethION	HG03456	GENOMIC	size fractionation	WGS	20230428_230425_23-lee-007_PCA100115_3F-run2_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	8be30d8d13baac80052b2477a0df6551	same
ERR12954424	ena-RUN-TAB-27-04-2024-14:12:44:722-75758	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326621	ERS19212028	ERS19212028	PRJEB75216	HG03456_ONT-UL_2	PromethION	HG03456	GENOMIC	size fractionation	WGS	20220405_220329_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	0145a6b84f2e58b892b994e4e8c09fdf	same
ERR12954364	ena-RUN-TAB-27-04-2024-14:12:44:679-75638	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326561	ERS19211919	ERS19211919	PRJEB75216	HG03456_ONT-UL_3	PromethION	HG03456	GENOMIC	size fractionation	WGS	20220315_220308_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	e4f58ca2e13b96b7d83b7216f573241c	same
ERR12954363	ena-RUN-TAB-27-04-2024-14:12:44:678-75636	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326560	ERS19211960	ERS19211960	PRJEB75216	HG03456_ONT-UL_4	PromethION	HG03456	GENOMIC	size fractionation	WGS	20230505_230426_23-lee-007_PCA100115_3F-run4_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	17b3b3d3c56c903c06ff757669ae7ac5	same
ERR12954377	ena-RUN-TAB-27-04-2024-14:12:44:688-75664	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326574	ERS19211938	ERS19211938	PRJEB75216	HG03520_ONT-UL_1	PromethION	HG03520	GENOMIC	size fractionation	WGS	20211008_210929_21-lee-006_PCT0053_2-A9-D9_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	fedc734aa4da48786f1310aec9472d8c	same
ERR12954423	ena-RUN-TAB-27-04-2024-14:12:44:721-75756	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326620	ERS19212019	ERS19212019	PRJEB75216	HG03520_ONT-UL_2	PromethION	HG03520	GENOMIC	size fractionation	WGS	20211102_211020_21-lee-006_PCT0053_2-A11-D11_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	6794b5ff84b78dc8df3ac5a21eae792b	same
ERR12954405	ena-RUN-TAB-27-04-2024-14:12:44:708-75720	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326602	ERS19211936	ERS19211936	PRJEB75216	HG03732_ONT-UL_1	PromethION	HG03732	GENOMIC	size fractionation	WGS	20220503_220427_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	501d777e83ebf9b111b8cb456488b486	same
ERR12954388	ena-RUN-TAB-27-04-2024-14:12:44:696-75686	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326585	ERS19211947	ERS19211947	PRJEB75216	HG03732_ONT-UL_2	PromethION	HG03732	GENOMIC	size fractionation	WGS	20220503_220428_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	582a2db34427263be334cd7fc25e52e8	same
ERR12954422	ena-RUN-TAB-27-04-2024-14:12:44:721-75754	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326619	ERS19212021	ERS19212021	PRJEB75216	HG03732_ONT-UL_3	PromethION	HG03732	GENOMIC	size fractionation	WGS	20230530_230523_23-lee-007_PCA100115_3B-run9_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1d998e99e1adbd352fbce496ad8a3c46	same
ERR12954406	ena-RUN-TAB-27-04-2024-14:12:44:709-75722	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326603	ERS19211997	ERS19211997	PRJEB75216	HG03732_ONT-UL_4	PromethION	HG03732	GENOMIC	size fractionation	WGS	20220425_220420_21-lee-006_PC24B149_3E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	9bc475a7107df43243a4ec34259224eb	same
ERR12954410	ena-RUN-TAB-27-04-2024-14:12:44:712-75730	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326607	ERS19212023	ERS19212023	PRJEB75216	HG03807_ONT-UL_1	PromethION	HG03807	GENOMIC	size fractionation	WGS	20211019_211006_21-lee-006_PCT0053_2-A5-D5_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	e55b3f6b0dfd5a841992fb5717532ccb	same
ERR12954359	ena-RUN-TAB-27-04-2024-14:12:44:675-75628	PromethION	2024-04-27T15:12:48		PRIVATE	Webin-56587	ERP159803	ERX12326556	ERS19212034	ERS19212034	PRJEB75216	HG03807_ONT-UL_2	PromethION	HG03807	GENOMIC	size fractionation	WGS	20210920_210908_21-lee-006_PCT0053_2-A9-D9_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	2217e556728de94992e38af3dd19411f	same
ERR12954404	ena-RUN-TAB-27-04-2024-14:12:44:708-75718	PromethION	2024-04-27T15:12:49		PRIVATE	Webin-56587	ERP159803	ERX12326601	ERS19211925	ERS19211925	PRJEB75216	HG04217_ONT-UL_1	PromethION	HG04217	GENOMIC	size fractionation	WGS	20210913_210831_21-lee-006_PCT0053_2-A9-D9_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	ebef5bde68c9a66df6745acfc57683e4	same
