study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_source	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
PRJNA698480	SAMN00014364	SRS074315	SRX10000212	SRR13606095	9606	Homo sapiens	PL100149409-2	GENOMIC	PL100149409-2_S64049_20200124_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/095/SRR13606095/SRR13606095.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606095/EDEVI_20200124_S64049_PL100149409_2_A01.subreads.bam.1		HG01505	Human 1000 genomes individual HG01505	
PRJNA698480	SAMN00014364	SRS074315	SRX10000211	SRR13606096	9606	Homo sapiens	PL100149409-3	GENOMIC	PL100149409-3_S64049_20200131_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/096/SRR13606096/SRR13606096.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606096/EDEVI_20200131_S64049_PL100149409_3_A01.subreads.bam		HG01505	Human 1000 genomes individual HG01505	
PRJNA698480	SAMN00000419	SRS000649	SRX10000213	SRR13606098	9606	Homo sapiens	PL100149410-1	GENOMIC	PL100149410-1_S64049_20200121_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/098/SRR13606098/SRR13606098_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/098/SRR13606098	SAMN00000419	Coriell GM18534	
PRJNA698480	SAMN24695415	SRS11527180	SRX15470603	SRR19416255	9606	Homo sapiens	PL100170205A-1	GENOMIC	PL100170205A-1_S64018_20210427_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/055/SRR19416255/SRR19416255_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/055/SRR19416255	HG03520	Human sample from Homo sapiens	
PRJNA698480	SAMN24695415	SRS11527180	SRX15470601	SRR19416259	9606	Homo sapiens	PL100170205-1	GENOMIC	PL100170205-1_S64049_20210402_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/059/SRR19416259/SRR19416259_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/059/SRR19416259	HG03520	Human sample from Homo sapiens	
PRJNA698480	SAMN17072814	SRS7955673	SRX15554242	SRR19501523	9606	Homo sapiens	PL100170204-1	GENOMIC	PL100170204-1_S64049_20210402_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/023/SRR19501523/SRR19501523_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/023/SRR19501523	HG02282_CLR_UW	Human sample from Homo sapiens	
PRJNA698480	SAMN00001229	SRS001677	SRX10000188	SRR13606071	9606	Homo sapiens	PL100149414-3	GENOMIC	PL100149414-3_S64049_20200131_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/071/SRR13606071/SRR13606071.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606071/EDEVI_20200131_S64049_PL100149414_3_B01.subreads.bam		SAMN00001229	Coriell GM20509	
PRJNA698480	SAMN00006465	SRS008631	SRX10000199	SRR13606084	9606	Homo sapiens	PL100139347-2	GENOMIC	PL100139347-2_S64049_20191007_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/084/SRR13606084/SRR13606084_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/084/SRR13606084	SAMN00006465	Coriell HG00512	
PRJNA698480	SAMN00006466	SRS008632	SRX10000206	SRR13606087	9606	Homo sapiens	PL100139348-2	GENOMIC	PL100139348-2_S64049_20191007_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/087/SRR13606087/SRR13606087_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/087/SRR13606087	SAMN00006466	Coriell HG00513	
PRJNA698480	SAMN17072814	SRS7955673	SRX15554245	SRR19501521	9606	Homo sapiens	PL100170204-3	GENOMIC	PL100170204-3_S64018_20210412_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/021/SRR19501521/SRR19501521_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/021/SRR19501521	HG02282_CLR_UW	Human sample from Homo sapiens	
PRJNA698480	SAMN17072814	SRS7955673	SRX15554243	SRR19501525	9606	Homo sapiens	PL100194356-1	GENOMIC	PL100194356-1_S64018_20210907_D01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/025/SRR19501525/SRR19501525_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/025/SRR19501525	HG02282_CLR_UW	Human sample from Homo sapiens	
PRJNA698480	SAMN00001162	SRS001610	SRX15556972	SRR19504262	9606	Homo sapiens	PL100192554-1	GENOMIC	PL100192554-1_S64049_20210820_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/062/SRR19504262/SRR19504262_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/062/SRR19504262	SAMN00001162	Coriell GM19434	
PRJNA698480	SAMN00001162	SRS001610	SRX15556976	SRR19504263	9606	Homo sapiens	PL100216561-3	GENOMIC	PL100216561-3_S64049_20220125_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/063/SRR19504263/SRR19504263_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/063/SRR19504263	SAMN00001162	Coriell GM19434	
PRJNA698480	SAMN00001162	SRS001610	SRX15556975	SRR19504264	9606	Homo sapiens	PL100216561-3	GENOMIC	PL100216561-3_S64049_20220125_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/064/SRR19504264/SRR19504264_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/064/SRR19504264	SAMN00001162	Coriell GM19434	
PRJNA698480	SAMN17072814	SRS7955673	SRX15554241	SRR19501520	9606	Homo sapiens	PL100170204-3	GENOMIC	PL100170204-3_S64018_20210412_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/020/SRR19501520/SRR19501520_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/020/SRR19501520	HG02282_CLR_UW	Human sample from Homo sapiens	
PRJNA698480	SAMN17072814	SRS7955673	SRX15554244	SRR19501522	9606	Homo sapiens	PL100170204-1	GENOMIC	PL100170204-1_S64049_20210402_A01_run				HG02282_CLR_UW	Human sample from Homo sapiens	
PRJNA698480	SAMN00007808	SRS003742	SRX15554344	SRR19501622	9606	Homo sapiens	PL100179097A-2	GENOMIC	PL100179097A-2_S64018_20211122_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/022/SRR19501622/SRR19501622_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/022/SRR19501622	NA19836	HapMap sample from Homo sapiens	
PRJNA698480	SAMN00000485	SRS000715	SRX10000183	SRR13606067	9606	Homo sapiens	PL100149416-1	GENOMIC	PL100149416-1_S64049_20200115_D01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/067/SRR13606067/SRR13606067.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606067/EDEVI_20200115_S64049_PL100149416_1_D01.subreads.bam		SAMN00000485	Coriell GM18939	
PRJNA698480	SAMN00000485	SRS000715	SRX10000184	SRR13606068	9606	Homo sapiens	PL100149416-1	GENOMIC	PL100149416-1_S64049_20200121_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/068/SRR13606068/SRR13606068.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606068/EDEVI_20200121_S64049_PL100149416_1_B01.subreads.bam.1		SAMN00000485	Coriell GM18939	
PRJNA698480	SAMN00007703	SRS003637	SRX10000186	SRR13606069	9606	Homo sapiens	PL100149413-1	GENOMIC	PL100149413-1_S64018_20200124_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/069/SRR13606069/SRR13606069_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/069/SRR13606069	NA19650	HapMap sample from Homo sapiens	
PRJNA698480	SAMN00007703	SRS003637	SRX10000185	SRR13606070	9606	Homo sapiens	PL100149413-1	GENOMIC	PL100149413-1_S64049_20200127_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/070/SRR13606070/SRR13606070_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/070/SRR13606070	NA19650	HapMap sample from Homo sapiens	
PRJNA698480	SAMN00001229	SRS001677	SRX10000187	SRR13606072	9606	Homo sapiens	PL100149414-3	GENOMIC	PL100149414-3_S64018_20200207_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/072/SRR13606072/SRR13606072_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/072/SRR13606072	SAMN00001229	Coriell GM20509	
PRJNA698480	SAMN00004622	SRS006837	SRX10000192	SRR13606076	9606	Homo sapiens	PL100149411-2	GENOMIC	PL100149411-2_S64049_20200127_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/076/SRR13606076/SRR13606076.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606076/EDEVI_20200127_S64049_PL100149411_2_A01.subreads.bam		SAMN00004622	Coriell HG00096	
PRJNA698480	SAMN00006465	SRS008631	SRX10000194	SRR13606078	9606	Homo sapiens	PL100139347A-1	GENOMIC	PL100139347A-1_S64018_20200117_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/078/SRR13606078/SRR13606078.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606078/EDEVI_20200117_S64018_PL100139347A_1_A01.subreads.bam		SAMN00006465	Coriell HG00512	
PRJNA698480	SAMN00006465	SRS008631	SRX10000196	SRR13606080	9606	Homo sapiens	PL100139347-1	GENOMIC	PL100139347-1_S64018_20190920_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/080/SRR13606080/SRR13606080_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/080/SRR13606080	SAMN00006465	Coriell HG00512	
PRJNA698480	SAMN00006465	SRS008631	SRX10000200	SRR13606081	9606	Homo sapiens	PL100139347-2	GENOMIC	PL100139347-2_S64018_20191004_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/081/SRR13606081/SRR13606081_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/081/SRR13606081	SAMN00006465	Coriell HG00512	
PRJNA698480	SAMN00006465	SRS008631	SRX10000193	SRR13606082	9606	Homo sapiens	PL100139347-2	GENOMIC	PL100139347-2_S64018_20191004_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/082/SRR13606082/SRR13606082_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/082/SRR13606082	SAMN00006465	Coriell HG00512	
PRJNA698480	SAMN00006466	SRS008632	SRX10000207	SRR13606085	9606	Homo sapiens	PL100139348A-1	GENOMIC	PL100139348A-1_S64049_20200115_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/085/SRR13606085/SRR13606085_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/085/SRR13606085	SAMN00006466	Coriell HG00513	
PRJNA698480	SAMN00006466	SRS008632	SRX10000204	SRR13606089	9606	Homo sapiens	PL100139348-1	GENOMIC	PL100139348-1_S64018_20190920_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/089/SRR13606089/SRR13606089_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606089/EDEVI_20190920_S64018_PL100139348_1_B01.ccs.bam	ftp.sra.ebi.ac.uk/vol1/srr/SRR136/089/SRR13606089	SAMN00006466	Coriell HG00513	
PRJNA698480	SAMN00006466	SRS008632	SRX10000201	SRR13606090	9606	Homo sapiens	PL100139348-1	GENOMIC	PL100139348-1_S64018_20190920_D01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/090/SRR13606090/SRR13606090_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/090/SRR13606090	SAMN00006466	Coriell HG00513	
PRJNA698480	SAMN00006466	SRS008632	SRX10000205	SRR13606092	9606	Homo sapiens	PL100139348-1	GENOMIC	PL100139348-1_S64018_20191004_D01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/092/SRR13606092/SRR13606092_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/092/SRR13606092	SAMN00006466	Coriell HG00513	
PRJNA698480	SAMN00249890	SRS179215	SRX10000209	SRR13606094	9606	Homo sapiens	PL100149417-1	GENOMIC	PL100149417-1_S64049_20200211_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/094/SRR13606094/SRR13606094.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/SRR136/SRR13606094/EDEVI_20200211_S64049_PL100149417_1_A01.subreads.bam		SAMN00249890	Coriell HG00864	
PRJNA698480	SAMN00000419	SRS000649	SRX10000214	SRR13606097	9606	Homo sapiens	PL100149410-1	GENOMIC	PL100149410-1_S64049_20200115_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/097/SRR13606097/SRR13606097_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR136/097/SRR13606097	SAMN00000419	Coriell GM18534	
PRJNA698480	SAMN17072814	SRS7955673	SRX15554246	SRR19501524	9606	Homo sapiens	PL100194356-2	GENOMIC	PL100194356-2_S64049_20211019_A01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/024/SRR19501524/SRR19501524_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/024/SRR19501524	HG02282_CLR_UW	Human sample from Homo sapiens	
PRJNA698480	SAMN00007808	SRS003742	SRX15554342	SRR19501620	9606	Homo sapiens	PL100193594-1	GENOMIC	PL100193594-1_S64049_20210902_F01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/020/SRR19501620/SRR19501620_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/020/SRR19501620	NA19836	HapMap sample from Homo sapiens	
PRJNA698480	SAMN00007808	SRS003742	SRX15554343	SRR19501621	9606	Homo sapiens	PL100179097A-2	GENOMIC	PL100179097A-2_S64018_20211103_D01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/021/SRR19501621/SRR19501621_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/021/SRR19501621	NA19836	HapMap sample from Homo sapiens	
PRJNA698480	SAMN00007808	SRS003742	SRX15554341	SRR19501623	9606	Homo sapiens	PL100179097A-1	GENOMIC	PL100179097A-1_S64018_20211001_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/023/SRR19501623/SRR19501623_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/023/SRR19501623	NA19836	HapMap sample from Homo sapiens	
PRJNA698480	SAMN24695415	SRS11527180	SRX15470593	SRR19416256	9606	Homo sapiens	PL100170205A-3	GENOMIC	PL100170205A-3_S64018_20210603_A01_run				HG03520	Human sample from Homo sapiens	
PRJNA698480	SAMN24695415	SRS11527180	SRX15470597	SRR19416257	9606	Homo sapiens	PL100194882-1	GENOMIC	PL100194882-1_S64018_20210924_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/057/SRR19416257/SRR19416257_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/057/SRR19416257	HG03520	Human sample from Homo sapiens	
PRJNA698480	SAMN24695415	SRS11527180	SRX15470595	SRR19416258	9606	Homo sapiens	PL100194882-1	GENOMIC	PL100194882-1_S64018_20210924_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/058/SRR19416258/SRR19416258_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/058/SRR19416258	HG03520	Human sample from Homo sapiens	
PRJNA698480	SAMN24695415	SRS11527180	SRX15470599	SRR19416260	9606	Homo sapiens	PL100194881-1	GENOMIC	PL100194881-1_S64049_20211019_B01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/060/SRR19416260/SRR19416260_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/060/SRR19416260	HG03520	Human sample from Homo sapiens	
PRJNA698480	SAMN00001162	SRS001610	SRX15556973	SRR19504265	9606	Homo sapiens	PL100216561-1	GENOMIC	PL100216561-1_S64049_20211130_C01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/065/SRR19504265/SRR19504265_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/065/SRR19504265	SAMN00001162	Coriell GM19434	
PRJNA698480	SAMN00001162	SRS001610	SRX15556974	SRR19504266	9606	Homo sapiens	PL100216561-1	GENOMIC	PL100216561-1_S64049_20211130_D01_run	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/066/SRR19504266/SRR19504266_subreads.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR195/066/SRR19504266	SAMN00001162	Coriell GM19434	
