study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	read_count	base_count	center_name	experiment_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	sample_alias	sample_title
PRJEB36100	SAMN06161387	SRS1868545	ERX3873464	ERR3861410	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	6970585	182634619893	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: NA12329 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_NA12329_CLR_UW	NA12329-CLR-r64076_20191206_232343-A01	53644257699	a1bc27327384dddc007c4719324f731b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/000/ERR3861410/ERR3861410_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861410/NA12329-clr-r64076_20191206_232343-A01.bam	GSM2431264	NA12329
PRJEB36100	SAMN00255129	SRS184297	ERX3873465	ERR3861411	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	5474952	157018621963	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG02011 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG02011_CLR_UW	HG02011-CLR-r64076_20191113_194424-A01	46302392773	d94e571ec7463bbc2397460da651da6f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/001/ERR3861411/ERR3861411_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861411/HG02011-clr-r64076_20191113_194424-A01.bam	HG02011	Human 1000 genomes individual HG02011
PRJEB36100	SAMN01096687	SRS352822	ERX3873467	ERR3861416	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	7304263	177032529699	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG03009 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG03009_CLR_UW	HG03009-CLR-r64076_20191120_002050-A01	52778385010	41d5b47247b4ef16510e78d5486d2a5c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/006/ERR3861416/ERR3861416_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861416/HG03009-clr-r64076_20191120_002050-A01.bam	SAMN01096687	Coriell HG03009
PRJEB36100	SAMN00006467	SRS008633	ERX4795956	ERR4982316	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	4394783	85188310565	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00514 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00514_CLR_UW	HG00514-CLR-r54329U_20200723_211822-A01	25347034263	5fa4a373bbfb95b0c59d49303d42c4d0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR498/006/ERR4982316/ERR4982316.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4982316/HG00514-clr-r54329U_20200723_211822-A01.bam	HG00514	Human 1000 genomes individual HG00514
PRJEB36100	SAMN00006467	SRS008633	ERX4795966	ERR4982327	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	1530335	25992945599	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00514 (HiFi, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00514_HiFi_UW	HG00514-HiFi-r54329U_20200715_193257-A01	23255423956	794e0f47f5d251ca5c93bc778b4a0cea	ftp.sra.ebi.ac.uk/vol1/fastq/ERR498/007/ERR4982327/ERR4982327.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4982327/HG00514-hifi-r54329U_20200715_193257-A01.bam	HG00514	Human 1000 genomes individual HG00514
PRJEB36100	SAMN00006579	SRS008745	ERX3852661	ERR3840019	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	2007819	20803296068	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00731 (HiFi, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00731_HiFi_UW	HG00731-HiFi-r54329U_20190531_173856-B01	16252226250	6b149ef461b59cc410a14d1d3326f63c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/009/ERR3840019/ERR3840019_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840019/HG00731-hifi-r54329U_20190531_173856-B01.bam	SAMN00006579	Coriell HG00731
PRJEB36100	SAMN01761236	SRS368122	ERX3873458	ERR3861397	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	6511576	177047941379	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG03065 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG03065_CLR_UW	HG03065-CLR-r54329U_20191115_214119-B01	52460199181	42476e8b5192712f8ea7e1c2303e322f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/007/ERR3861397/ERR3861397_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861397/HG03065-clr-r54329U_20191115_214119-B01.bam	HG03065	Human 1000 genomes individual HG03065
PRJEB36100	SAMN00007824	SRS003758	ERX3873460	ERR3861401	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	7288383	199510913209	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: NA19983 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_NA19983_CLR_UW	NA19983-CLR-r54329U_20191206_001107-A01	59624974401	9c39c7e85c798ccb922f5eee881e886e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/001/ERR3861401/ERR3861401_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861401/NA19983-clr-r54329U_20191206_001107-A01.bam	NA19983	HapMap sample from Homo sapiens
PRJEB36100	SAMN01090902	SRS350792	ERX3873463	ERR3861408	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	5931671	165126431450	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG03371 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG03371_CLR_UW	HG03371-CLR-r64076_20191115_214147-B01	48920901934	7a1c8b8feaa0a4ae23e70247f189451e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/008/ERR3861408/ERR3861408_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861408/HG03371-clr-r64076_20191115_214147-B01.bam	HG03371	Human 1000 genomes individual HG03371
PRJEB36100	SAMN09933722	SRS3736542	ERX3873466	ERR3861414	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	7049195	177094919425	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00731 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00731_CLR_UW	HG00731-CLR-r64076_20191209_223506-A01	52212874239	a6108ab9ff93316355c00f8c264e189f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/004/ERR3861414/ERR3861414_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861414/HG00731-clr-r64076_20191209_223506-A01.bam	H_IJ-HG00731-HG00731_2	Human 1000 Genomes sample HG00731 whole genome sequence by McDonnell Genome Institute
PRJEB36100	SAMN01096687	SRS352822	ERX3873467	ERR3861415	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	6701436	162268540763	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG03009 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG03009_CLR_UW	HG03009-CLR-r64076_20191115_214147-C01	48297650297	b16267db4188e3baab969958f0ce6968	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/005/ERR3861415/ERR3861415_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861415/HG03009-clr-r64076_20191115_214147-C01.bam	SAMN01096687	Coriell HG03009
PRJEB36100	SAMN00006467	SRS008633	ERX4795966	ERR4982329	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	1353586	22984885701	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00514 (HiFi, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00514_HiFi_UW	HG00514-HiFi-r54329U_20200717_234302-B01	21185536472	d4d68e123bbf7ff185957c12bef6500e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR498/009/ERR4982329/ERR4982329.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4982329/HG00514-hifi-r54329U_20200717_234302-B01.bam	HG00514	Human 1000 genomes individual HG00514
PRJEB36100	SAMN09933723	SRS3736541	ERX4797255	ERR4987505	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	955105	22123656631	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00732 (HiFi, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00732_HiFi_UW_Resub	HG00732-HiFi-r64076_20200601_233545-B01	21684699993	501d5541134d9dae65ec69338048931a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR498/005/ERR4987505/ERR4987505.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4987505/HG00732-hifi-r64076_20200601_233545-B01.bam	H_IJ-HG00732-HG00732_1	Human 1000 Genomes sample HG00732 whole genome sequence by McDonnell Genome Institute
PRJEB36100	SAMN00006579	SRS008745	ERX3852661	ERR3840017	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	1939274	20057436023	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00731 (HiFi, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00731_HiFi_UW	HG00731-HiFi-r54329U_20190528_230410-A01	15839836728	80c4ff091f66f8c643dcbb6d383b8130	ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/007/ERR3840017/ERR3840017_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840017/HG00731-hifi-r54329U_20190528_230410-A01.bam	SAMN00006579	Coriell HG00731
PRJEB36100	SAMN00006579	SRS008745	ERX3852661	ERR3840020	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	1946139	20155799090	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00731 (HiFi, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00731_HiFi_UW	HG00731-HiFi-r54329U_20190604_223930-B01	15510808100	00d2277f9c35e0199a5255c5fb69bdda	ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/000/ERR3840020/ERR3840020_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840020/HG00731-hifi-r54329U_20190604_223930-B01.bam	SAMN00006579	Coriell HG00731
PRJEB36100	SAMN00006579	SRS008745	ERX3852661	ERR3840021	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	1249604	20153687851	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00731 (HiFi, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00731_HiFi_UW	HG00731-HiFi-r54329U_20190906_202809-A01	16475072670	9e77cb6bf6cbd7f61a2f099f0e264590	ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/001/ERR3840021/ERR3840021_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840021/HG00731-hifi-r54329U_20190906_202809-A01.bam	SAMN00006579	Coriell HG00731
PRJEB36100	SAMN00006581	SRS008747	ERX3831682	ERR3861384	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	684358	8977930886	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: Raw reads: HGSVC_HG00733_HiFi_Reads	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_HG00733_HiFi_Reads	HG00733-HiFi-r54329U_20190617_231034-B01	7558205107	34fb05bc2bbd109399d28f6e1891b3ba	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/004/ERR3861384/ERR3861384_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861384/HG00733-hifi-r54329U_20190617_231034-B01.bam	SAMN00006581	Coriell HG00733
PRJEB36100	SAMN00006581	SRS008747	ERX3831682	ERR3861385	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	853596	11221698288	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: Raw reads: HGSVC_HG00733_HiFi_Reads	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_HG00733_HiFi_Reads	HG00733-HiFi-r54329U_20190617_231034-A01	9439768843	ad8e78bc779726caed0b1af11f9aab99	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/005/ERR3861385/ERR3861385_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861385/HG00733-hifi-r54329U_20190617_231034-A01.bam	SAMN00006581	Coriell HG00733
PRJEB36100	SAMN00006581	SRS008747	ERX3831682	ERR3861386	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	1263676	16588746431	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: Raw reads: HGSVC_HG00733_HiFi_Reads	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_HG00733_HiFi_Reads	HG00733-HiFi-r54329U_20190701_221906-A01	13545009152	ecb5025e1d125e96b2f98f8d00c03035	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/006/ERR3861386/ERR3861386_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861386/HG00733-hifi-r54329U_20190701_221906-A01.bam	SAMN00006581	Coriell HG00733
PRJEB36100	SAMN00006581	SRS008747	ERX3831682	ERR3861387	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	1167599	15348796405	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: Raw reads: HGSVC_HG00733_HiFi_Reads	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_HG00733_HiFi_Reads	HG00733-HiFi-r54329U_20190629_175135-A01	12539801126	2ed6161abfad74473039a68abdb257d4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/007/ERR3861387/ERR3861387_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861387/HG00733-hifi-r54329U_20190629_175135-A01.bam	SAMN00006581	Coriell HG00733
PRJEB36100	SAMN01761236	SRS368122	ERX3873458	ERR3861398	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	5989114	162089851430	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG03065 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG03065_CLR_UW	HG03065-CLR-r54329U_20191118_223523-B01	47970292783	6b3058b053a4670a28c0e2b8e2b3815a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/008/ERR3861398/ERR3861398_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861398/HG03065-clr-r54329U_20191118_223523-B01.bam	HG03065	Human 1000 genomes individual HG03065
PRJEB36100	SAMN00779992	SRS290929	ERX3873459	ERR3861399	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	5295048	158399162961	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG02492 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG02492_CLR_UW	HG02492-CLR-r54329U_20191115_214119-A01	46832941215	92873a5faf5cbd967d32317e91b7b9c7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/009/ERR3861399/ERR3861399_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861399/HG02492-clr-r54329U_20191115_214119-A01.bam	HG02492	Human 1000 genomes individual HG02492
PRJEB36100	SAMN09933723	SRS3736541	ERX3873462	ERR3861405	PACBIO_SMRT	Sequel II		SINGLE	WGS	GENOMIC	6546111	184837775733	UNIVERSITY OF WASHINGTON - GENOME SCIENCES	Sequel II sequencing: HGSVC Reads: HG00732 (CLR, UW)	ena-STUDY-UNIVERSITY OF WASHINGTON - GENOME SCIENCES-08-01-2020-17:49:45:343-1732	HGSVC_Reads_HG00732_CLR_UW	HG00732-CLR-r54329U_20191212_232645-C01	54752130195	02d525f332cffc9b2839f85f1222699e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR386/005/ERR3861405/ERR3861405_subreads.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861405/HG00732-clr-r54329U_20191212_232645-C01.bam	H_IJ-HG00732-HG00732_1	Human 1000 Genomes sample HG00732 whole genome sequence by McDonnell Genome Institute
