project_accession	sample_alias	id	alias	instrumentModel	firstCreated	firstPublic	releaseStatus	submissionAccountId	studyId	experimentId	sampleId	instrument_model	library_name	library_source	library_selection	library_strategy	file_name	file_md5
PRJEB75190	HG03456_PacBioHiFi_19	ERR12953031	ena-RUN-TAB-26-04-2024-02:54:13:515-62952	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325228	ERS19138082	Sequel II	HG03456	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03456_m64119_220107_181428.fastq.gz	3fd3e801f8b27c573544bc540d1e510e
PRJEB75190	HG03732_PacBioHiFi_1	ERR12953026	ena-RUN-TAB-26-04-2024-02:54:13:511-62942	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325223	ERS14417007	Sequel II	HG03732	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03732_m64039_220307_165844.fastq.gz	4ee818a1c7bd02e9f4368c4173b6843a
PRJEB75190	HG03732_PacBioHiFi_2	ERR12953022	ena-RUN-TAB-26-04-2024-02:54:13:509-62934	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325219	ERS14417008	Sequel II	HG03732	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03732_m84148_231004_194944_s4.hifi_reads.HG03732_GT23-12529_bc2013.fastq.gz	8f859e843b52d1ec43071503e463ec00
PRJEB75190	HG03732_PacBioHiFi_3	ERR12953021	ena-RUN-TAB-26-04-2024-02:54:13:508-62932	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325218	ERS14417009	Sequel II	HG03732	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03732_m64119_220228_203256.fastq.gz	936ba8a378c7874bdc0fcf6e70c1753f
PRJEB75190	HG03732_PacBioHiFi_4	ERR12953017	ena-RUN-TAB-26-04-2024-02:54:13:504-62924	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325214	ERS19202381	Sequel II	HG03732	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03732_m64039_220309_035544.fastq.gz	9dfa2a170cec78d01a52749b9ef47e13
PRJEB75190	HG03807_PacBioHiFi_1	ERR12953020	ena-RUN-TAB-26-04-2024-02:54:13:507-62930	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325217	ERS19138099	Sequel II	HG03807	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03807_m64119_210124_053806.fastq.gz	70446f9de0ae38b909cf60d54cf63ee5
PRJEB75190	HG03807_PacBioHiFi_2	ERR12953013	ena-RUN-TAB-26-04-2024-02:54:13:501-62916	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325210	ERS19138085	Sequel II	HG03807	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03807_m64119_210125_120547.fastq.gz	232b3b4868d6fc58a425b1d4bc8f059a
PRJEB75190	HG03807_PacBioHiFi_3	ERR12953011	ena-RUN-TAB-26-04-2024-02:54:13:500-62912	Sequel II	2024-04-26T03:54:14		PRIVATE	Webin-56587	ERP159775	ERX12325208	ERS19138069	Sequel II	HG03807	GENOMIC	size fractionation	WGS	JAX_HiFi_HG03807_m64039_210118_125023.fastq.gz	db4b694ea9351cb829f28f782e564ab0
PRJEB75190	HG04217_PacBioHiFi_20	ERR12953019	ena-RUN-TAB-26-04-2024-02:54:13:506-62928	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325216	ERS19138097	Sequel II	HG04217	GENOMIC	size fractionation	WGS	JAX_HiFi_HG04217_m64119_210212_015818.fastq.gz	033059b9f88a1f0ae51b8e9d198656a6
PRJEB75190	HG04217_PacBioHiFi_21	ERR12953035	ena-RUN-TAB-26-04-2024-02:54:13:518-62960	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325232	ERS19138089	Sequel II	HG04217	GENOMIC	size fractionation	WGS	JAX_HiFi_HG04217_m64039_210119_191818.fastq.gz	aa05a48e483d8ea641b95b7201ca5747
PRJEB75190	HG04217_PacBioHiFi_22	ERR12953025	ena-RUN-TAB-26-04-2024-02:54:13:511-62940	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325222	ERS19138091	Sequel II	HG04217	GENOMIC	size fractionation	WGS	JAX_HiFi_HG04217_m64119_210213_082612.fastq.gz	17f6e3d440dc779deb289bc000c5dd9d
PRJEB75190	NA19238_PacBioHiFi_4	ERR12953016	ena-RUN-TAB-26-04-2024-02:54:13:504-62922	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325213	ERS19138078	Sequel II	NA19238	GENOMIC	size fractionation	WGS	m64119e_230601_192211.hifi_reads.fastq.gz	10a750ab91005ba4e00cc60d7a8b6040
PRJEB75190	NA19238_PacBioHiFi_5	ERR12953032	ena-RUN-TAB-26-04-2024-02:54:13:516-62954	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325229	ERS19138084	Sequel II	NA19238	GENOMIC	size fractionation	WGS	m64119e_230519_064527.hifi_reads.fastq.gz	9863ff5877906089305d2ad0f3059d28
PRJEB75190	NA19240_PacBioHiFi_11	ERR12953029	ena-RUN-TAB-26-04-2024-02:54:13:514-62948	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325226	ERS19138100	Sequel II	NA19240	GENOMIC	size fractionation	WGS	m64119e_230520_160121.hifi_reads.fastq.gz	b65633992d4e906e6d69fd19bf17abe3
PRJEB75190	NA19240_PacBioHiFi_12	ERR12953033	ena-RUN-TAB-26-04-2024-02:54:13:517-62956	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325230	ERS19138104	Sequel II	NA19240	GENOMIC	size fractionation	WGS	m64119e_230611_140644.hifi_reads.fastq.gz	66cd11981467057951d24dbf9b757ab6
PRJEB75190	NA19240_PacBioHiFi_13	ERR12953015	ena-RUN-TAB-26-04-2024-02:54:13:503-62920	Sequel II	2024-04-26T03:54:15		PRIVATE	Webin-56587	ERP159775	ERX12325212	ERS19138075	Sequel II	NA19240	GENOMIC	size fractionation	WGS	m64119e_230619_151314.hifi_reads.fastq.gz	ced68a05f5036b3356d1550c65b8529a
