chrom	chromStart	chromEnd	name	strand	thickStart	thickEnd	name2	geneName	geneName2
chr6	2817070	2840481	NM_004568.6	-	2817209	2828242	SERPINB6	NM_004568.6	SERPINB6
chr6	2817070	2840707	NM_001297700.2	-	2817209	2828242	SERPINB6	NM_001297700.2	SERPINB6
chr6	2868795	2888657	NM_000904.6	+	2875454	2888557	NQO2	NM_000904.6	NQO2
chr6	2868795	2888657	NM_001290221.2	+	2875454	2888557	NQO2	NM_001290221.2	NQO2
chr6	2868795	2888657	NM_001290222.2	+	2875454	2888557	NQO2	NM_001290222.2	NQO2
chr6	2868795	2888657	NM_001318940.2	+	2875454	2888557	NQO2	NM_001318940.2	NQO2
chr6	2932865	2983225	NM_001317061.3	+	2952002	2981377	RIPK1	NM_001317061.3	RIPK1
chr6	2932865	2983225	NM_001354931.2	+	2945720	2981377	RIPK1	NM_001354931.2	RIPK1
chr6	2932865	2983225	NM_001354932.2	+	2952002	2981377	RIPK1	NM_001354932.2	RIPK1
chr6	2932865	2983225	NM_003804.6	+	2945720	2981377	RIPK1	NM_003804.6	RIPK1
chr6	2937276	2983225	NM_001354934.2	+	2952002	2981377	RIPK1	NM_001354934.2	RIPK1
chr6	2937392	2983225	NM_001354930.2	+	2945720	2981377	RIPK1	NM_001354930.2	RIPK1
chr6	2937392	2983225	NM_001354933.2	+	2952002	2981377	RIPK1	NM_001354933.2	RIPK1
chr6	2986414	3020418	NM_001302777.1	+	2987495	3019795	BPHL	NM_001302777.1	BPHL
chr6	2986749	3020798	NM_004332.4	+	2986779	3019795	BPHL	NM_004332.4	BPHL
chr6	3020885	3024765	NM_001069.3	-	3021082	3024684	TUBB2A	NM_001069.3	TUBB2A
chr6	3020885	3024765	NM_001310315.2	-	3021082	3022165	TUBB2A	NM_001310315.2	TUBB2A
chr6	3092679	3096055	NM_178012.5	-	3093152	3095945	TUBB2B	NM_178012.5	TUBB2B
chr6	3127333	3136452	NM_001128591.2	+	3127409	3136115	PSMG4	NM_001128591.2	PSMG4
chr6	3127333	3136452	NM_001128592.2	+	3127409	3136115	PSMG4	NM_001128592.2	PSMG4
chr6	3127333	3136452	NM_001135750.2	+	3127409	3132222	PSMG4	NM_001135750.2	PSMG4
chr6	3137375	3192506	NM_001382318.1	-	3141463	3192474	SLC22A23	NM_001382318.1	SLC22A23
chr6	3137375	3313779	NM_001286455.1	-	3141463	3279040	SLC22A23	NM_001286455.1	SLC22A23
chr6	3137375	3313779	NM_021945.6	-	3141463	3279040	SLC22A23	NM_021945.6	SLC22A23
chr6	3137375	3325795	NM_015482.2	-	3141463	3325304	SLC22A23	NM_015482.2	SLC22A23
chr6	3151221	3192506	NM_001382319.1	-	3152144	3192474	SLC22A23	NM_001382319.1	SLC22A23
chr6	3151221	3325795	NM_001382317.1	-	3152144	3325304	SLC22A23	NM_001382317.1	SLC22A23
chr6	3191697	3192506	NM_001382321.1	-	3192185	3192474	SLC22A23	NM_001382321.1	SLC22A23
chr6	3191697	3325795	NM_001286456.2	-	3192185	3325304	SLC22A23	NM_001286456.2	SLC22A23
chr6	3191697	3325795	NM_001382320.1	-	3192352	3325304	SLC22A23	NM_001382320.1	SLC22A23
chr6	3591564	3620651	NM_183373.4	-	3592563	3620469	PXDC1	NM_183373.4	PXDC1
chr6	3719009	3720954	NM_012135.3	+	3719448	3720426	FAM50B	NM_012135.3	FAM50B
chr6	3890935	3934285	NM_003913.5	+	3891061	3929918	PRPF4B	NM_003913.5	PRPF4B
chr6	3937668	3948439	NM_173563.3	-	3937997	3946716	FAM217A	NM_173563.3	FAM217A
chr6	3984994	4004756	NM_001166010.2	-	3985162	4002959	ECI2	NM_001166010.2	ECI2
chr6	3984994	4004863	NM_006117.3	-	3985162	4002959	ECI2	NM_006117.3	ECI2
chr6	3984994	4004863	NM_206836.3	-	3985162	4004848	ECI2	NM_206836.3	ECI2
chr6	4575079	4824553	NM_001368125.1	+	4584711	4823065	CDYL	NM_001368125.1	CDYL
chr6	4645346	4824553	NM_001368126.1	+	4645726	4823065	CDYL	NM_001368126.1	CDYL
chr6	4645346	4824553	NM_001368127.1	+	4804540	4823065	CDYL	NM_001368127.1	CDYL
chr6	4645346	4824553	NM_004824.4	+	4645726	4823065	CDYL	NM_004824.4	CDYL
chr6	4705049	4824553	NM_001143970.2	+	4761035	4823065	CDYL	NM_001143970.2	CDYL
chr6	4758990	4824553	NM_001143971.2	+	4761035	4823065	CDYL	NM_001143971.2	CDYL
chr6	4863715	4873023	NM_001286132.2	-	4864076	4872988	RPP40	NM_001286132.2	RPP40
chr6	4863715	4873023	NM_001286133.2	-	4864076	4872988	RPP40	NM_001286133.2	RPP40
chr6	4863715	4873023	NM_006638.4	-	4864076	4872988	RPP40	NM_006638.4	RPP40
chr6	4937541	5130157	NM_001318783.1	-	4937740	5129940	LYRM4	NM_001318783.1	LYRM4
chr6	4954548	4958695	NM_001145115.3	+	4954693	4955770	PPP1R3G	NM_001145115.3	PPP1R3G
chr6	4977756	5130157	NM_001164841.3	-	5013322	5129940	LYRM4	NM_001164841.3	LYRM4
chr6	4977756	5130157	NM_020408.6	-	4978760	5129940	LYRM4	NM_020408.6	LYRM4
chr6	5005302	5130157	NM_001318782.1	-	5007859	5129940	LYRM4	NM_001318782.1	LYRM4
chr6	5055825	5130157	NM_001164840.3	-	5056020	5129940	LYRM4	NM_001164840.3	LYRM4
chr6	5130213	5640982	NM_001318872.2	+	5237773	5640828	FARS2	NM_001318872.2	FARS2
chr6	5130213	5640982	NM_001374878.1	+	5237773	5640828	FARS2	NM_001374878.1	FARS2
chr6	5130719	5640982	NM_001374875.1	+	5237773	5640828	FARS2	NM_001374875.1	FARS2
chr6	5130719	5640982	NM_001374876.1	+	5237773	5640828	FARS2	NM_001374876.1	FARS2
chr6	5130719	5640982	NM_001374877.1	+	5237773	5640828	FARS2	NM_001374877.1	FARS2
chr6	5130719	5640982	NM_001374879.1	+	5237773	5640828	FARS2	NM_001374879.1	FARS2
chr6	5130719	5640982	NM_001375257.1	+	5237773	5640828	FARS2	NM_001375257.1	FARS2
chr6	5130719	5640982	NM_001375258.1	+	5237773	5640828	FARS2	NM_001375258.1	FARS2
chr6	5130719	5640982	NM_001375259.1	+	5273828	5640828	FARS2	NM_001375259.1	FARS2
chr6	5130719	5640982	NM_001375260.1	+	5273828	5640828	FARS2	NM_001375260.1	FARS2
chr6	5130719	5640982	NM_006567.5	+	5237773	5640828	FARS2	NM_006567.5	FARS2
chr6	5866868	5872901	NM_001278711.2	-	5867844	5872606	NRN1	NM_001278711.2	NRN1
chr6	5866868	5875801	NM_016588.3	-	5867844	5875625	NRN1	NM_016588.3	NRN1
chr6	5866868	5876393	NM_001278710.2	-	5867844	5875625	NRN1	NM_001278710.2	NRN1
chr6	6013257	6189597	NM_000129.4	-	6014792	6187599	F13A1	NM_000129.4	F13A1
chr6	6457946	6524157	NM_004271.4	+	6457961	6523802	LY86	NM_004271.4	LY86
chr6	6977348	7121600	NM_001168344.2	+	7051521	7118595	RREB1	NM_001168344.2	RREB1
chr6	6977566	7121600	NM_001003698.4	+	7051521	7118595	RREB1	NM_001003698.4	RREB1
chr6	6977566	7121600	NM_001003699.4	+	7051521	7118595	RREB1	NM_001003699.4	RREB1
chr6	6977566	7121600	NM_001003700.2	+	7051521	7118595	RREB1	NM_001003700.2	RREB1
chr6	7150203	7182261	NM_001292008.2	-	7158924	7182182	SSR1	NM_001292008.2	SSR1
chr6	7150203	7182261	NM_003144.5	-	7158924	7182182	SSR1	NM_003144.5	SSR1
chr6	7195719	7258781	NM_001170692.2	-	7195918	7256214	CAGE1	NM_001170692.2	CAGE1
chr6	7195719	7258781	NM_205864.3	-	7195918	7247936	CAGE1	NM_205864.3	CAGE1
chr6	7198158	7258781	NM_001170693.2	-	7198227	7256214	CAGE1	NM_001170693.2	CAGE1
chr6	7258846	7287080	NM_001348194.2	+	7264125	7286484	RIOK1	NM_001348194.2	RIOK1
chr6	7258846	7287080	NM_031480.3	+	7259041	7286484	RIOK1	NM_031480.3	RIOK1
chr6	7410710	7438041	NM_001406591.1	+	7410955	7437659	DSP	NM_001406591.1	DSP
chr6	7410710	7455759	NM_001008844.3	+	7410955	7454923	DSP	NM_001008844.3	DSP
chr6	7410710	7455759	NM_001319034.2	+	7410955	7454923	DSP	NM_001319034.2	DSP
chr6	7410710	7455759	NM_004415.4	+	7410955	7454923	DSP	NM_004415.4	DSP
chr6	7459241	7481028	NM_152551.4	+	7459301	7477940	SNRNP48	NM_152551.4	SNRNP48
chr6	7594834	7750477	NM_001718.6	+	7595691	7749092	BMP6	NM_001718.6	BMP6
chr6	7750265	7778826	NM_001145549.4	-	7751892	7773411	TXNDC5	NM_001145549.4	TXNDC5
chr6	7750265	7779537	NM_030810.5	-	7751892	7779525	TXNDC5	NM_030810.5	TXNDC5
chr6	7882321	7933125	NM_201280.3	-	7884403	7933112	BLOC1S5	NM_201280.3	BLOC1S5
chr6	7882321	7933150	NM_001199322.1	-	7884403	7923025	BLOC1S5	NM_001199322.1	BLOC1S5
chr6	7882321	7933150	NM_001199323.1	-	7884564	7933112	BLOC1S5	NM_001199323.1	BLOC1S5
chr6	7942093	7971293	NM_001135650.2	-	7942208	7971266	EEF1E1	NM_001135650.2	EEF1E1
chr6	7948125	7971293	NM_004280.5	-	7948620	7971266	EEF1E1	NM_004280.5	EEF1E1
chr6	8280718	8304829	NM_001142540.2	-	8282832	8303671	SLC35B3	NM_001142540.2	SLC35B3
chr6	8280718	8304829	NM_001142541.3	-	8282832	8303671	SLC35B3	NM_001142541.3	SLC35B3
chr6	8280718	8304829	NM_001370476.2	-	8282832	8303671	SLC35B3	NM_001370476.2	SLC35B3
chr6	8280718	8304829	NM_001370479.2	-	8282832	8299348	SLC35B3	NM_001370479.2	SLC35B3
chr6	8280718	8304829	NM_015948.5	-	8282832	8303671	SLC35B3	NM_015948.5	SLC35B3
chr6	8282350	8304851	NM_001370477.1	-	8282832	8299348	SLC35B3	NM_001370477.1	SLC35B3
chr6	8282351	8304829	NM_001370478.2	-	8282832	8299348	SLC35B3	NM_001370478.2	SLC35B3
chr6	10264406	10280122	NM_001032280.3	-	10266146	10279327	TFAP2A	NM_001032280.3	TFAP2A
chr6	10264406	10282798	NM_001372066.1	-	10266146	10282715	TFAP2A	NM_001372066.1	TFAP2A
chr6	10264406	10287386	NM_001042425.3	-	10266146	10287177	TFAP2A	NM_001042425.3	TFAP2A
chr6	10389058	10497066	NM_145649.5	+	10396619	10494305	GCNT2	NM_145649.5	GCNT2
chr6	10396077	10497066	NM_001374747.1	+	10396619	10494305	GCNT2	NM_001374747.1	GCNT2
chr6	10423514	10497066	NM_001491.3	+	10424129	10494305	GCNT2	NM_001491.3	GCNT2
chr6	10453492	10497066	NM_145655.4	+	10453722	10494305	GCNT2	NM_145655.4	GCNT2
chr6	10539140	10562335	NM_001145020.3	-	10539174	10555269	C6orf52	NM_001145020.3	C6orf52
chr6	10539140	10562335	NM_001388310.1	-	10539174	10555269	C6orf52	NM_001388310.1	C6orf52
chr6	10539140	10562335	NM_001388311.1	-	10539174	10555269	C6orf52	NM_001388311.1	C6orf52
chr6	10539140	10562516	NM_001354357.2	-	10539174	10552570	C6orf52	NM_001354357.2	C6orf52
chr6	10562690	10577501	NM_017906.3	+	10562704	10577171	PAK1IP1	NM_017906.3	PAK1IP1
chr6	10590766	10598824	NM_001165258.2	+	10592310	10598363	TMEM14C	NM_001165258.2	TMEM14C
chr6	10590766	10598824	NM_016462.4	+	10592310	10598363	TMEM14C	NM_016462.4	TMEM14C
chr6	10615504	10624681	NM_001127711.3	+	10616945	10624218	TMEM14B	NM_001127711.3	TMEM14B
chr6	10615504	10624681	NM_001286484.2	+	10616901	10624218	TMEM14B	NM_001286484.2	TMEM14B
chr6	10615504	10624681	NM_030969.5	+	10616945	10624218	TMEM14B	NM_030969.5	TMEM14B
chr6	10615504	10627474	NM_001286488.2	+	10616945	10626801	TMEM14B	NM_001286488.2	TMEM14B
chr6	10615504	10627474	NM_001286489.2	+	10616945	10626801	TMEM14B	NM_001286489.2	TMEM14B
chr6	10630424	10706179	NM_001242385.2	-	10632153	10698294	MAK	NM_001242385.2	MAK
chr6	10630424	10706179	NM_001242957.3	-	10632153	10698294	MAK	NM_001242957.3	MAK
chr6	10630424	10706179	NM_001377262.1	-	10632153	10686588	MAK	NM_001377262.1	MAK
chr6	10630424	10706179	NM_005906.6	-	10632153	10698294	MAK	NM_005906.6	MAK
chr6	10740839	10749654	NM_004752.4	-	10741611	10749406	GCM2	NM_004752.4	GCM2
chr6	10754684	10841961	NM_001040274.3	+	10754759	10831435	SYCP2L	NM_001040274.3	SYCP2L
chr6	10848428	10911922	NM_017770.4	-	10851450	10911847	ELOVL2	NM_017770.4	ELOVL2
chr6	10961753	11006653	NM_001135575.2	+	10962233	11002522	SMIM13	NM_001135575.2	SMIM13
chr6	10970407	10979644	NM_207582.3	-	10971612	10973229	ERVFRD-1	NM_207582.3	ERVFRD-1
chr6	11051217	11100606	NM_001271033.2	-	11053081	11100453	NEDD9	NM_001271033.2	NEDD9
chr6	11051217	11100606	NM_006403.4	-	11053081	11100453	NEDD9	NM_006403.4	NEDD9
chr6	11051217	11250248	NM_001142393.2	-	11053081	11173956	NEDD9	NM_001142393.2	NEDD9
chr6	11066233	11100606	NM_182966.4	-	11068904	11100453	NEDD9	NM_182966.4	NEDD9
chr6	11406439	11451893	NM_001100829.3	+	11406968	11443930	TMEM170B	NM_001100829.3	TMEM170B
chr6	11581767	11647014	NM_001143948.2	-	11582723	11646972	ADTRP	NM_001143948.2	ADTRP
chr6	11581767	11647014	NM_032744.4	-	11582723	11646972	ADTRP	NM_032744.4	ADTRP
chr6	11880465	12033186	NM_002114.4	+	11883782	12032648	HIVEP1	NM_002114.4	HIVEP1
chr6	12098870	12165580	NM_001416565.1	+	12159012	12164453	EDN1	NM_001416565.1	EDN1
chr6	12156402	12165580	NM_001416564.1	+	12159012	12164453	EDN1	NM_001416564.1	EDN1
chr6	12158397	12165580	NM_001416563.1	+	12159012	12164453	EDN1	NM_001416563.1	EDN1
chr6	12158744	12165580	NM_001168319.2	+	12159012	12164453	EDN1	NM_001168319.2	EDN1
chr6	12158744	12165580	NM_001955.5	+	12159012	12164453	EDN1	NM_001955.5	EDN1
chr6	12585195	13126699	NM_001374582.1	+	12587173	13126322	PHACTR1	NM_001374582.1	PHACTR1
chr6	12585195	13161093	NM_001242648.4	+	12587173	13160335	PHACTR1	NM_001242648.4	PHACTR1
chr6	12585195	13161093	NM_001322308.3	+	12587173	13160335	PHACTR1	NM_001322308.3	PHACTR1
chr6	12585195	13161093	NM_001374581.2	+	12587173	13159543	PHACTR1	NM_001374581.2	PHACTR1
chr6	12585195	13161093	NM_030948.6	+	12587173	13160335	PHACTR1	NM_030948.6	PHACTR1
chr6	12586035	12772363	NM_001374584.1	+	12587173	12771074	PHACTR1	NM_001374584.1	PHACTR1
chr6	12586721	13161093	NM_001322309.3	+	12587173	13160335	PHACTR1	NM_001322309.3	PHACTR1
chr6	12587127	13161093	NM_001322310.2	+	12587173	13160335	PHACTR1	NM_001322310.2	PHACTR1
chr6	12825736	13161093	NM_001322311.2	+	12921856	13160335	PHACTR1	NM_001322311.2	PHACTR1
chr6	12825736	13161093	NM_001322312.3	+	12921856	13160335	PHACTR1	NM_001322312.3	PHACTR1
chr6	12825736	13161093	NM_001322313.2	+	12921856	13160335	PHACTR1	NM_001322313.2	PHACTR1
chr6	12826406	13161093	NM_001374583.2	+	12921856	13159543	PHACTR1	NM_001374583.2	PHACTR1
chr6	12882013	13161093	NM_001322314.4	+	12882346	13160335	PHACTR1	NM_001322314.4	PHACTR1
chr6	13139812	13201777	NM_001318809.2	-	13178340	13200138	TBC1D7-LOC100130357	NM_001318809.2	TBC1D7-LOC100130357
chr6	13178190	13201777	NM_001143964.4	-	13178340	13200138	TBC1D7	NM_001143964.4	TBC1D7
chr6	13178190	13201777	NM_001143965.4	-	13178340	13200138	TBC1D7	NM_001143965.4	TBC1D7
chr6	13178190	13201777	NM_001143966.4	-	13178340	13200138	TBC1D7	NM_001143966.4	TBC1D7
chr6	13178190	13201777	NM_001258457.3	-	13178340	13200138	TBC1D7	NM_001258457.3	TBC1D7
chr6	13178190	13201777	NM_001318805.2	-	13178340	13200138	TBC1D7	NM_001318805.2	TBC1D7
chr6	13178190	13201777	NM_016495.6	-	13178340	13200138	TBC1D7	NM_016495.6	TBC1D7
chr6	13191953	13201777	NM_001318806.2	-	13193952	13200138	TBC1D7	NM_001318806.2	TBC1D7
chr6	13231071	13281395	NM_001242630.2	-	13237984	13238848	GFOD1	NM_001242630.2	GFOD1
chr6	13231071	13359644	NM_001242628.2	-	13237984	13238848	GFOD1	NM_001242628.2	GFOD1
chr6	13231071	13361100	NM_018988.4	-	13237984	13360390	GFOD1	NM_018988.4	GFOD1
chr6	13342786	13361100	NM_001242629.2	-	13343955	13360390	GFOD1	NM_001242629.2	GFOD1
chr6	13447830	13487664	NM_001376798.1	+	13457667	13485422	SIRT5	NM_001376798.1	SIRT5
chr6	13447830	13487664	NM_001376799.1	+	13457667	13485422	SIRT5	NM_001376799.1	SIRT5
chr6	13447830	13487664	NM_001376809.1	+	13457667	13485465	SIRT5	NM_001376809.1	SIRT5
chr6	13447861	13487664	NM_001376800.1	+	13457667	13485422	SIRT5	NM_001376800.1	SIRT5
chr6	13447861	13487664	NM_001376801.1	+	13457667	13485422	SIRT5	NM_001376801.1	SIRT5
chr6	13448085	13479299	NM_031244.3	+	13457667	13478078	SIRT5	NM_031244.3	SIRT5
chr6	13448085	13488715	NM_001193267.2	+	13457667	13485422	SIRT5	NM_001193267.2	SIRT5
chr6	13448085	13488715	NM_001242827.1	+	13465299	13485422	SIRT5	NM_001242827.1	SIRT5
chr6	13448157	13479299	NM_001376808.1	+	13457667	13478078	SIRT5	NM_001376808.1	SIRT5
chr6	13448157	13487664	NM_001376802.1	+	13457667	13485422	SIRT5	NM_001376802.1	SIRT5
chr6	13448157	13487664	NM_001376803.1	+	13457667	13485422	SIRT5	NM_001376803.1	SIRT5
chr6	13448157	13487664	NM_001376804.1	+	13457667	13485422	SIRT5	NM_001376804.1	SIRT5
chr6	13448157	13487664	NM_001376805.1	+	13457667	13485422	SIRT5	NM_001376805.1	SIRT5
chr6	13448157	13487664	NM_001376806.1	+	13457667	13485422	SIRT5	NM_001376806.1	SIRT5
chr6	13448157	13487664	NM_001376807.1	+	13457667	13485422	SIRT5	NM_001376807.1	SIRT5
chr6	13448157	13487664	NM_001376810.1	+	13457667	13485465	SIRT5	NM_001376810.1	SIRT5
chr6	13448157	13487664	NM_001376811.1	+	13461888	13485422	SIRT5	NM_001376811.1	SIRT5
chr6	13448157	13487664	NM_001376812.1	+	13465299	13485422	SIRT5	NM_001376812.1	SIRT5
chr6	13448157	13487664	NM_001376813.1	+	13457667	13474470	SIRT5	NM_001376813.1	SIRT5
chr6	13448157	13487664	NM_001376814.1	+	13457667	13474470	SIRT5	NM_001376814.1	SIRT5
chr6	13448157	13487664	NM_001376815.1	+	13457667	13474470	SIRT5	NM_001376815.1	SIRT5
chr6	13448157	13488715	NM_012241.5	+	13457667	13485422	SIRT5	NM_012241.5	SIRT5
chr6	13488891	13495269	NM_016167.5	+	13488915	13494384	NOL7	NM_016167.5	NOL7
chr6	13488891	13506009	NM_001317724.2	+	13488915	13494384	NOL7	NM_001317724.2	NOL7
chr6	13495054	13585361	NM_005493.3	-	13495919	13585031	RANBP9	NM_005493.3	RANBP9
chr6	13660159	13688158	NM_001031713.4	-	13664411	13688030	MCUR1	NM_001031713.4	MCUR1
chr6	13796679	13852762	NM_001165034.2	+	13849569	13850313	RNF182	NM_001165034.2	RNF182
chr6	13797185	13852762	NM_001165032.2	+	13849569	13850313	RNF182	NM_001165032.2	RNF182
chr6	13797185	13852762	NM_152737.4	+	13849569	13850313	RNF182	NM_152737.4	RNF182
chr6	13797528	13852762	NM_001165033.2	+	13849569	13850313	RNF182	NM_001165033.2	RNF182
chr6	13989720	14009378	NM_001251901.1	+	14004003	14007696	CD83	NM_001251901.1	CD83
chr6	13990224	14009343	NM_001040280.3	+	13990264	14007696	CD83	NM_001040280.3	CD83
chr6	13990224	14009366	NM_004233.4	+	13990264	14007696	CD83	NM_004233.4	CD83
chr6	15119263	15395212	NM_004973.4	+	15119734	15393419	JARID2	NM_004973.4	JARID2
chr6	15122050	15395212	NM_001267040.1	+	15341689	15393419	JARID2	NM_001267040.1	JARID2
chr6	15395976	15536221	NM_001271667.2	-	15396144	15500647	DTNBP1	NM_001271667.2	DTNBP1
chr6	15395976	15536221	NM_001271668.2	-	15396144	15536062	DTNBP1	NM_001271668.2	DTNBP1
chr6	15395976	15536221	NM_001271669.2	-	15396144	15536062	DTNBP1	NM_001271669.2	DTNBP1
chr6	15395976	15536221	NM_032122.5	-	15396144	15536062	DTNBP1	NM_032122.5	DTNBP1
chr6	15396732	15536251	NM_183040.2	-	15397594	15536062	DTNBP1	NM_183040.2	DTNBP1
chr6	16001662	16020836	NM_013262.4	+	16001899	16019338	MYLIP	NM_013262.4	MYLIP
chr6	16111200	16168104	NM_006877.4	+	16111307	16167741	GMPR	NM_006877.4	GMPR
chr6	16171666	16634155	NM_000332.4	-	16178883	16200868	ATXN1	NM_000332.4	ATXN1
chr6	16171666	16634155	NM_001128164.2	-	16178883	16200868	ATXN1	NM_001128164.2	ATXN1
chr6	16171666	16634155	NM_001357857.2	-	16200281	16200839	ATXN1	NM_001357857.2	ATXN1
chr6	16200899	16200989	NM_001414722.1	-	16200899	16200989	LOC127903862	NM_001414722.1	LOC127903862
chr6	16973678	17003005	NM_001190766.2	+	16973886	17002508	STMND1	NM_001190766.2	STMND1
chr6	17153423	17165933	NM_001143942.2	+	17153644	17164181	RBM24	NM_001143942.2	RBM24
chr6	17154126	17165933	NM_001143941.1	+	17154870	17164181	RBM24	NM_001143941.1	RBM24
chr6	17154760	17165933	NM_153020.2	+	17154831	17164181	RBM24	NM_153020.2	RBM24
chr6	17265692	17429911	NM_001363533.2	+	17293654	17428572	CAP2	NM_001363533.2	CAP2
chr6	17265692	17429911	NM_001363534.2	+	17293654	17428572	CAP2	NM_001363534.2	CAP2
chr6	17265692	17429911	NM_006366.3	+	17293654	17428572	CAP2	NM_006366.3	CAP2
chr6	17472504	17483894	NM_016255.3	+	17472612	17480518	FAM8A1	NM_016255.3	FAM8A1
chr6	17487222	17579176	NM_001278209.2	-	17488282	17578638	NUP153	NM_001278209.2	NUP153
chr6	17487222	17579176	NM_001278210.2	-	17488282	17578638	NUP153	NM_001278210.2	NUP153
chr6	17487222	17579176	NM_005124.4	-	17488282	17578638	NUP153	NM_005124.4	NUP153
chr6	17631378	17859810	NM_001105568.4	-	17633109	17859638	KIF13A	NM_001105568.4	KIF13A
chr6	17635947	17859810	NM_001105566.3	-	17636364	17859638	KIF13A	NM_001105566.3	KIF13A
chr6	17635947	17859810	NM_001105567.3	-	17636364	17859638	KIF13A	NM_001105567.3	KIF13A
chr6	17635947	17859810	NM_022113.6	-	17636364	17859638	KIF13A	NM_022113.6	KIF13A
chr6	17822581	17859810	NM_001243423.2	-	17823538	17859638	KIF13A	NM_001243423.2	KIF13A
chr6	17992609	17994847	NM_198586.3	-	17993588	17994776	NHLRC1	NM_198586.3	NHLRC1
chr6	18000481	18027247	NM_000367.5	-	18002838	18021297	TPMT	NM_000367.5	TPMT
chr6	18000481	18027339	NM_001346817.1	-	18002838	18021297	TPMT	NM_001346817.1	TPMT
chr6	18000481	18027339	NM_001346818.1	-	18002838	18021297	TPMT	NM_001346818.1	TPMT
chr6	18027574	18095996	NM_001364614.2	+	18032048	18094134	KDM1B	NM_001364614.2	KDM1B
chr6	18027574	18095996	NM_153042.4	+	18032048	18094134	KDM1B	NM_153042.4	KDM1B
chr6	18096001	18136672	NM_001134709.2	-	18097860	18136129	DEK	NM_001134709.2	DEK
chr6	18096001	18136672	NM_003472.4	-	18097860	18136129	DEK	NM_003472.4	DEK
chr6	18259854	18340593	NM_182757.4	+	18272037	18336786	RNF144B	NM_182757.4	RNF144B
chr6	19709013	19713841	NM_001546.4	+	19709398	19710272	ID4	NM_001546.4	ID4
chr6	19971771	20084669	NM_001080480.3	-	19974367	20084434	MBOAT1	NM_001080480.3	MBOAT1
chr6	20273916	20365731	NM_001949.5	+	20274270	20362447	E2F3	NM_001949.5	E2F3
chr6	20275651	20365731	NM_001243076.3	+	20275852	20362447	E2F3	NM_001243076.3	E2F3
chr6	20406473	21104535	NM_017774.3	+	20418352	21103170	CDKAL1	NM_017774.3	CDKAL1
chr6	21466411	21471279	NM_003107.3	+	21467195	21468620	SOX4	NM_003107.3	SOX4
chr6	22159709	22169514	NM_000948.6	-	22159865	22169460	PRL	NM_000948.6	PRL
chr6	22159709	22175312	NM_001163558.3	-	22159865	22169460	PRL	NM_001163558.3	PRL
chr6	22442012	22444113	NM_138574.4	+	22442022	22442778	HDGFL1	NM_138574.4	HDGFL1
