# 20240124T1621
sample	read_type	fofn_path
HG01505	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01505/HG01505_ont_fastq.hgsvc-JAX-2021.fofn
HG01573	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01573/HG01573_hifi_fastq.hgsvc-UW-2023.fofn
HG01573	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01573/HG01573_ont_fastq.hgsvc-UW-2023.fofn
HG01596	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01596/HG01596_hifi_fastq.hgsvc-JAX-2022.fofn
HG01596	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01596/HG01596_ont_fastq.hgsvc-JAX-2021.fofn
HG01890	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01890/HG01890_hifi_fastq.hgsvc-JAX-2022.fofn
HG01890	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01890/HG01890_ont_fastq.hgsvc-JAX-2021.fofn
HG02011	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02011/HG02011_hifi_fastq.hgsvc-JAX-2022.fofn
HG02011	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02011/HG02011_ont_fastq.hgsvc-JAX-2021.fofn
HG02018	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02018/HG02018_hifi_fastq.hgsvc-UW-2022.fofn
HG02018	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02018/HG02018_ont_fastq.hgsvc-UW-2023.fofn
HG02059	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02059/HG02059_hifi_fastq.hgsvc-UW-2021.fofn
HG02059	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02059/HG02059_ont_fastq.hgsvc-UW-2023.fofn
HG02106	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02106/HG02106_hifi_fastq.hgsvc-JAX-2022.fofn
HG02106	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02106/HG02106_ont_fastq.hgsvc-JAX-2021.fofn
HG02282	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02282/HG02282_hifi_fastq.hgsvc-UMIGS-2021.fofn
HG02282	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02282/HG02282_ont_fastq.hgsvc-JAX-2021.fofn
HG02492	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02492/HG02492_hifi_fastq.hgsvc-JAX-2022.fofn
HG02492	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02492/HG02492_ont_fastq.hgsvc-JAX-2021.fofn
HG02554	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02554/HG02554_hifi_fastq.hgsvc-UW-2021.fofn
HG02554	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02554/HG02554_ont_fastq.hgsvc-UW-2023.fofn
HG02587	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02587/HG02587_hifi_fastq.hgsvc-UW-2023.fofn
HG02587	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02587/HG02587_ont_fastq.hgsvc-UW-2023.fofn
HG02666	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02666/HG02666_hifi_fastq.hgsvc-JAX-2022.fofn
HG02666	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02666/HG02666_ont_fastq.hgsvc-JAX-2021.fofn
HG02769	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02769/HG02769_hifi_fastq.hgsvc-UW-2021.fofn
HG02769	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02769/HG02769_ont_fastq.hgsvc-UW-2023.fofn
HG02818	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02818/HG02818_hifi_fastq.HPRCplus-PRJNA731524-2020.fofn
HG02818	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02818/HG02818_hifi_fastq.HPRCplus-PRJNA339722-2020.fofn
HG02818	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02818/HG02818_ont_fastq.hgsvc-UW-2023.fofn
HG02953	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02953/HG02953_hifi_fastq.hgsvc-UW-2021.fofn
HG02953	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02953/HG02953_ont_fastq.hgsvc-UW-2023.fofn
HG03009	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03009/HG03009_hifi_fastq.hgsvc-JAX-2022.fofn
HG03009	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03009/HG03009_ont_fastq.hgsvc-JAX-2021.fofn
HG03065	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03065/HG03065_hifi_fastq.hgsvc-JAX-2022.fofn
HG03065	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03065/HG03065_ont_fastq.hgsvc-JAX-2021.fofn
HG03248	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03248/HG03248_hifi_fastq.hgsvc-JAX-2022.fofn
HG03248	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03248/HG03248_ont_fastq.hgsvc-JAX-2021.fofn
HG03371	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03371/HG03371_hifi_fastq.hgsvc-JAX-2022.fofn
HG03371	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03371/HG03371_ont_fastq.hgsvc-JAX-2021.fofn
HG03452	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03452/HG03452_hifi_fastq.hgsvc-UW-2021.fofn
HG03452	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03452/HG03452_ont_fastq.hgsvc-UW-2023.fofn
HG03456	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03456/HG03456_hifi_fastq.hgsvc-JAX-2022.fofn
HG03456	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03456/HG03456_ont_fastq.hgsvc-JAX-2021.fofn
HG03520	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03520/HG03520_hifi_fastq.hgsvc-UMIGS-2021.fofn
HG03520	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03520/HG03520_ont_fastq.hgsvc-JAX-2021.fofn
HG03683	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03683/HG03683_hifi_fastq.hgsvc-UW-2023.fofn
HG03683	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03683/HG03683_ont_fastq.hgsvc-UW-2023.fofn
HG03732	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03732/HG03732_hifi_fastq.hgsvc-JAX-2022.fofn
HG03732	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03732/HG03732_ont_fastq.hgsvc-JAX-2021.fofn
HG03807	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03807/HG03807_hifi_fastq.hgsvc-JAX-2022.fofn
HG03807	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03807/HG03807_ont_fastq.hgsvc-JAX-2021.fofn
HG04036	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG04036/HG04036_hifi_fastq.hgsvc-UW-2021.fofn
HG04036	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG04036/HG04036_ont_fastq.hgsvc-UW-2023.fofn
HG04217	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG04217/HG04217_hifi_fastq.hgsvc-JAX-2022.fofn
HG04217	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG04217/HG04217_ont_fastq.hgsvc-JAX-2021.fofn
NA12329	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA12329/NA12329_hifi_fastq.hgsvc-UW-2022.fofn
NA12329	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA12329/NA12329_ont_fastq.hgsvc-UW-2023.fofn
NA18534	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18534/NA18534_hifi_fastq.hgsvc-JAX-2022.fofn
NA18534	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18534/NA18534_ont_fastq.hgsvc-JAX-2021.fofn
NA18939	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18939/NA18939_hifi_fastq.hgsvc-UW-2023.fofn
NA18939	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18939/NA18939_ont_fastq.hgsvc-UW-2023.fofn
NA18989	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18989/NA18989_hifi_fastq.hgsvc-JAX-2022.fofn
NA18989	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18989/NA18989_ont_fastq.hgsvc-JAX-2021.fofn
NA19036	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19036/NA19036_hifi_fastq.hgsvc-UW-2022.fofn
NA19036	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19036/NA19036_ont_fastq.hgsvc-UW-2023.fofn
NA19129	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19129/NA19129_hifi_fastq.hgsvc-UW-2022.fofn
NA19129	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19129/NA19129_ont_fastq.hgsvc-UW-2023.fofn
NA19238	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19238/NA19238_hifi_fastq.hgsvc-JAX-2019.fofn
NA19238	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19238/NA19238_hifi_fastq.hgsvc-UW-2023.fofn
NA19238	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19238/NA19238_hifi_fastq.hgsvc-JAX-2022.fofn
NA19238	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19238/NA19238_ont_fastq.hgsvc-UW-2023.fofn
NA19239	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19239/NA19239_hifi_fastq.hgsvc-JAX-2019.fofn
NA19239	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19239/NA19239_hifi_fastq.hgsvc-UW-2024.fofn
NA19239	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19239/NA19239_ont_fastq.hgsvc-JAX-2021.fofn
NA19240	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19240/NA19240_hifi_fastq.hgsvc-JAX-2019.fofn
NA19240	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19240/NA19240_hifi_fastq.hgsvc-JAX-2022.fofn
NA19240	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19240/NA19240_hifi_fastq.hgsvc-UW-2023.fofn
NA19240	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19240/NA19240_ont_fastq.hgsvc-UW-2023.fofn
NA19317	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19317/NA19317_hifi_fastq.hgsvc-JAX-2022.fofn
NA19317	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19317/NA19317_ont_fastq.hgsvc-JAX-2021.fofn
NA19331	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19331/NA19331_hifi_fastq.hgsvc-JAX-2022.fofn
NA19331	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19331/NA19331_ont_fastq.hgsvc-JAX-2021.fofn
NA19347	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19347/NA19347_hifi_fastq.hgsvc-JAX-2022.fofn
NA19347	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19347/NA19347_ont_fastq.hgsvc-JAX-2021.fofn
NA19384	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19384/NA19384_hifi_fastq.hgsvc-JAX-2022.fofn
NA19384	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19384/NA19384_ont_fastq.hgsvc-JAX-2021.fofn
NA19434	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19434/NA19434_hifi_fastq.hgsvc-UMIGS-2021.fofn
NA19434	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19434/NA19434_ont_fastq.hgsvc-JAX-2021.fofn
NA19650	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19650/NA19650_hifi_fastq.hgsvc-JAX-2022.fofn
NA19650	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19650/NA19650_ont_fastq.hgsvc-JAX-2021.fofn
NA19705	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19705/NA19705_hifi_fastq.hgsvc-JAX-2022.fofn
NA19705	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19705/NA19705_ont_fastq.hgsvc-JAX-2021.fofn
NA19836	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19836/NA19836_hifi_fastq.hgsvc-UMIGS-2021.fofn
NA19836	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19836/NA19836_ont_fastq.hgsvc-JAX-2021.fofn
NA19983	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19983/NA19983_hifi_fastq.hgsvc-UW-2022.fofn
NA19983	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19983/NA19983_ont_fastq.hgsvc-UW-2023.fofn
NA20355	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA20355/NA20355_hifi_fastq.hgsvc-UW-2021.fofn
NA20355	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA20355/NA20355_ont_fastq.hgsvc-UW-2023.fofn
NA20509	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA20509/NA20509_hifi_fastq.hgsvc-JAX-2022.fofn
NA20509	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA20509/NA20509_ont_fastq.hgsvc-JAX-2021.fofn
NA20847	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA20847/NA20847_hifi_fastq.hgsvc-UW-2022.fofn
NA20847	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA20847/NA20847_ont_fastq.hgsvc-UW-2023.fofn
NA21487	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA21487/NA21487_hifi_fastq.hgsvc-UW-2021.fofn
NA21487	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA21487/NA21487_ont_fastq.hgsvc-UW-2023.fofn
NA24385	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA24385/NA24385_hifi_fastq.T2TY-PRJNA813010-2021.fofn
NA24385	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA24385/NA24385_hifi_fastq.HPRCplus-PRJNA731524-2020.fofn
NA24385	hifi	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA24385/NA24385_hifi_fastq.PacBio-PRJNA586863-2019.fofn
NA24385	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA24385/NA24385_ont_fastq.epi2me-epi2me-2019.fofn
NA24385	ont	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA24385/NA24385_ont_fastq.hprc-km-20XX.fofn
