# 20240130T1027
# 65 samples
sample	target	phasing_paths	hifi	ont
HG01596	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG01596/HG01596_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01596/HG01596_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01596/HG01596_ont_fastq.hgsvc-JAX-2021.fofn
HG01890	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG01890/HG01890_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01890/HG01890_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG01890/HG01890_ont_fastq.hgsvc-JAX-2021.fofn
HG02011	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG02011/HG02011_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02011/HG02011_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02011/HG02011_ont_fastq.hgsvc-JAX-2021.fofn
HG02018	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02018/HG02018_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02018/HG02018_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02018/HG02018_ont_fastq.hgsvc-UW-2023.fofn
HG02059	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02059/HG02059_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02059/HG02059_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02059/HG02059_ont_fastq.hgsvc-UW-2023.fofn
HG02106	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02106/HG02106_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02106/HG02106_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02106/HG02106_ont_fastq.hgsvc-JAX-2021.fofn
HG02282	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02282/HG02282_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02282/HG02282_hifi_fastq.hgsvc-UMIGS-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02282/HG02282_ont_fastq.hgsvc-JAX-2021.fofn
HG02492	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG02492/HG02492_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02492/HG02492_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02492/HG02492_ont_fastq.hgsvc-JAX-2021.fofn
HG02554	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02554/HG02554_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02554/HG02554_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02554/HG02554_ont_fastq.hgsvc-UW-2023.fofn
HG02587	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02587/HG02587_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02587/HG02587_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02587/HG02587_ont_fastq.hgsvc-UW-2023.fofn
HG02666	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02666/HG02666_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02666/HG02666_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02666/HG02666_ont_fastq.hgsvc-JAX-2021.fofn
HG02769	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02769/HG02769_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02769/HG02769_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02769/HG02769_ont_fastq.hgsvc-UW-2023.fofn
HG02818	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02818/HG02818_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02818/HG02818_hifi_fastq.HPRCplus-PRJNA339722-2020.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02818/HG02818_hifi_fastq.HPRCplus-PRJNA731524-2020.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02818/HG02818_ont_fastq.hgsvc-UW-2023.fofn
HG02953	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG02953/HG02953_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02953/HG02953_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG02953/HG02953_ont_fastq.hgsvc-UW-2023.fofn
HG03009	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG03009/HG03009_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03009/HG03009_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03009/HG03009_ont_fastq.hgsvc-JAX-2021.fofn
HG03065	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG03065/HG03065_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03065/HG03065_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03065/HG03065_ont_fastq.hgsvc-JAX-2021.fofn
HG03248	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG03248/HG03248_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03248/HG03248_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03248/HG03248_ont_fastq.hgsvc-JAX-2021.fofn
HG03371	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG03371/HG03371_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03371/HG03371_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03371/HG03371_ont_fastq.hgsvc-JAX-2021.fofn
HG03452	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG03452/HG03452_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03452/HG03452_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03452/HG03452_ont_fastq.hgsvc-UW-2023.fofn
HG03456	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG03456/HG03456_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03456/HG03456_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03456/HG03456_ont_fastq.hgsvc-JAX-2021.fofn
HG03520	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG03520/HG03520_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03520/HG03520_hifi_fastq.hgsvc-UMIGS-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03520/HG03520_ont_fastq.hgsvc-JAX-2021.fofn
HG03683	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG03683/HG03683_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03683/HG03683_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03683/HG03683_ont_fastq.hgsvc-UW-2023.fofn
HG03732	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/HG03732/HG03732_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03732/HG03732_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03732/HG03732_ont_fastq.hgsvc-JAX-2021.fofn
HG03807	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG03807/HG03807_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03807/HG03807_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG03807/HG03807_ont_fastq.hgsvc-JAX-2021.fofn
HG04036	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG04036/HG04036_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG04036/HG04036_hifi_fastq.hgsvc-UW-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG04036/HG04036_ont_fastq.hgsvc-UW-2023.fofn
HG04217	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/HG04217/HG04217_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG04217/HG04217_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG04217/HG04217_ont_fastq.hgsvc-JAX-2021.fofn
NA12329	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/NA12329/NA12329_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA12329/NA12329_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA12329/NA12329_ont_fastq.hgsvc-UW-2023.fofn
NA18534	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/NA18534/NA18534_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18534/NA18534_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18534/NA18534_ont_fastq.hgsvc-JAX-2021.fofn
NA18939	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/NA18939/NA18939_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18939/NA18939_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18939/NA18939_ont_fastq.hgsvc-UW-2023.fofn
NA18989	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA18989/NA18989_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18989/NA18989_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA18989/NA18989_ont_fastq.hgsvc-JAX-2021.fofn
NA19036	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA19036/NA19036_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19036/NA19036_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19036/NA19036_ont_fastq.hgsvc-UW-2023.fofn
NA19129	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA19129/NA19129_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19129/NA19129_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19129/NA19129_ont_fastq.hgsvc-UW-2023.fofn
NA19238	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/NA19238/NA19238_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19238/NA19238_hifi_fastq.hgsvc-JAX-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19238/NA19238_hifi_fastq.hgsvc-JAX-2022.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19238/NA19238_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19238/NA19238_ont_fastq.hgsvc-UW-2023.fofn
NA19239	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/NA19239/NA19239_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19239/NA19239_hifi_fastq.hgsvc-JAX-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19239/NA19239_hifi_fastq.hgsvc-UW-2024.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19239/NA19239_ont_fastq.hgsvc-JAX-2021.fofn
NA19240	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/NA19240/NA19240_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19240/NA19240_hifi_fastq.hgsvc-JAX-2019.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19240/NA19240_hifi_fastq.hgsvc-JAX-2022.fofn,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19240/NA19240_hifi_fastq.hgsvc-UW-2023.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19240/NA19240_ont_fastq.hgsvc-UW-2023.fofn
NA19317	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA19317/NA19317_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19317/NA19317_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19317/NA19317_ont_fastq.hgsvc-JAX-2021.fofn
NA19331	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA19331/NA19331_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19331/NA19331_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19331/NA19331_ont_fastq.hgsvc-JAX-2021.fofn
NA19347	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA19347/NA19347_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19347/NA19347_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19347/NA19347_ont_fastq.hgsvc-JAX-2021.fofn
NA19384	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA19384/NA19384_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19384/NA19384_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19384/NA19384_ont_fastq.hgsvc-JAX-2021.fofn
NA19434	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA19434/NA19434_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19434/NA19434_hifi_fastq.hgsvc-UMIGS-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19434/NA19434_ont_fastq.hgsvc-JAX-2021.fofn
NA19650	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/NA19650/NA19650_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19650/NA19650_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19650/NA19650_ont_fastq.hgsvc-JAX-2021.fofn
NA19705	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_v0.3.1-alpha/NA19705/NA19705_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19705/NA19705_hifi_fastq.hgsvc-JAX-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19705/NA19705_ont_fastq.hgsvc-JAX-2021.fofn
NA19836	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA19836/NA19836_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19836/NA19836_hifi_fastq.hgsvc-UMIGS-2021.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19836/NA19836_ont_fastq.hgsvc-JAX-2021.fofn
NA19983	sseq	/gpfs/project/projects/medbioinf/projects/mihen108/test_wd/rukki_b62fe4/NA19983/NA19983_rukki_paths.gaf	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19983/NA19983_hifi_fastq.hgsvc-UW-2022.fofn	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19983/NA19983_ont_fastq.hgsvc-UW-2023.fofn
