hap	total_err	total_length	sample	qv_est
H1	18503	3059352260	HG02554.vrk-ps-sseq	52
H2	24885	2937525282	HG02554.vrk-ps-sseq	51
wg	46756	6052241327	HG02554.vrk-ps-sseq	51
H0	2049	151615855	HG02587.vrk-ps-sseq	49
H1	9643	3017598873	HG02587.vrk-ps-sseq	55
H2	8658	3008748906	HG02587.vrk-ps-sseq	55
wg	20350	6177963634	HG02587.vrk-ps-sseq	55
H0	2699	46837511	HG02666.vrk-ps-sseq	42
H1	8249	3031840317	HG02666.vrk-ps-sseq	56
H2	8884	2928769638	HG02666.vrk-ps-sseq	55
wg	19832	6007447466	HG02666.vrk-ps-sseq	55
H0	4118	81161812	HG02769.vrk-ps-sseq	43
H1	25311	3047198491	HG02769.vrk-ps-sseq	51
H2	20429	3026841481	HG02769.vrk-ps-sseq	52
wg	49858	6155201784	HG02769.vrk-ps-sseq	51
H0	1832	109191294	HG02818.vrk-ps-sseq	48
H1	29619	3008231194	HG02818.vrk-ps-sseq	50
H2	16744	3026433664	HG02818.vrk-ps-sseq	53
wg	48195	6143856152	HG02818.vrk-ps-sseq	51
H0	2602	78369473	HG02953.vrk-ps-sseq	45
H1	23063	2926669568	HG02953.vrk-ps-sseq	51
H2	19458	3035538689	HG02953.vrk-ps-sseq	52
wg	45123	6040577730	HG02953.vrk-ps-sseq	51
H0	1533	68698825	HG03009.vrk-ps-sseq	47
H1	14585	2927528202	HG03009.vrk-ps-sseq	53
H2	12187	2983731641	HG03009.vrk-ps-sseq	54
wg	28305	5979958668	HG03009.vrk-ps-sseq	53
H0	2504	86842570	HG03065.vrk-ps-sseq	45
H1	7467	2947790523	HG03065.vrk-ps-sseq	56
H2	8762	3028784991	HG03065.vrk-ps-sseq	55
wg	18733	6063418084	HG03065.vrk-ps-sseq	55
H0	2520	48092250	HG03248.vrk-ps-sseq	43
H1	18780	2940945884	HG03248.vrk-ps-sseq	52
H2	13774	3018951981	HG03248.vrk-ps-sseq	53
wg	35074	6007990115	HG03248.vrk-ps-sseq	52
H0	1860	38418468	HG03371.vrk-ps-sseq	43
H1	10476	2940808073	HG03371.vrk-ps-sseq	54
H2	12604	3004013800	HG03371.vrk-ps-sseq	54
wg	24940	5983240341	HG03371.vrk-ps-sseq	54
H0	15661	103744485	HG03452.vrk-ps-sseq	38
H1	20585	3039583947	HG03452.vrk-ps-sseq	52
H2	16761	3024842420	HG03452.vrk-ps-sseq	53
wg	53007	6168170852	HG03452.vrk-ps-sseq	51
H0	1117	24964333	HG03456.vrk-ps-sseq	43
H1	16862	2955980479	HG03456.vrk-ps-sseq	52
H2	13546	3013066545	HG03456.vrk-ps-sseq	53
wg	31525	5994011357	HG03456.vrk-ps-sseq	53
H0	1828	60141372	HG03520.vrk-ps-sseq	45
H1	17784	3012176005	HG03520.vrk-ps-sseq	52
H2	17760	3015290242	HG03520.vrk-ps-sseq	52
wg	37372	6087607619	HG03520.vrk-ps-sseq	52
H0	1463	270771017	HG03683.vrk-ps-sseq	53
H1	10557	2953926915	HG03683.vrk-ps-sseq	54
H2	10909	2954441781	HG03683.vrk-ps-sseq	54
wg	22929	6179139713	HG03683.vrk-ps-sseq	54
H0	1787	47827421	HG03807.vrk-ps-sseq	44
H1	12437	3013457844	HG03807.vrk-ps-sseq	54
H2	15369	3014060034	HG03807.vrk-ps-sseq	53
wg	29593	6075345299	HG03807.vrk-ps-sseq	53
H0	3806	109278575	HG04036.vrk-ps-sseq	45
H1	21771	2998066761	HG04036.vrk-ps-sseq	51
H2	26648	2991787612	HG04036.vrk-ps-sseq	51
wg	52225	6099132948	HG04036.vrk-ps-sseq	51
H0	7855	47880780	HG04217.vrk-ps-sseq	38
H1	11841	3007063833	HG04217.vrk-ps-sseq	54
H2	13595	3023083380	HG04217.vrk-ps-sseq	53
wg	33291	6078027993	HG04217.vrk-ps-sseq	53
H0	3435	58025241	NA18534.vrk-ps-sseq	42
H1	18389	2954949222	NA18534.vrk-ps-sseq	52
H2	14689	2995808650	NA18534.vrk-ps-sseq	53
wg	36513	6008783113	NA18534.vrk-ps-sseq	52
H0	2549	91411951	NA18989.vrk-ps-sseq	46
H1	10357	2935634837	NA18989.vrk-ps-sseq	55
H2	9161	3004316511	NA18989.vrk-ps-sseq	55
wg	22067	6031363299	NA18989.vrk-ps-sseq	54
H0	1512	141042572	NA19036.vrk-ps-sseq	50
H1	12332	3041930150	NA19036.vrk-ps-sseq	54
H2	10936	3012323058	NA19036.vrk-ps-sseq	54
wg	24780	6195295780	NA19036.vrk-ps-sseq	54
H0	10012	57642371	NA19129.vrk-ps-sseq	38
H1	18044	3025463553	NA19129.vrk-ps-sseq	52
H2	12206	3012198273	NA19129.vrk-ps-sseq	54
wg	40262	6095304197	NA19129.vrk-ps-sseq	52
H0	2572	56467430	NA19317.vrk-ps-sseq	43
H1	9240	2933296417	NA19317.vrk-ps-sseq	55
H2	11228	3023130581	NA19317.vrk-ps-sseq	54
wg	23040	6012894428	NA19317.vrk-ps-sseq	54
H0	19725	125972389	NA19331.vrk-ps-sseq	38
H1	20125	2908935804	NA19331.vrk-ps-sseq	52
H2	16772	3020733121	NA19331.vrk-ps-sseq	53
wg	56622	6055641314	NA19331.vrk-ps-sseq	50
H0	2272	73060928	NA19347.vrk-ps-sseq	45
H1	7241	2922220304	NA19347.vrk-ps-sseq	56
H2	10078	3028854550	NA19347.vrk-ps-sseq	55
wg	19591	6024135782	NA19347.vrk-ps-sseq	55
H0	5240	65671203	NA19384.vrk-ps-sseq	41
H1	15407	2939929597	NA19384.vrk-ps-sseq	53
H2	10099	3015515046	NA19384.vrk-ps-sseq	55
wg	30746	6021115846	NA19384.vrk-ps-sseq	53
H0	2773	130576065	NA19434.vrk-ps-sseq	47
H1	17752	2994627897	NA19434.vrk-ps-sseq	52
H2	21111	2997190439	NA19434.vrk-ps-sseq	52
wg	41636	6122394401	NA19434.vrk-ps-sseq	52
H0	879	36032349	NA19650.vrk-ps-sseq	46
H1	12597	2963512942	NA19650.vrk-ps-sseq	54
H2	12860	2962027802	NA19650.vrk-ps-sseq	54
wg	26336	5961573093	NA19650.vrk-ps-sseq	54
H0	1820	51459644	NA19705.vrk-ps-sseq	45
H1	11952	2977802835	NA19705.vrk-ps-sseq	54
H2	10635	2995618960	NA19705.vrk-ps-sseq	54
wg	24407	6024881439	NA19705.vrk-ps-sseq	54
H0	3442	111264926	NA19836.vrk-ps-sseq	45
H1	18853	3009673939	NA19836.vrk-ps-sseq	52
H2	21580	3026930450	NA19836.vrk-ps-sseq	51
wg	43875	6147869315	NA19836.vrk-ps-sseq	51
H0	1119	114902965	NA19983.vrk-ps-sseq	50
H1	10783	3028877052	NA19983.vrk-ps-sseq	54
H2	10718	3024160087	NA19983.vrk-ps-sseq	55
wg	22620	6167940104	NA19983.vrk-ps-sseq	54
H0	3309	32696019	NA20355.vrk-ps-sseq	40
H1	15232	3060977379	NA20355.vrk-ps-sseq	53
H2	17138	3024620798	NA20355.vrk-ps-sseq	52
wg	35679	6118294196	NA20355.vrk-ps-sseq	52
H0	2856	54060561	NA20509.vrk-ps-sseq	43
H1	14067	2924860751	NA20509.vrk-ps-sseq	53
H2	13327	3008572680	NA20509.vrk-ps-sseq	54
wg	30250	5987493992	NA20509.vrk-ps-sseq	53
H0	8548	87840120	NA20847.vrk-ps-sseq	40
H1	19824	3006588249	NA20847.vrk-ps-sseq	52
H2	16341	3023592381	NA20847.vrk-ps-sseq	53
wg	44713	6118020750	NA20847.vrk-ps-sseq	51
H0	2913	86164381	NA21487.vrk-ps-sseq	45
H1	26825	3032470844	NA21487.vrk-ps-sseq	51
H2	19959	3029506565	NA21487.vrk-ps-sseq	52
wg	49697	6148141790	NA21487.vrk-ps-sseq	51
H0	4721	79266310	NA24385.vrk-ps-sseq	42
H1	11408	3004271467	NA24385.vrk-ps-sseq	54
H2	11833	2959279284	NA24385.vrk-ps-sseq	54
wg	27962	6042817061	NA24385.vrk-ps-sseq	53
