sample	cardinality	size_byte	input
HG00512-ont-G2	1	21054094618	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20211013_ONT_Rebasecalled/HG00512/20220503_220427_21-lee-006_PC24B149_3E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00512-ont-G3	1	58915883318	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20211013_ONT_Rebasecalled/HG00512/20220425_220420_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733-hifi-G1	2	17081502320	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20190925_PUR_PacBio_HiFi/HG00733_20190925_EEE_m54329U_190619_052546.Q20.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20190925_PUR_PacBio_HiFi/HG00733_20190925_EEE_m54329U_190617_231905.Q20.fastq.gz
HG00733-hifi-G10	1	33299825231	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/unknown/pacbio_hifi/HG00733/uwash_eee_hifi/m64076_211221_015212.hifi_reads.fastq.gz
HG00733-hifi-G2	2	19939031465	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20190925_PUR_PacBio_HiFi/HG00733_20190925_EEE_m54329U_190615_010947.Q20.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20190925_PUR_PacBio_HiFi/HG00733_20190925_EEE_m54329U_190607_185248.Q20.fastq.gz
HG00733-hifi-G3	1	12603662064	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20190925_PUR_PacBio_HiFi/HG00733_20190925_EEE_m54329U_190629_180018.Q20.fastq.gz
HG00733-hifi-G4	1	13612951231	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20190925_PUR_PacBio_HiFi/HG00733_20190925_EEE_m54329U_190701_222759.Q20.fastq.gz
HG00733-hifi-G5	1	24059030269	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20190925_PUR_PacBio_HiFi/HG00733_20190925_EEE_m54329U_190827_173812.Q20.fastq.gz
HG00733-hifi-G6	1	30942331534	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/unknown/pacbio_hifi/HG00733/uwash_eee_hifi/m64076_211215_225159.hifi_reads.fastq.gz
HG00733-hifi-G7	1	31569032017	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/unknown/pacbio_hifi/HG00733/uwash_eee_hifi/m64076_211214_012715.hifi_reads.fastq.gz
HG00733-hifi-G8	1	32488759560	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/unknown/pacbio_hifi/HG00733/uwash_eee_hifi/m64076_211218_173901.hifi_reads.fastq.gz
HG00733-hifi-G9	1	33287310508	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/unknown/pacbio_hifi/HG00733/uwash_eee_hifi/m64076_211217_081943.hifi_reads.fastq.gz
HG00733-ont-G1	5	16707881363	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG00733/HG00733_20220215_UL_eee-prom1-2G-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG00733/HG00733_20220215_UL_eee-prom1-2E-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG00733/HG00733_20210729_UL_eee-prom1-1E-PAH36624-2_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG00733/HG00733_20210729_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG00733/HG00733_20210728_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733-ont-G2	1	12776654466	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20211013_ONT_Rebasecalled/HG00733/20220228_220223_21-lee-006_PC24B149_1F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733-ont-G3	1	19431886352	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG00733/HG00733_20210727_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733-ont-G4	1	28420855528	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG00733/HG00733_20220215_UL_eee-prom1-1F-PAJ09070_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733-ont-G5	1	35973905541	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG00733/HG00733_20220215_UL_eee-prom1-1D-PAJ02977_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733-ont-G6	1	49882371262	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20211013_ONT_Rebasecalled/HG00733/20220304_220224_21-lee-006_PC24B149_3D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733-ont-G7	1	66596792738	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20211013_ONT_Rebasecalled/HG00733/20220223_220216_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114-ont-G1	2	14968204295	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01114/20221103_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01114/20221025_HG01114_UL_eee-prom1-1C-PAM78971_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114-ont-G2	1	14192462356	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01114/20221102_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114-ont-G3	1	17337927398	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01114/20221207_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114-ont-G4	1	18326876227	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01114/20221108_HG01114_UL_eee-prom1-3A-PAM79079_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114-ont-G5	1	18449780606	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01114/20221206_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114-ont-G6	1	21232415238	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01114/20221101_HG01114_UL_eee-prom1-1B-PAM79352_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114-ont-G7	1	38014366827	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01114/20221130_HG01114_UL_eee-prom1-2B-PAG69678_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352-hifi-G1	1	11772998007	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m54329U_210320_235902.hifi_reads.fastq.gz
HG01352-hifi-G2	1	15179560087	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m64076_210321_010456.hifi_reads.fastq.gz
HG01352-hifi-G3	1	19288968383	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m54329U_200826_013039.ccs.fastq.gz
HG01352-hifi-G4	1	21258396541	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m54329U_210330_183359.hifi_reads.fastq.gz
HG01352-hifi-G5	1	22457382169	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m54329U_200824_191532.ccs.fastq.gz
HG01352-hifi-G6	1	23003293936	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20210509_UW_HiFi/HG01352/m54329U_200819_192918.ccs.fastq.gz
HG01352-ont-G1	4	11917099082	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210819_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210805_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210917_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210817_UL_eee-prom1-1A-PAH35732_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352-ont-G2	3	24465842848	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210902_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210804_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210928_UL_eee-prom1-3A-PAH79825_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352-ont-G3	1	14814240296	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210817_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352-ont-G4	1	16495647777	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210803_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352-ont-G5	1	21214253500	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210831_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352-ont-G6	1	28800465425	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20210915_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352-ont-G7	1	50160020680	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01352/HG01352_20211102_UL_eee-prom1-1A-PAI18864_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01573-ont-G1	2	13987326348	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01573/20221012_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01573/20230209_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01573-ont-G2	2	21564850681	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01573/20221004_HG01573_UL_eee-prom1-1A-PAM23460_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01573/20221018_HG01573_UL_eee-prom1-1B-PAM78356_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01573-ont-G3	1	13213451835	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01573/20221013_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01573-ont-G4	1	15020142747	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01573/20221011_HG01573_UL_eee-prom1-1C-PAM78043_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01573-ont-G5	1	16171280225	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01573/20221025_HG01573_UL_eee-prom1-1A-PAM79285_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01573-ont-G6	1	18251082816	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01573/20220920_HG01573_UL_eee-prom1-1C-PAM64632_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01573-ont-G7	1	26444128478	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG01573/20230207_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01596-hifi-G1	1	27699714985	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20220831_JAX_HiFi/HG01596/m64039_220216_202046/JAX_HiFi_HG01596_m64039_220216_202046.fastq.gz
HG01596-hifi-G2	1	28464035679	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20220831_JAX_HiFi/HG01596/m64119_220214_210708/JAX_HiFi_HG01596_m64119_220214_210708.fastq.gz
HG01596-hifi-G3	1	28975972480	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20220831_JAX_HiFi/HG01596/m64119_220209_052029/JAX_HiFi_HG01596_m64119_220209_052029.fastq.gz
HG01596-ont-G1	3	35741798712	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20211013_ONT_Rebasecalled/HG01596/20220511_220506_21-lee-006_PC24B149_2D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20211013_ONT_Rebasecalled/HG01596/20220518_220512_21-lee-006_PC24B149_3C_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20211013_ONT_Rebasecalled/HG01596/20220515_220510_21-lee-006_PC24B149_2E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01596-ont-G2	1	31127759959	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20211013_ONT_Rebasecalled/HG01596/20220510_220504_21-lee-006_PC24B149-2E_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG02018-hifi-G1	1	28602765946	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/HG02018/m54329U_220128_015221.hifi_reads.fastq.gz
HG02018-hifi-G2	1	29321665411	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/HG02018/m54329U_220125_004416.hifi_reads.fastq.gz
HG02018-hifi-G3	1	30345115484	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/HG02018/m54329U_220129_124757.hifi_reads.fastq.gz
HG02018-ont-G1	2	21079487356	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG02018/20221207_HG02018_UL_eee-prom1-2C-PAG68624_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz,/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG02018/20221108_HG02018_UL_eee-prom1-3B-PAM64235_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG02018-ont-G2	1	14300086730	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG02018/20230210_HG02018_UL_eee-prom1-3B-PAG76493_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG02018-ont-G3	1	15876555158	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG02018/20221130_HG02018_UL_eee-prom1-2C-PAM77931_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG02018-ont-G4	1	17634135651	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG02018/20221101_HG02018_UL_eee-prom1-1G-PAM79302_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG02018-ont-G5	1	18310761084	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG02018/20221206_HG02018_UL_eee-prom1-2C-PAG68624_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG02018-ont-G6	1	18822550143	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG02018/20221025_HG02018_UL_eee-prom1-1D-PAM78083_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG02018-ont-G7	1	22761021637	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/HG02018/20221102_HG02018_UL_eee-prom1-3H-PAM78744_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
