# AUTOGEN TABLE - DO NOT EDIT
# notebooks/plotting/main_fig1/plot-qv-estimates.ipynb|20241206T1049
sample	sequence	merqury_error_kmer	merqury_total_kmer	merqury_qv_est	merqury_error_rate	asm_unit	assembler	seq_length	variant_adj_length	variant_num_errors	variant_qv_est	assembly
HG00096	h1tg000104l#1-1566935	17	1566915	62.8681	5.16638e-07	hap1	hifiasm	1566935	1566935	7	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000105l#1-1582733	553	1582713	47.7882	1.66409e-05	hap1	hifiasm	1582733	1582733	6	54.0	HG00096.hsm-ps-sseq
HG00096	h1tg000107l#1-550180	372	550160	44.9203	3.22088e-05	hap1	hifiasm	550180	550180	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000108l#1-264225	261	264205	43.2732	4.70635e-05	hap1	hifiasm	264225	264225	3	49.0	HG00096.hsm-ps-sseq
HG00096	h1tg000109l#1-210119	0	210099	99.0	0.0	hap1	hifiasm	210119	210119	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000110c#1-45789	297	45769	35.0869	0.000309964	hap1	hifiasm	45789	45789	1	47.0	HG00096.hsm-ps-sseq
HG00096	h1tg000111l#1-384939	625	384919	41.1137	7.73798e-05	hap1	hifiasm	384939	384939	75	37.0	HG00096.hsm-ps-sseq
HG00096	h1tg000112l#1-81114	147	81094	40.6352	8.63942e-05	hap1	hifiasm	81114	81114	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000113l#1-362633	19	362613	56.029	2.49518e-06	hap1	hifiasm	362633	362633	7	47.0	HG00096.hsm-ps-sseq
HG00096	h1tg000114l#1-165511	12	165491	54.618	3.45305e-06	hap1	hifiasm	165511	165511	4	46.0	HG00096.hsm-ps-sseq
HG00096	h1tg000115l#1-208161	0	208141	99.0	0.0	hap1	hifiasm	208161	208161	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000116l#1-151156	0	151136	99.0	0.0	hap1	hifiasm	151156	151156	2	49.0	HG00096.hsm-ps-sseq
HG00096	h1tg000117c#1-132589	47	132569	47.7249	1.68853e-05	hap1	hifiasm	132589	132589	33	36.0	HG00096.hsm-ps-sseq
HG00096	h1tg000118l#1-84867	0	84847	99.0	0.0	hap1	hifiasm	84867	84867	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000119l#1-407164	0	407144	99.0	0.0	hap1	hifiasm	407164	407164	2	53.0	HG00096.hsm-ps-sseq
HG00096	h1tg000120l#1-56740	0	56720	99.0	0.0	hap1	hifiasm	56740	56740	11	37.0	HG00096.hsm-ps-sseq
HG00096	h1tg000121l#1-293560	1	293540	67.8989	1.62224e-07	hap1	hifiasm	293560	293560	41	39.0	HG00096.hsm-ps-sseq
HG00096	h1tg000122l#1-34017	15	33997	46.7748	2.10147e-05	hap1	hifiasm	34017	34017	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000123l#1-49396	14	49376	48.6955	1.35037e-05	hap1	hifiasm	49396	49396	5	40.0	HG00096.hsm-ps-sseq
HG00096	h1tg000124l#1-172863	23	172843	51.9812	6.33701e-06	hap1	hifiasm	172863	172863	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000125l#1-197452	161	197432	44.1064	3.8847e-05	hap1	hifiasm	197452	197452	5	46.0	HG00096.hsm-ps-sseq
HG00096	h1tg000126l#1-181843	0	181823	99.0	0.0	hap1	hifiasm	181843	181843	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000127l#1-88713	0	88693	99.0	0.0	hap1	hifiasm	88713	88713	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000128l#1-115344	0	115324	99.0	0.0	hap1	hifiasm	115344	115344	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000129l#1-57094	0	57074	99.0	0.0	hap1	hifiasm	57094	57094	5	41.0	HG00096.hsm-ps-sseq
HG00096	h1tg000130l#1-87091	0	87071	99.0	0.0	hap1	hifiasm	87091	87091	56	32.0	HG00096.hsm-ps-sseq
HG00096	h1tg000131l#1-31555	0	31535	99.0	0.0	hap1	hifiasm	31555	31555	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000132l#1-183725	35	183705	50.4223	9.07334e-06	hap1	hifiasm	183725	183725	22	39.0	HG00096.hsm-ps-sseq
HG00096	h1tg000133c#1-40540	77	40520	40.43	9.05723e-05	hap1	hifiasm	40540	40540	26	32.0	HG00096.hsm-ps-sseq
HG00096	h1tg000134l#1-78086	1563	78066	30.1655	0.000962616	hap1	hifiasm	78086	78086	2	46.0	HG00096.hsm-ps-sseq
HG00096	h1tg000135l#1-69377	0	69357	99.0	0.0	hap1	hifiasm	69377	69377	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000136l#1-91430	0	91410	99.0	0.0	hap1	hifiasm	91430	91430	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000137l#1-81080	0	81060	99.0	0.0	hap1	hifiasm	81080	81080	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000138l#1-200846	0	200826	99.0	0.0	hap1	hifiasm	200846	200846	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000139l#1-134769	0	134749	99.0	0.0	hap1	hifiasm	134769	134769	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000140l#1-255529	105	255509	47.0835	1.95726e-05	hap1	hifiasm	255529	255529	5	47.0	HG00096.hsm-ps-sseq
HG00096	h1tg000141l#1-34890	0	34870	99.0	0.0	hap1	hifiasm	34890	34890	2	42.0	HG00096.hsm-ps-sseq
HG00096	h1tg000142l#1-36057	3	36037	54.0183	3.96434e-06	hap1	hifiasm	36057	36057	1	46.0	HG00096.hsm-ps-sseq
HG00096	h1tg000143l#1-218534	0	218514	99.0	0.0	hap1	hifiasm	218534	218534	15	42.0	HG00096.hsm-ps-sseq
HG00096	h1tg000144l#1-151852	16	151832	52.9944	5.01833e-06	hap1	hifiasm	151852	151852	1	52.0	HG00096.hsm-ps-sseq
HG00096	h1tg000145l#1-85046	0	85026	99.0	0.0	hap1	hifiasm	85046	85046	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000147l#1-106853	0	106833	99.0	0.0	hap1	hifiasm	106853	106853	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000148l#1-82583	0	82563	99.0	0.0	hap1	hifiasm	82583	82583	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000149c#1-217520	0	217500	99.0	0.0	hap1	hifiasm	217520	217520	2	50.0	HG00096.hsm-ps-sseq
HG00096	h1tg000150l#1-147657	0	147637	99.0	0.0	hap1	hifiasm	147657	147657	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000151l#1-29858	0	29838	99.0	0.0	hap1	hifiasm	29858	29858	1	45.0	HG00096.hsm-ps-sseq
HG00096	h1tg000152l#1-33056	31	33036	43.4965	4.47043e-05	hap1	hifiasm	33056	33056	24	31.0	HG00096.hsm-ps-sseq
HG00096	h1tg000153l#1-120322	25	120302	50.0451	9.89671e-06	hap1	hifiasm	120322	120322	17	38.0	HG00096.hsm-ps-sseq
HG00096	h1tg000154l#1-31603	150	31583	36.446	0.000226675	hap1	hifiasm	31603	31603	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000155l#1-231218	0	231198	99.0	0.0	hap1	hifiasm	231218	231218	2	51.0	HG00096.hsm-ps-sseq
HG00096	h1tg000156l#1-26746	0	26726	99.0	0.0	hap1	hifiasm	26746	26746	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000157l#1-24337	0	24317	99.0	0.0	hap1	hifiasm	24337	24337	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000158l#1-55542	37	55522	44.9834	3.17435e-05	hap1	hifiasm	55542	55542	1	47.0	HG00096.hsm-ps-sseq
HG00096	h1tg000159l#1-75885	0	75865	99.0	0.0	hap1	hifiasm	75885	75885	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000160l#1-227804	0	227784	99.0	0.0	hap1	hifiasm	227804	227804	7	45.0	HG00096.hsm-ps-sseq
HG00096	h1tg000161l#1-95255	55	95235	45.6053	2.75085e-05	hap1	hifiasm	95255	95255	6	42.0	HG00096.hsm-ps-sseq
HG00096	h1tg000162l#1-58151	0	58131	99.0	0.0	hap1	hifiasm	58151	58151	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000163l#1-68068	13	68048	50.4105	9.09805e-06	hap1	hifiasm	68068	68068	22	35.0	HG00096.hsm-ps-sseq
HG00096	h1tg000164l#1-46395	0	46375	99.0	0.0	hap1	hifiasm	46395	46395	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000165c#1-36013	0	35993	99.0	0.0	hap1	hifiasm	36013	36013	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000166l#1-14297	0	14277	99.0	0.0	hap1	hifiasm	14297	14297	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000167l#1-51614	0	51594	99.0	0.0	hap1	hifiasm	51614	51614	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000168l#1-122132	99	122112	44.1317	3.86212e-05	hap1	hifiasm	122132	122132	49	34.0	HG00096.hsm-ps-sseq
HG00096	h1tg000169l#1-59217	17	59197	48.6401	1.3677e-05	hap1	hifiasm	59217	59217	32	33.0	HG00096.hsm-ps-sseq
HG00096	h1tg000170l#1-20547	0	20527	99.0	0.0	hap1	hifiasm	20547	20547	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000171l#1-47424	0	47404	99.0	0.0	hap1	hifiasm	47424	47424	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000172l#1-14263	0	14243	99.0	0.0	hap1	hifiasm	14263	14263	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000173l#1-11186	0	11166	99.0	0.0	hap1	hifiasm	11186	11186	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000174l#1-65770	0	65750	99.0	0.0	hap1	hifiasm	65770	65770	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000175l#1-67263	3	67243	56.7274	2.12454e-06	hap1	hifiasm	67263	67263	1	48.0	HG00096.hsm-ps-sseq
HG00096	h1tg000176l#1-29256	11	29236	47.4667	1.79198e-05	hap1	hifiasm	29256	29256	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000177l#1-101088	0	101068	99.0	0.0	hap1	hifiasm	101088	101088	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000178l#1-17274	0	17254	99.0	0.0	hap1	hifiasm	17274	17274	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000179l#1-90068	34	90048	47.4514	1.79831e-05	hap1	hifiasm	90068	90068	75	31.0	HG00096.hsm-ps-sseq
HG00096	h1tg000180l#1-25736	17	25716	45.0184	3.14893e-05	hap1	hifiasm	25736	25736	113	24.0	HG00096.hsm-ps-sseq
HG00096	h1tg000181l#1-51298	17	51278	48.0163	1.57895e-05	hap1	hifiasm	51298	51298	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000182l#1-62934	11	62914	50.7954	8.3265e-06	hap1	hifiasm	62934	62934	1	48.0	HG00096.hsm-ps-sseq
HG00096	h1tg000183l#1-35699	0	35679	99.0	0.0	hap1	hifiasm	35699	35699	4	40.0	HG00096.hsm-ps-sseq
HG00096	h1tg000184l#1-36691	0	36671	99.0	0.0	hap1	hifiasm	36691	36691	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000185l#1-210733	48	210713	49.6462	1.08487e-05	hap1	hifiasm	210733	210733	43	37.0	HG00096.hsm-ps-sseq
HG00096	h1tg000186l#1-24111	0	24091	99.0	0.0	hap1	hifiasm	24111	24111	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000187l#1-58576	0	58556	99.0	0.0	hap1	hifiasm	58576	58576	0	99.0	HG00096.hsm-ps-sseq
HG00096	h1tg000188l#1-156489	0	156469	99.0	0.0	hap1	hifiasm	156489	156489	0	99.0	HG00096.hsm-ps-sseq
