# AUTOGEN TABLE - DO NOT EDIT
# notebooks/tables/asm-stats-summary-table.ipynb|20240531T1622
# hifiasm v0.19.5 HGSVC3 phased assemblies
# 65 samples
sequence			asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2
HG00514	9	3	1.1	134504965.0	122438744.0	3217455316.0	150.0	1.1	134504965.0	122535736.0	3214907423.0	91.0	1.1	134504965.0	122719962.0	3210069472.0	71.0	1.1	134504965.0	122976819.0	3203321811.0	62.0	1.0	134504965.0	127156825.0	3093516299.0	35.0	0.9	135375673.0	136641117.0	2812516521.0	24.0	0.7	141453231.0	160728893.0	1979412162.0	13.0	1.1	129817409.0	117829179.0	3329467138.0	101.0	1.1	129817409.0	117838405.0	3329206320.0	97.0	1.1	129817409.0	117871764.0	3328261973.0	93.0	1.1	129817409.0	117949421.0	3326056474.0	90.0	1.0	133848348.0	124460374.0	3145238282.0	38.0	0.9	134377282.0	136208382.0	2791729561.0	24.0	0.7	140856460.0	160455778.0	1974704823.0	13.0
HG03732	10	3	1.1	132643114.0	117287190.0	3291461955.0	186.0	1.1	132643114.0	117391387.0	3288539192.0	108.0	1.1	132643114.0	117670915.0	3280709192.0	74.0	1.1	132643114.0	117935534.0	3273299356.0	64.0	1.0	133521983.0	122327201.0	3149125928.0	40.0	0.9	134326151.0	135428368.0	2767635977.0	23.0	0.7	146074365.0	153865920.0	2051915273.0	14.0	1.1	104176492.0	114450434.0	3177430547.0	94.0	1.1	104176492.0	114453317.0	3177350432.0	93.0	1.1	104176492.0	114546228.0	3174767195.0	82.0	1.1	104176492.0	114653894.0	3171765540.0	78.0	1.0	108739080.0	119854347.0	3028024068.0	43.0	0.9	134330163.0	134174427.0	2633107133.0	23.0	0.6	145589451.0	159611167.0	1790838062.0	12.0
HG01573	11	1	1.1	137855492.0	130892137.0	3176308469.0	110.0	1.1	137855492.0	130945545.0	3175012453.0	78.0	1.1	137855492.0	131155580.0	3169916608.0	57.0	1.1	137855492.0	131390433.0	3164218022.0	49.0	1.0	137855492.0	133579880.0	3110557891.0	31.0	1.0	137926634.0	140554672.0	2908058876.0	24.0	0.8	141123945.0	159028995.0	2259507665.0	15.0	1.1	136880324.0	127009987.0	3234979690.0	79.0	1.1	136880324.0	127017672.0	3234783856.0	76.0	1.1	136880324.0	127041570.0	3234174585.0	72.0	1.1	136880324.0	127146877.0	3231480946.0	68.0	1.0	136880324.0	132873929.0	3085728758.0	32.0	1.0	137850995.0	139870727.0	2887356378.0	24.0	0.7	140846933.0	158388522.0	2249379465.0	15.0
HG00171	12	1	1.0	109942012.0	103711303.0	3029709304.0	153.0	1.0	109942012.0	103810269.0	3026819356.0	92.0	1.0	109942012.0	103996670.0	3021381373.0	65.0	1.0	109942012.0	104212491.0	3015080441.0	56.0	1.0	109942012.0	106536228.0	2945081502.0	40.0	0.8	110865968.0	122774675.0	2412199946.0	22.0	0.6	133183604.0	139858070.0	1733975026.0	13.0	1.0	98657949.0	94041025.0	3032428670.0	183.0	1.0	98657949.0	94147830.0	3028986426.0	114.0	1.0	98657949.0	94503687.0	3017545542.0	65.0	1.0	98657949.0	94616210.0	3013928631.0	60.0	1.0	99912050.0	96570432.0	2949704590.0	43.0	0.8	102463900.0	110577221.0	2411563513.0	24.0	0.5	131945748.0	131765817.0	1399876333.0	11.0
HG02587	13	1	1.0	91056320.0	90715479.0	3051287185.0	240.0	1.0	91056320.0	90878427.0	3045812527.0	126.0	1.0	91056320.0	91168740.0	3036087173.0	79.0	1.0	91056320.0	91374497.0	3029196257.0	69.0	1.0	91818594.0	93472440.0	2957968230.0	44.0	0.7	109688104.0	113825986.0	2161454966.0	21.0	0.4	140183128.0	138270396.0	1207701533.0	9.0	1.0	94683915.0	92575039.0	3036853408.0	154.0	1.0	94683915.0	92644943.0	3034560458.0	106.0	1.0	94683915.0	92825965.0	3028625585.0	79.0	1.0	94683915.0	93049055.0	3021298590.0	70.0	1.0	94683915.0	95884511.0	2927321854.0	43.0	0.7	111186842.0	114384387.0	2228038234.0	22.0	0.4	133521828.0	138394252.0	1328621596.0	10.0
HG01114	14	1	1.0	102879941.0	101750890.0	3042035649.0	180.0	1.0	102879941.0	101853042.0	3038982780.0	123.0	1.0	102879941.0	102217959.0	3028106352.0	73.0	1.0	102879941.0	102452264.0	3021131571.0	63.0	1.0	102879941.0	105708051.0	2922536963.0	38.0	0.8	133646829.0	117211133.0	2519496735.0	24.0	0.5	138825392.0	142005083.0	1528132903.0	11.0	1.0	98584344.0	98066157.0	3033226764.0	161.0	1.0	98584344.0	98154075.0	3030508087.0	110.0	1.0	98584344.0	98514182.0	3019397789.0	64.0	1.0	98584344.0	98557672.0	3018056274.0	62.0	1.0	100794130.0	100691134.0	2950470388.0	41.0	0.8	111511615.0	116130679.0	2381446109.0	23.0	0.5	133973734.0	139081388.0	1475760637.0	11.0
HG02018	15	1	1.0	88930785.0	81353627.0	3037473278.0	178.0	1.0	88930785.0	81428275.0	3034686478.0	126.0	1.0	88930785.0	81665898.0	3025829234.0	84.0	1.0	88930785.0	81922098.0	3016277704.0	71.0	1.0	88930785.0	84288357.0	2926123904.0	45.0	0.8	93231686.0	96185233.0	2355498281.0	27.0	0.3	125804252.0	127568290.0	875214905.0	7.0	1.0	89694748.0	84995393.0	3029369791.0	195.0	1.0	89694748.0	85084392.0	3026198979.0	128.0	1.0	89694748.0	85329480.0	3017479710.0	89.0	1.0	89694748.0	85716463.0	3003741922.0	69.0	1.0	91856193.0	88376947.0	2908404344.0	42.0	0.8	94847429.0	99948721.0	2372697239.0	26.0	0.3	127208150.0	127709295.0	1001824960.0	8.0
NA19036	16	1	1.0	111109807.0	121022910.0	3064987077.0	140.0	1.0	111109807.0	121099282.0	3063053135.0	101.0	1.0	111109807.0	121414615.0	3055079565.0	67.0	1.0	111109807.0	121596758.0	3050473278.0	61.0	1.0	111300053.0	125327502.0	2955821135.0	37.0	0.8	134476338.0	143499806.0	2457845608.0	21.0	0.6	136746906.0	168007293.0	1826750657.0	12.0	1.0	102300408.0	103286275.0	3015031427.0	100.0	1.0	102300408.0	103331030.0	3013724837.0	73.0	1.0	102300408.0	103409493.0	3011433251.0	61.0	1.0	102300408.0	103491005.0	3009047145.0	57.0	1.0	102300408.0	105507947.0	2948793975.0	41.0	0.8	133292173.0	121293394.0	2417657489.0	23.0	0.5	147769978.0	146327546.0	1546003311.0	11.0
NA12329	17	3	1.0	128286556.0	112575974.0	3028600610.0	131.0	1.0	128286556.0	112638219.0	3026926227.0	91.0	1.0	128286556.0	112902195.0	3019831068.0	61.0	1.0	128286556.0	112992265.0	3017410381.0	57.0	1.0	128286556.0	115511868.0	2949410000.0	34.0	0.9	133409024.0	126449493.0	2587710251.0	23.0	0.6	137060710.0	149123299.0	1735615184.0	12.0	1.0	127125265.0	106524039.0	3029685154.0	145.0	1.0	127125265.0	106634970.0	3026531536.0	85.0	1.0	127125265.0	106823368.0	3021180812.0	60.0	1.0	127125265.0	106894791.0	3019148013.0	57.0	1.0	127125265.0	109199366.0	2952181218.0	40.0	0.8	133584532.0	124798149.0	2438030766.0	23.0	0.5	145763396.0	152144989.0	1629021240.0	11.0
HG02011	18	2	1.0	104946088.0	90197004.0	2976106626.0	244.0	1.0	104946088.0	90333993.0	2971590643.0	141.0	1.0	104946088.0	90729821.0	2958585047.0	85.0	1.0	104946088.0	91051670.0	2948036313.0	71.0	0.9	104946088.0	94252401.0	2842328883.0	43.0	0.8	110588290.0	109058974.0	2286899166.0	23.0	0.6	121169531.0	123668678.0	1698523432.0	14.0	1.0	98306969.0	108306369.0	3004795596.0	111.0	1.0	98306969.0	108363843.0	3003200964.0	80.0	1.0	98306969.0	108537409.0	2998384105.0	62.0	1.0	98306969.0	108782292.0	2991585186.0	53.0	1.0	108837515.0	110613931.0	2939794766.0	39.0	0.8	132532928.0	126493840.0	2431012620.0	23.0	0.5	134872886.0	158144838.0	1482637544.0	10.0
NA19983	19	1	1.0	94999637.0	103537486.0	3033044930.0	139.0	1.0	94999637.0	103618414.0	3030674871.0	84.0	1.0	94999637.0	103802359.0	3025292888.0	56.0	1.0	101308017.0	103952321.0	3020896778.0	50.0	1.0	101308017.0	105091503.0	2986987824.0	38.0	0.9	108241942.0	116229788.0	2572864516.0	25.0	0.5	143960235.0	142291180.0	1512550264.0	11.0	1.0	97638753.0	113268494.0	3037264247.0	132.0	1.0	97638753.0	113347803.0	3035137887.0	91.0	1.0	97638753.0	113616987.0	3027928186.0	61.0	1.0	97638753.0	113852419.0	3021627096.0	52.0	1.0	98784423.0	115225681.0	2984500356.0	38.0	0.8	106765324.0	130411284.0	2499494684.0	23.0	0.4	172235257.0	173374442.0	1309874896.0	8.0
HG03371	20	2	1.0	101362346.0	119975304.0	2951595955.0	159.0	1.0	101362346.0	120063434.0	2949428527.0	105.0	1.0	101362346.0	120396888.0	2941241150.0	69.0	1.0	101362346.0	120683423.0	2934210606.0	60.0	0.9	101362346.0	124438218.0	2841919503.0	37.0	0.8	134216948.0	143192002.0	2349702796.0	21.0	0.5	182788253.0	182245679.0	1496825858.0	9.0	1.0	133805524.0	115262500.0	3010830056.0	100.0	1.0	133805524.0	115340608.0	3008789957.0	64.0	1.0	133805524.0	115470752.0	3005391583.0	49.0	1.0	133805524.0	115678142.0	2999971027.0	41.0	1.0	133805524.0	117037429.0	2962986553.0	33.0	0.9	134710347.0	125450565.0	2684663299.0	24.0	0.6	146172417.0	149244523.0	1745540434.0	12.0
HG02492	21	2	1.0	88852878.0	85138995.0	3001009059.0	238.0	1.0	88852878.0	85259245.0	2996773926.0	126.0	1.0	90947037.0	85532942.0	2987157258.0	78.0	1.0	90947037.0	85798860.0	2977816832.0	65.0	1.0	90947037.0	87995550.0	2899448445.0	42.0	0.7	104669030.0	102386358.0	2238927753.0	24.0	0.4	132296262.0	127223999.0	1127017448.0	9.0	1.0	73866838.0	81906813.0	2971111373.0	304.0	1.0	73866838.0	82081303.0	2964790441.0	176.0	1.0	73866838.0	82476890.0	2950522653.0	115.0	1.0	73866838.0	83023494.0	2930912049.0	89.0	0.9	88380893.0	86908965.0	2792517378.0	46.0	0.7	104868592.0	107816874.0	1982908507.0	21.0	0.4	133944914.0	137323888.0	1056966703.0	8.0
HG03009	22	2	1.0	93978043.0	94192180.0	2943239111.0	207.0	1.0	93978043.0	94279954.0	2940497599.0	126.0	1.0	93978043.0	94576623.0	2931248167.0	84.0	1.0	93978043.0	94829975.0	2923359848.0	72.0	0.9	100566715.0	98952339.0	2794408104.0	41.0	0.7	111523656.0	116930760.0	2198280000.0	21.0	0.5	135291120.0	137265476.0	1449147119.0	11.0	1.0	110178853.0	113962453.0	3019740860.0	143.0	1.0	110178853.0	114044669.0	3017562894.0	91.0	1.0	110178853.0	114297028.0	3010885727.0	60.0	1.0	110178853.0	114513990.0	3005139301.0	53.0	1.0	110178853.0	116383623.0	2955200067.0	36.0	0.8	132838305.0	129768364.0	2541178265.0	23.0	0.5	140238357.0	158146598.0	1631884875.0	11.0
HG03683	23	1	1.0	88716790.0	97786366.0	3021524656.0	180.0	1.0	88716790.0	97875085.0	3018784407.0	113.0	1.0	88716790.0	98165830.0	3009818392.0	73.0	1.0	88716790.0	98408637.0	3002332187.0	63.0	1.0	88716790.0	100673902.0	2931544019.0	41.0	0.8	101671892.0	114943382.0	2396150025.0	24.0	0.4	147982775.0	148180824.0	1264056573.0	9.0	1.0	107663192.0	102980545.0	3036787914.0	186.0	1.0	107663192.0	103088411.0	3033608708.0	117.0	1.0	107663192.0	103367248.0	3025402122.0	83.0	1.0	107663192.0	103638648.0	3017420954.0	72.0	1.0	111699653.0	106299776.0	2939303031.0	44.0	0.8	130800365.0	122824939.0	2413579714.0	24.0	0.5	145095001.0	151932442.0	1605172108.0	11.0
HG03065	24	2	1.2	103945661.0	103290622.0	3463232360.0	201.0	1.2	103945661.0	103399767.0	3459574702.0	117.0	1.2	110165609.0	103672961.0	3450432700.0	78.0	1.1	110165609.0	103836357.0	3444966462.0	70.0	1.1	110165609.0	106152879.0	3365992403.0	49.0	0.9	134698296.0	124926281.0	2685802841.0	24.0	0.6	139426005.0	145395085.0	1833331475.0	13.0	1.1	130604050.0	109944325.0	3415289567.0	83.0	1.1	130604050.0	109957165.0	3414890526.0	76.0	1.1	130604050.0	110047258.0	3412087802.0	64.0	1.1	130604050.0	110112484.0	3410053772.0	61.0	1.1	130604050.0	112105858.0	3345845671.0	48.0	0.9	133977816.0	128764042.0	2800919237.0	24.0	0.7	138118089.0	144730517.0	2111838228.0	15.0
NA18534	25	2	1.0	110005606.0	102543674.0	2964348452.0	249.0	1.0	110005606.0	102691192.0	2960087607.0	156.0	1.0	110005606.0	103136626.0	2947268022.0	102.0	1.0	110005606.0	103614932.0	2933562734.0	83.0	0.9	112292662.0	108277809.0	2802292300.0	38.0	0.8	118602713.0	124809011.0	2297351281.0	21.0	0.6	134847783.0	144664876.0	1657679579.0	12.0	1.0	93091642.0	89289240.0	3010972944.0	218.0	1.0	93091642.0	89429999.0	3006230534.0	124.0	1.0	93091642.0	89721656.0	2996429727.0	80.0	1.0	93091642.0	89938463.0	2989151327.0	69.0	1.0	94005138.0	92651257.0	2895753996.0	44.0	0.8	109833714.0	108728756.0	2259605849.0	23.0	0.4	133997344.0	131248845.0	1293983897.0	10.0
HG01505	26	1	1.0	89656077.0	96857354.0	3013438476.0	198.0	1.0	89656077.0	96956344.0	3010360359.0	118.0	1.0	89656077.0	97231669.0	3001813490.0	78.0	1.0	89656077.0	97351227.0	2998097277.0	73.0	1.0	92848079.0	99797794.0	2921861035.0	43.0	0.8	116895412.0	115121276.0	2380432502.0	24.0	0.4	146050360.0	148481712.0	1303105987.0	9.0	1.0	91042303.0	84730549.0	2948646367.0	254.0	1.0	91042303.0	84836257.0	2944969731.0	175.0	1.0	91042303.0	85244814.0	2930812139.0	109.0	1.0	91042303.0	85589378.0	2918912194.0	92.0	0.9	92407374.0	90229935.0	2760728640.0	42.0	0.7	101288380.0	106349292.0	2136925096.0	22.0	0.4	133722092.0	129285484.0	1140382502.0	9.0
NA19650	27	2	1.0	99679145.0	97622473.0	3005600566.0	135.0	1.0	99679145.0	97673436.0	3004031499.0	91.0	1.0	99679145.0	97898856.0	2997094706.0	60.0	1.0	99679145.0	98060804.0	2992107447.0	53.0	1.0	99679145.0	99373908.0	2950511141.0	41.0	0.8	107822648.0	112688078.0	2444319911.0	25.0	0.5	130493513.0	138439399.0	1441959605.0	11.0	1.0	91242790.0	86224821.0	2938157068.0	239.0	1.0	91242790.0	86354870.0	2933729137.0	143.0	1.0	91242790.0	86710386.0	2921660234.0	93.0	1.0	91242790.0	87053614.0	2910039355.0	77.0	0.9	93957944.0	90263562.0	2801168206.0	43.0	0.7	107112376.0	107143642.0	2144708065.0	22.0	0.5	135179906.0	125754903.0	1350780625.0	11.0
NA18939	28	3	1.0	99364539.0	103961713.0	3022481556.0	162.0	1.0	99364539.0	104056480.0	3019727301.0	103.0	1.0	99364539.0	104350198.0	3011205181.0	67.0	1.0	99364539.0	104523132.0	3006187333.0	60.0	1.0	99364539.0	106940279.0	2934957924.0	38.0	0.8	108208261.0	120048389.0	2481782042.0	23.0	0.5	134930778.0	146571046.0	1415986856.0	10.0	1.0	134202805.0	122999235.0	3043234317.0	163.0	1.0	134202805.0	123102538.0	3040679421.0	108.0	1.0	134202805.0	123495797.0	3030974420.0	65.0	1.0	134202805.0	123807511.0	3023292812.0	55.0	1.0	134202805.0	126143407.0	2965264724.0	37.0	0.8	146286605.0	143571660.0	2503181695.0	21.0	0.6	160385028.0	175511151.0	1665073358.0	10.0
HG00864	29	3	1.0	101980905.0	108604285.0	3030503112.0	182.0	1.0	101980905.0	108717524.0	3027344906.0	113.0	1.0	101980905.0	109020372.0	3018915179.0	75.0	1.0	101980905.0	109378402.0	3008965583.0	61.0	1.0	105064484.0	111607964.0	2946014150.0	40.0	0.8	134162078.0	126992409.0	2470382440.0	23.0	0.5	140126605.0	154302896.0	1600155616.0	11.0	1.0	91415780.0	91893664.0	3014121024.0	178.0	1.0	91415780.0	91989415.0	3010981574.0	119.0	1.0	91415780.0	92355717.0	2999002149.0	69.0	1.0	91415780.0	92527031.0	2993405052.0	61.0	1.0	91415780.0	94554902.0	2925847439.0	40.0	0.8	98373210.0	104987012.0	2469583665.0	26.0	0.4	129212604.0	132776011.0	1137267646.0	9.0
NA20847	30	2	1.0	87401659.0	82053869.0	3027030018.0	210.0	1.0	87401659.0	82149026.0	3023521442.0	127.0	1.0	87401659.0	82408065.0	3013981575.0	91.0	1.0	87401659.0	82666473.0	3004484348.0	76.0	1.0	92461698.0	84980084.0	2916985857.0	50.0	0.7	103671533.0	104401006.0	2122477227.0	22.0	0.4	118535306.0	123678247.0	1209967680.0	10.0	1.0	87559491.0	82093313.0	3024968682.0	168.0	1.0	87559491.0	82140837.0	3023217344.0	129.0	1.0	87559491.0	82407820.0	3013389172.0	87.0	1.0	87559491.0	82726224.0	3001683826.0	71.0	1.0	88738835.0	84878319.0	2920843040.0	49.0	0.7	97294151.0	101567362.0	2198903815.0	24.0	0.3	135002803.0	130060563.0	1021213828.0	8.0
