# AUTOGEN TABLE - DO NOT EDIT
# notebooks/tables/asm-stats-summary-table.ipynb|20241126T1122
# Verkko v1.4.1 HGSVC3 phased assemblies
# 65 samples
sequence			asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants
HG00514	9	3	1.0	145202885.0	150052150.0	3021701052.0	55.0	1.0	145202885.0	150071822.0	3021304841.0	45.0	1.0	145202885.0	150186546.0	3018990595.0	39.0	1.0	145202885.0	150347082.0	3015752542.0	34.0	1.0	145202885.0	151619130.0	2989920125.0	25.0	0.9	145202885.0	157283273.0	2847039987.0	21.0	0.7	172639443.0	179050153.0	2197198965.0	13.0	1.0	133914312.0	127691961.0	3019760335.0	75.0	1.0	133914312.0	127723725.0	3019009026.0	58.0	1.0	133914312.0	127905329.0	3014711649.0	41.0	1.0	133914312.0	128149191.0	3008945079.0	32.0	1.0	133914312.0	128870917.0	2991310841.0	28.0	1.0	135154951.0	133143343.0	2858067812.0	24.0	0.7	146310891.0	152830877.0	2070098750.0	14.0	0.0	353956.0	850046.0	0.721	43585305.0	199.0	0.0	353956.0	850142.0	43580330.0	198.0	0.0	353956.0	856514.0	43249652.0	178.0	0.0	368026.0	882202.0	41939837.0	137.0	0.0	381150.0	905521.0	40766369.0	120.0	0.0	3953502.0	3563880.0	7014090.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	147316.0	178384.0	22942985.0	386.0	0.0	147316.0	178566.0	22918416.0	383.0	0.0	179599.0	192152.0	21140196.0	277.0	0.0	244521.0	253185.0	15268900.0	89.0	0.0	303672.0	288726.0	12793641.0	52.0	0.0	26052.0	27869.0	0.014	834595.0	34.0	0.0	26052.0	27869.0	834595.0	34.0	0.0	28502.0	31663.0	615400.0	21.0	0.0	53650.0	53650.0	53650.0	1.0	0.0	1317446.0	1317446.0	1317446.0	1.0	0.0	1317446.0	1317446.0	1317446.0	1.0	0.0	1317446.0	1317446.0	1317446.0	1.0	0.0	1317446.0	1317446.0	1317446.0	1.0	0.0	1317446.0	1317446.0	1317446.0	1.0	0.0	1317446.0	1317446.0	1317446.0	1.0
HG03732	10	3	1.0	137452214.0	137041348.0	2961238736.0	51.0	1.0	137452214.0	137058053.0	2960877655.0	43.0	1.0	137452214.0	137134290.0	2959228506.0	36.0	1.0	137452214.0	137234690.0	2957051526.0	33.0	1.0	137452214.0	138051761.0	2939129438.0	27.0	0.9	141953785.0	143752589.0	2773475975.0	23.0	0.7	151643981.0	164025584.0	2162528730.0	14.0	1.0	146269848.0	149331744.0	3015154524.0	89.0	1.0	146269848.0	149417403.0	3013425305.0	52.0	1.0	146269848.0	149601143.0	3009719486.0	31.0	1.0	146269848.0	149695759.0	3007804900.0	29.0	1.0	146269848.0	150361231.0	2994173078.0	25.0	1.0	146269848.0	155750904.0	2857724525.0	21.0	0.8	159878572.0	173816060.0	2290777161.0	14.0	0.0	219366.0	307780.0	0.256	15279822.0	116.0	0.0	219366.0	308630.0	15236523.0	111.0	0.0	229352.0	313879.0	14967033.0	95.0	0.0	256320.0	324095.0	14436215.0	79.0	0.0	276435.0	352523.0	12969309.0	58.0	0.0	1248730.0	1248730.0	1248730.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	38333.0	106833.0	17304181.0	486.0	0.0	38336.0	107321.0	17219164.0	475.0	0.0	44737.0	122649.0	14748602.0	314.0	0.0	235374.0	231721.0	6690800.0	47.0	0.0	301336.0	292354.0	4901898.0	19.0	0.0	25189.0	33022.0	0.014	854185.0	35.0	0.0	25189.0	33141.0	850778.0	34.0	0.0	32533.0	39571.0	624193.0	19.0	0.0	53947.0	63982.0	184295.0	3.0	0.0	18617.0	19515.0	57656.0	3.0	0.0	18617.0	19515.0	57656.0	3.0	0.0	22394.0	22394.0	22394.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG01573	11	1	1.0	136589329.0	123202177.0	3011509228.0	79.0	1.0	136589329.0	123244882.0	3010465331.0	50.0	1.0	136589329.0	123356784.0	3007728156.0	38.0	1.0	136589329.0	123475065.0	3004833358.0	33.0	1.0	136589329.0	123947620.0	2992738484.0	30.0	0.9	137606295.0	130234793.0	2792187120.0	24.0	0.7	144389803.0	149158299.0	2035023113.0	14.0	1.0	136571735.0	135122642.0	3021829616.0	80.0	1.0	136571735.0	135192123.0	3020275937.0	48.0	1.0	136571735.0	135252859.0	3018918077.0	39.0	1.0	136571735.0	135380444.0	3016060891.0	34.0	1.0	136571735.0	136216720.0	2997082999.0	28.0	0.9	136970937.0	142303126.0	2822751786.0	23.0	0.7	154751886.0	162623171.0	2150956276.0	14.0	0.1	46443.0	278763.0	4.96	299254726.0	6151.0	0.1	46443.0	278852.0	299156023.0	6139.0	0.1	49851.0	291960.0	284918744.0	5258.0	0.0	317043.0	551969.0	142154942.0	718.0	0.0	388848.0	638307.0	120625773.0	387.0	0.0	1763101.0	2153957.0	16925449.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	54257.0	132678.0	16169953.0	356.0	0.0	54257.0	132910.0	16139911.0	352.0	0.0	80638.0	143362.0	14805510.0	272.0	0.0	224500.0	234380.0	8166085.0	49.0	0.0	256190.0	272106.0	6572872.0	28.0	0.0	23152.0	23970.0	0.187	11266893.0	519.0	0.0	23194.0	24160.0	11137088.0	501.0	0.0	25340.0	27097.0	7915731.0	307.0	0.0	88356.0	74616.0	139000.0	2.0	0.0	30206.0	40252.0	71313502.0	2436.0	0.0	30220.0	40327.0	71149374.0	2413.0	0.0	31835.0	43438.0	62833847.0	1908.0	0.0	81307.0	117623.0	8641287.0	103.0	0.0	180887.0	195274.0	3513775.0	20.0	0.0	0.0	0.0	0.0	0.0
HG00171	12	1	1.0	140737330.0	139859013.0	3034998314.0	136.0	1.0	140737330.0	140046210.0	3030939680.0	61.0	1.0	140737330.0	140235548.0	3026841132.0	38.0	1.0	140737330.0	140366293.0	3024007296.0	34.0	1.0	140737330.0	141666838.0	2995266571.0	27.0	0.9	146761558.0	147673501.0	2830869112.0	22.0	0.7	158780978.0	166569156.0	2210386177.0	14.0	1.0	135792130.0	134329552.0	3005145731.0	57.0	1.0	135792130.0	134350743.0	3004671583.0	44.0	1.0	135792130.0	134424746.0	3003014060.0	36.0	1.0	135792130.0	134473410.0	3001922873.0	34.0	1.0	135792130.0	135542080.0	2977193063.0	28.0	0.9	145819074.0	142515018.0	2780258460.0	22.0	0.7	161552999.0	163813800.0	2032551644.0	13.0	0.0	494967.0	914771.0	0.516	31194959.0	111.0	0.0	494967.0	915038.0	31185793.0	110.0	0.0	494967.0	916325.0	31141257.0	107.0	0.0	502974.0	938593.0	30370829.0	86.0	0.0	572710.0	973125.0	29194689.0	71.0	0.0	2718281.0	2532742.0	7464835.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	39498.0	72964.0	9737386.0	250.0	0.0	39498.0	73017.0	9729460.0	248.0	0.0	41736.0	77280.0	9040763.0	207.0	0.0	112128.0	142932.0	3614485.0	37.0	0.0	213461.0	206396.0	2000303.0	11.0	0.0	31528.0	33522.0	0.009	529238.0	20.0	0.0	31528.0	33522.0	529238.0	20.0	0.0	39634.0	40736.0	379184.0	10.0	0.0	62053.0	62053.0	62053.0	1.0	0.0	30104.0	97271.0	86954955.0	2794.0	0.0	30180.0	97558.0	86676170.0	2757.0	0.0	33167.0	110497.0	74699461.0	2033.0	0.0	156178.0	300849.0	22141086.0	199.0	0.0	267953.0	450137.0	13695018.0	52.0	0.0	1063628.0	1037101.0	2072770.0	2.0
HG02587	13	1	1.0	139299482.0	135993789.0	3017598873.0	44.0	1.0	139299482.0	136009608.0	3017247720.0	38.0	1.0	139299482.0	136046467.0	3016428601.0	35.0	1.0	139299482.0	136046467.0	3016428601.0	35.0	1.0	139299482.0	136844084.0	2998511714.0	27.0	0.9	145641818.0	143603287.0	2801983788.0	22.0	0.7	154383121.0	161902643.0	2141263169.0	14.0	1.0	136083123.0	132096871.0	3008624497.0	61.0	1.0	136083123.0	132125582.0	3007970413.0	48.0	1.0	136083123.0	132220215.0	3005813796.0	37.0	1.0	136083123.0	132277502.0	3004505554.0	35.0	1.0	136083123.0	133553826.0	2974430196.0	29.0	0.9	136083123.0	139872675.0	2794228030.0	23.0	0.6	158967422.0	166431795.0	1901463519.0	12.0	0.0	783906.0	12546243.0	1.112	67040504.0	156.0	0.0	783906.0	12546243.0	67040504.0	156.0	0.0	783906.0	12579772.0	66861586.0	145.0	0.0	1073820.0	12706752.0	66191481.0	126.0	0.0	1094453.0	13094085.0	64222392.0	98.0	0.0	28659088.0	24810281.0	33325556.0	5.0	0.0	28659088.0	28659088.0	28659088.0	1.0	0.0	39350.0	89175.0	19886353.0	512.0	0.0	39350.0	89241.0	19869996.0	510.0	0.0	42544.0	96990.0	17944591.0	395.0	0.0	191323.0	184617.0	7583489.0	60.0	0.0	222346.0	228893.0	5551851.0	27.0	0.0	38937.0	43816.0	0.01	625998.0	20.0	0.0	38937.0	45368.0	599336.0	17.0	0.0	40195.0	49987.0	514496.0	12.0	0.0	79670.0	79282.0	158561.0	2.0	0.0	33350.0	132404.0	54449044.0	1587.0	0.0	33367.0	132612.0	54357926.0	1575.0	0.0	38305.0	148795.0	47690805.0	1172.0	0.0	208742.0	373341.0	16344044.0	118.0	0.0	312384.0	490429.0	11879066.0	43.0	0.0	1105250.0	1105250.0	1105250.0	1.0
HG01114	14	1	1.0	133607674.0	130048019.0	3028802798.0	258.0	1.0	133607674.0	130329770.0	3022252143.0	123.0	1.0	133607674.0	131076668.0	3004996827.0	42.0	1.0	133607674.0	131174565.0	3002741050.0	39.0	1.0	133607674.0	131869319.0	2986607676.0	32.0	0.9	133937574.0	143227801.0	2667904052.0	23.0	0.6	152406581.0	172199551.0	1887719299.0	12.0	1.0	135125707.0	128382719.0	3020382247.0	64.0	1.0	135125707.0	128411795.0	3019698160.0	41.0	1.0	135125707.0	128481779.0	3018049267.0	35.0	1.0	135125707.0	128562035.0	3016155284.0	32.0	1.0	135125707.0	128893029.0	3008243446.0	29.0	0.9	135714559.0	134972655.0	2815596975.0	24.0	0.7	146071252.0	157951310.0	1951818989.0	13.0	0.0	489563.0	666732.0	0.67	40527476.0	198.0	0.0	489563.0	666732.0	40527476.0	198.0	0.0	489563.0	672875.0	40147953.0	175.0	0.0	560358.0	702569.0	38358104.0	123.0	0.0	591790.0	735045.0	36482763.0	95.0	0.0	1287664.0	1488118.0	10795064.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	38073.0	70201.0	11174939.0	312.0	0.0	38073.0	70297.0	11157500.0	310.0	0.0	39867.0	75829.0	10105094.0	248.0	0.0	112791.0	148628.0	3779331.0	40.0	0.0	237910.0	231463.0	1943853.0	9.0	0.0	24818.0	26119.0	0.012	750833.0	33.0	0.0	24818.0	26420.0	739272.0	31.0	0.0	29734.0	29998.0	544442.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	38287.0	127162.0	78863452.0	2051.0	0.0	38389.0	127315.0	78762724.0	2037.0	0.0	42056.0	137445.0	72125766.0	1645.0	0.0	208206.0	286547.0	29886421.0	245.0	0.0	346949.0	409546.0	19338716.0	68.0	0.0	0.0	0.0	0.0	0.0
HG02018	15	1	1.0	136673151.0	136930877.0	3027577430.0	78.0	1.0	136673151.0	136994798.0	3026164258.0	43.0	1.0	136673151.0	137022210.0	3025558181.0	39.0	1.0	136673151.0	137114484.0	3023511880.0	36.0	1.0	136673151.0	138406449.0	2994215026.0	27.0	1.0	136673151.0	142999016.0	2865777513.0	23.0	0.7	146346089.0	163468700.0	2161991111.0	14.0	1.0	135348401.0	136689154.0	3006583842.0	57.0	1.0	135348401.0	136711493.0	3006092359.0	44.0	1.0	135348401.0	136799940.0	3004145196.0	35.0	1.0	135348401.0	136856889.0	3002889342.0	33.0	1.0	135348401.0	137656127.0	2985047508.0	26.0	0.9	135348401.0	143308187.0	2817839551.0	22.0	0.7	154393590.0	161342737.0	2148046439.0	14.0	0.1	71439.0	193940.0	4.841	292087862.0	5266.0	0.1	71592.0	194026.0	291952606.0	5248.0	0.1	81730.0	201367.0	280345454.0	4540.0	0.1	234636.0	312040.0	168712362.0	1085.0	0.0	315775.0	383456.0	130327839.0	508.0	0.0	1085682.0	1203119.0	3551122.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	46888.0	111115.0	15730667.0	365.0	0.0	46941.0	111293.0	15703288.0	362.0	0.0	54407.0	120330.0	14329261.0	280.0	0.0	143817.0	197552.0	7664011.0	57.0	0.0	185080.0	230389.0	6115152.0	33.0	0.0	23306.0	23692.0	1.339	80771784.0	3666.0	0.0	23363.0	23809.0	80164253.0	3588.0	0.0	25373.0	26391.0	58222998.0	2270.0	0.0	68777.0	68777.0	68777.0	1.0	0.0	53218.0	60996.0	2527022.0	55.0	0.0	53218.0	60996.0	2527022.0	55.0	0.0	53226.0	62868.0	2422834.0	49.0	0.0	70653.0	82315.0	1403692.0	19.0	0.0	124783.0	125739.0	371995.0	3.0	0.0	0.0	0.0	0.0	0.0
NA19036	16	1	1.0	134461585.0	128496759.0	3041930150.0	57.0	1.0	134461585.0	128513265.0	3041539261.0	49.0	1.0	134461585.0	128560783.0	3040413622.0	42.0	1.0	134461585.0	128560783.0	3040413622.0	42.0	1.0	134461585.0	129799597.0	3010636719.0	31.0	0.9	135202191.0	141356419.0	2676313138.0	21.0	0.7	147413604.0	157133734.0	2091162543.0	14.0	1.0	153764006.0	155532904.0	3011800255.0	70.0	1.0	153764006.0	155593402.0	3010628705.0	47.0	1.0	153764006.0	155788379.0	3006854145.0	30.0	1.0	153764006.0	155788379.0	3006854145.0	30.0	1.0	153764006.0	157008310.0	2982878906.0	23.0	1.0	153764006.0	159550523.0	2920625950.0	21.0	0.8	160632548.0	174536913.0	2475566155.0	15.0	0.0	595170.0	1540787.0	0.357	21629078.0	107.0	0.0	595170.0	1540787.0	21629078.0	107.0	0.0	595170.0	1551400.0	21479484.0	98.0	0.0	805445.0	1665585.0	19977168.0	51.0	0.0	1097635.0	1758593.0	18871018.0	36.0	0.0	3376425.0	3088894.0	9545483.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	70041.0	134570.0	22604956.0	458.0	0.0	70041.0	134716.0	22578687.0	455.0	0.0	99306.0	144177.0	20892738.0	357.0	0.0	216708.0	222751.0	12257515.0	76.0	0.0	253879.0	252131.0	10259762.0	47.0	0.0	30423.0	31118.0	0.01	597161.0	22.0	0.0	30423.0	31118.0	597161.0	22.0	0.0	32223.0	33419.0	523569.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	47754.0	144250.0	95739834.0	2203.0	0.0	47797.0	144455.0	95595602.0	2185.0	0.0	50438.0	153692.0	89128637.0	1801.0	0.0	157516.0	270795.0	45196020.0	389.0	0.0	296019.0	390447.0	28715386.0	115.0	0.0	1124246.0	1124246.0	1124246.0	1.0
NA12329	17	3	1.0	147051977.0	149400934.0	3026697379.0	72.0	1.0	147051977.0	149434356.0	3026020125.0	60.0	1.0	147051977.0	149639994.0	3021856042.0	37.0	1.0	147051977.0	149864684.0	3017304857.0	30.0	1.0	147051977.0	151230947.0	2988722197.0	25.0	0.9	147051977.0	157189927.0	2835491630.0	21.0	0.7	171941288.0	179114457.0	2194582728.0	13.0	1.0	145762701.0	151584808.0	3021271735.0	42.0	1.0	145762701.0	151595008.0	3021068389.0	37.0	1.0	145762701.0	151655235.0	3019866921.0	31.0	1.0	145762701.0	151807767.0	3016816086.0	27.0	1.0	145762701.0	152468405.0	3003305427.0	24.0	1.0	145762701.0	155684916.0	2917423709.0	22.0	0.8	172323273.0	176012603.0	2292776565.0	14.0	0.0	177898.0	266521.0	1.657	100217514.0	1337.0	0.0	177898.0	266810.0	100105211.0	1323.0	0.0	189771.0	276937.0	96212910.0	1082.0	0.0	253974.0	355872.0	72486286.0	372.0	0.0	293976.0	392009.0	64374697.0	249.0	0.0	1094470.0	1241612.0	3640838.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	48919.0	101087.0	10943400.0	256.0	0.0	48919.0	101136.0	10937776.0	255.0	0.0	56813.0	109697.0	9926433.0	195.0	0.0	127788.0	174782.0	5349703.0	49.0	0.0	228844.0	249632.0	3119169.0	16.0	0.0	23567.0	23715.0	1.113	67332510.0	3039.0	0.0	23630.0	23801.0	66969487.0	2989.0	0.0	25485.0	26192.0	49813077.0	1951.0	0.0	50355.0	50355.0	50355.0	1.0	0.0	25908.0	40142.0	66689309.0	2569.0	0.0	25959.0	40325.0	66311376.0	2519.0	0.0	28916.0	46884.0	51887711.0	1637.0	0.0	98090.0	121560.0	10000068.0	111.0	0.0	157243.0	180005.0	4781083.0	30.0	0.0	0.0	0.0	0.0	0.0
HG02011	18	2	1.0	137566759.0	140492274.0	2965918647.0	61.0	1.0	137566759.0	140529163.0	2965139761.0	42.0	1.0	137566759.0	140606985.0	2963493396.0	38.0	1.0	137566759.0	140665348.0	2962258222.0	36.0	1.0	137566759.0	142078207.0	2931961337.0	27.0	0.9	141929999.0	153588327.0	2633889546.0	19.0	0.8	161316281.0	163555875.0	2314381745.0	15.0	1.0	145343194.0	145333443.0	3005996725.0	82.0	1.0	145343194.0	145418848.0	3004230506.0	48.0	1.0	145343194.0	145575278.0	3000997755.0	30.0	1.0	145343194.0	145703488.0	2998344124.0	26.0	1.0	145343194.0	146015586.0	2991783594.0	24.0	1.0	151594987.0	149061101.0	2905732584.0	22.0	0.8	160488031.0	168121866.0	2251380774.0	14.0	0.0	334897.0	781448.0	0.188	11236880.0	53.0	0.0	334897.0	781448.0	11236880.0	53.0	0.0	334897.0	786590.0	11161947.0	48.0	0.0	334897.0	801215.0	10949791.0	41.0	0.0	338081.0	834036.0	10480177.0	34.0	0.0	2439893.0	2439893.0	2439893.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	41594.0	99403.0	10643443.0	271.0	0.0	41594.0	99548.0	10626488.0	269.0	0.0	48703.0	108754.0	9566928.0	203.0	0.0	158548.0	192375.0	4551197.0	41.0	0.0	300940.0	301375.0	2405465.0	9.0	0.0	28507.0	28619.0	0.006	346058.0	14.0	0.0	28507.0	28619.0	346058.0	14.0	0.0	32593.0	32188.0	274709.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	0.0	0.0	0.0	0.0
NA19983	19	1	1.0	134070787.0	137223606.0	3028305885.0	65.0	1.0	134070787.0	137249032.0	3027744687.0	48.0	1.0	134070787.0	137299342.0	3026633389.0	42.0	1.0	134070787.0	137367448.0	3025124355.0	40.0	1.0	134070787.0	138621383.0	2996871422.0	30.0	0.9	145520169.0	144549622.0	2842808858.0	24.0	0.7	161229191.0	175142010.0	1951590123.0	12.0	1.0	154390956.0	149344855.0	3023510844.0	65.0	1.0	154390956.0	149382586.0	3022746900.0	45.0	1.0	154390956.0	149490609.0	3020559132.0	33.0	1.0	154390956.0	149580038.0	3018745833.0	30.0	1.0	154390956.0	150594345.0	2997699912.0	25.0	0.9	154390956.0	157169200.0	2824361726.0	21.0	0.7	183974311.0	182715897.0	2099033257.0	12.0	0.0	743198.0	1209587.0	0.382	23109783.0	57.0	0.0	743198.0	1209587.0	23109783.0	57.0	0.0	776388.0	1212750.0	23048717.0	53.0	0.0	776388.0	1225405.0	22804989.0	44.0	0.0	776388.0	1235821.0	22601389.0	41.0	0.0	2660194.0	2120276.0	10763952.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	44901.0	95743.0	19963867.0	495.0	0.0	44901.0	95817.0	19946959.0	493.0	0.0	50686.0	105073.0	17847763.0	368.0	0.0	161845.0	175772.0	9049254.0	78.0	0.0	217172.0	230800.0	6013534.0	31.0	0.0	32589.0	41841.0	0.008	489539.0	19.0	0.0	32589.0	42633.0	478989.0	17.0	0.0	44614.0	50596.0	369054.0	10.0	0.0	98989.0	98989.0	98989.0	1.0	0.0	30702.0	58341.0	71730101.0	2331.0	0.0	30862.0	58491.0	71517720.0	2301.0	0.0	33845.0	64256.0	62826742.0	1774.0	0.0	84220.0	156014.0	16705272.0	193.0	0.0	189604.0	270218.0	7597521.0	38.0	0.0	0.0	0.0	0.0	0.0
HG03371	20	2	1.0	146394654.0	151896109.0	2940808073.0	54.0	1.0	146394654.0	151919896.0	2940347461.0	42.0	1.0	146394654.0	151972880.0	2939320326.0	38.0	1.0	146394654.0	152178576.0	2935329427.0	32.0	1.0	146394654.0	153407246.0	2911272604.0	24.0	0.9	159666797.0	159768647.0	2756294832.0	20.0	0.7	173428514.0	179631193.0	2198616267.0	13.0	1.0	155013754.0	151425616.0	3003784343.0	31.0	1.0	155013754.0	151425616.0	3003784343.0	31.0	1.0	155013754.0	151425616.0	3003784343.0	31.0	1.0	155013754.0	151522191.0	3001861569.0	28.0	1.0	155013754.0	151995132.0	2992305980.0	25.0	1.0	155013754.0	157486725.0	2855389760.0	21.0	0.7	170820777.0	179337075.0	2206362542.0	13.0	0.0	422972.0	665650.0	0.409	24321699.0	125.0	0.0	422972.0	666175.0	24302268.0	123.0	0.0	423697.0	673959.0	24014852.0	104.0	0.0	449966.0	702175.0	22997101.0	74.0	0.0	478580.0	731874.0	21963799.0	59.0	0.0	2037002.0	2025290.0	4050443.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	31683.0	68726.0	13515211.0	434.0	0.0	31711.0	68761.0	13507885.0	432.0	0.0	34585.0	78354.0	11408407.0	303.0	0.0	172285.0	188559.0	3436937.0	29.0	0.0	218166.0	258163.0	2170327.0	10.0	0.0	25288.0	34999.0	0.005	299717.0	11.0	0.0	25288.0	34999.0	299717.0	11.0	0.0	55041.0	42025.0	212614.0	6.0	0.0	57615.0	56357.0	112656.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG02492	21	2	1.0	135396680.0	139415906.0	2934705001.0	99.0	1.0	135396680.0	139486317.0	2933223145.0	44.0	1.0	135396680.0	139573095.0	2931395903.0	36.0	1.0	135396680.0	139601926.0	2930787869.0	35.0	1.0	145934996.0	140944819.0	2902078594.0	26.0	0.9	145934996.0	146297122.0	2757090951.0	22.0	0.7	175091847.0	172361732.0	1967417540.0	12.0	1.0	133419530.0	132534337.0	3010998320.0	110.0	1.0	133419530.0	132596456.0	3009587338.0	55.0	1.0	133419530.0	132760064.0	3005871391.0	38.0	1.0	133419530.0	132865483.0	3003475320.0	34.0	1.0	133998314.0	133927292.0	2978982243.0	27.0	0.9	133998314.0	139540180.0	2819850302.0	22.0	0.7	151636392.0	153703912.0	2224424574.0	15.0	0.0	458335.0	954036.0	0.641	38105224.0	217.0	0.0	458335.0	955132.0	38061101.0	212.0	0.0	471867.0	974782.0	37281746.0	159.0	0.0	503733.0	1007525.0	36028515.0	118.0	0.0	614958.0	1080254.0	33421990.0	82.0	0.0	2696889.0	2381082.0	11139040.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	65262.0	125929.0	22693442.0	513.0	0.0	65262.0	126239.0	22633600.0	506.0	0.0	88474.0	141313.0	19911728.0	330.0	0.0	169275.0	197511.0	13182997.0	101.0	0.0	229810.0	251211.0	9263274.0	43.0	0.0	35499.0	43652.0	0.015	920728.0	34.0	0.0	35499.0	44228.0	906207.0	32.0	0.0	53233.0	53414.0	690431.0	17.0	0.0	76428.0	75473.0	362600.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
